,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300619,金银河,23.47,3.03,0.69,79374,186090972.29,11.06,24.54,22.02,22.6,22.78,7.22,-120.78,1.92
1,2,688353,华盛锂电,15.24,2.28,0.34,4926,7402593.0,3.56,15.29,14.76,14.95,14.9,0.79,-16.76,0.67
2,3,300019,硅宝科技,11.27,1.9,0.21,37781,41992299.36,3.44,11.28,10.9,11.07,11.06,1.09,21.78,1.81
3,4,300041,回天新材,7.4,1.37,0.1,50653,37147862.98,2.19,7.42,7.26,7.28,7.3,0.93,15.13,1.49
4,5,605399,晨光新材,10.09,1.31,0.13,12635,12664166.0,1.71,10.11,9.94,10.09,9.96,0.41,37.71,1.44
5,6,603041,美思德,9.07,1.23,0.11,12079,10857714.0,2.34,9.09,8.88,8.96,8.96,0.66,14.65,1.12
6,7,603938,三孚股份,9.99,1.22,0.12,13729,13565174.0,3.44,10.05,9.71,9.92,9.87,0.36,46.91,1.59
7,8,301300,远翔新材,21.6,1.03,0.22,7078,15158608.0,2.25,21.71,21.23,21.38,21.38,2.3,35.54,1.73
8,9,002091,江苏国泰,6.61,0.92,0.06,63654,41777037.83,2.14,6.64,6.5,6.58,6.55,0.4,10.95,0.73
9,10,300727,润禾材料,20.98,0.82,0.17,8188,17094115.0,2.55,21.14,20.61,20.89,20.81,0.72,32.16,3.11
10,11,002909,集泰股份,3.93,0.77,0.03,44357,17325057.0,2.05,3.94,3.86,3.94,3.9,1.14,137.82,1.63
11,12,002666,德联集团,3.55,0.57,0.02,41875,14732229.42,2.83,3.57,3.47,3.56,3.53,0.93,26.54,0.79
12,13,300821,东岳硅材,6.25,0.48,0.03,39971,24765655.58,2.57,6.27,6.11,6.26,6.22,0.33,57.5,1.52
13,14,002132,恒星科技,2.16,0.47,0.01,88755,19015470.3,1.86,2.16,2.12,2.15,2.15,0.63,149.47,0.82
14,15,300610,晨化股份,8.16,0.37,0.03,12962,10502259.2,1.85,8.18,8.03,8.13,8.13,0.8,22.16,1.56
15,16,001255,博菲电气,20.16,-0.15,-0.03,5722,11527227.4,1.83,20.37,20.0,20.37,20.19,2.86,922.81,2.21
16,17,300497,富祥药业,7.79,-0.26,-0.02,26707,20672919.44,3.71,7.89,7.6,7.82,7.81,0.59,-95.38,1.74
17,18,000830,鲁西化工,9.93,-0.3,-0.03,158813,156657245.24,2.71,10.01,9.74,9.99,9.96,0.83,8.1,1.06
18,19,605366,宏柏新材,5.09,-0.39,-0.02,17024,8647221.0,3.13,5.18,5.02,5.12,5.11,0.28,142.93,1.58
19,20,002054,德美化工,4.58,-0.43,-0.02,23735,10824099.79,3.26,4.65,4.5,4.62,4.6,0.62,26.95,0.91
20,21,688602,康鹏科技,6.05,-0.49,-0.03,29523,17734574.0,2.8,6.09,5.92,6.09,6.08,1.16,180.87,1.12
21,22,603281,江瀚新材,23.66,-0.5,-0.12,7559,17833202.0,1.81,23.88,23.45,23.77,23.78,0.3,14.15,1.89
22,23,603155,新亚强,11.21,-0.71,-0.08,47415,52593464.0,2.57,11.28,10.99,11.24,11.29,1.5,21.67,1.52
23,24,600141,兴发集团,18.51,-0.96,-0.18,102202,188234919.0,3.42,18.82,18.18,18.78,18.69,0.93,12.68,0.99
24,25,301238,瑞泰新材,13.32,-0.97,-0.13,70019,92623217.0,3.64,13.51,13.02,13.41,13.45,3.28,45.2,1.37
25,26,603260,合盛硅业,48.85,-1.47,-0.73,13336,65466946.0,2.4,49.87,48.68,49.61,49.58,0.11,29.52,1.75
26,27,600409,三友化工,4.67,-1.48,-0.07,246168,114383621.0,3.8,4.76,4.58,4.74,4.74,1.19,14.71,0.7
27,28,002709,天赐材料,13.65,-1.59,-0.22,155879,212706328.3,3.32,13.96,13.5,13.88,13.87,1.13,55.13,2.04
28,29,600596,新安股份,6.91,-1.71,-0.12,122917,84366067.0,4.27,7.07,6.77,7.03,7.03,0.95,35.54,0.74
29,30,300328,宜安科技,5.59,-2.1,-0.12,488316,267707751.33,7.18,5.71,5.3,5.66,5.71,7.11,846.17,3.53
