,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300219,鸿利智汇,5.94,5.51,0.31,267785,155148894.48,9.59,6.03,5.49,5.63,5.63,3.79,26.41,1.63
1,2,300306,远方信息,9.7,3.52,0.33,58123,55627697.0,4.7,9.74,9.3,9.41,9.37,3.69,36.58,1.77
2,3,300543,朗科智能,7.68,2.95,0.22,51457,38896235.74,4.56,7.71,7.37,7.46,7.46,2.43,30.37,2.03
3,4,002137,实益达,5.04,2.65,0.13,188425,93685981.46,4.68,5.08,4.85,4.9,4.91,4.75,59.71,1.89
4,5,300162,雷曼光电,6.05,1.68,0.1,187157,111206722.38,4.71,6.07,5.79,5.94,5.95,5.49,167.42,2.57
5,6,002654,万润科技,9.2,1.66,0.15,179178,163152182.14,2.98,9.24,8.97,9.05,9.05,2.12,134.97,5.17
6,7,300303,聚飞光电,5.02,1.62,0.08,284752,140654866.4,4.45,5.05,4.83,4.93,4.94,2.27,22.81,2.21
7,8,300582,英飞特,9.11,1.45,0.13,74113,67105501.95,3.12,9.16,8.88,9.03,8.98,3.34,38.94,1.82
8,9,301002,崧盛股份,15.17,1.4,0.21,8815,13208219.4,2.74,15.2,14.79,15.18,14.96,1.2,53.01,2.36
9,10,605365,立达信,13.76,1.4,0.19,13151,17902360.0,3.1,13.86,13.44,13.58,13.57,0.26,23.21,1.99
10,11,002449,国星光电,6.87,1.03,0.07,95939,65192540.0,3.53,6.93,6.69,6.81,6.8,1.56,37.77,1.11
11,12,300241,瑞丰光电,4.03,0.75,0.03,191765,76421041.52,3.25,4.05,3.92,3.99,4.0,3.35,59.26,1.31
12,13,603303,得邦照明,10.28,0.59,0.06,9023,9170976.0,2.45,10.3,10.05,10.22,10.22,0.19,13.79,1.43
13,14,600703,三安光电,10.05,0.2,0.02,290260,287349706.0,3.49,10.1,9.75,10.03,10.03,0.58,136.03,1.36
14,15,000541,佛山照明,4.5,0.0,0.0,75318,33635763.8,2.44,4.53,4.42,4.5,4.5,0.63,18.13,1.11
15,16,002745,木林森,7.16,-0.69,-0.05,127014,90052576.1,3.47,7.25,7.0,7.24,7.21,1.19,20.25,0.8
16,17,002983,芯瑞达,16.3,-1.27,-0.21,35990,57966561.92,5.21,16.67,15.81,16.52,16.51,2.81,34.0,2.86
