,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603978,深圳新星,11.31,10.02,1.03,105728,118223255.0,10.99,11.31,10.18,10.22,10.28,6.15,-16.96,1.31
1,2,002012,凯恩股份,3.56,4.71,0.16,110860,38496332.0,5.29,3.57,3.39,3.42,3.4,2.38,58.62,1.08
2,3,603379,三美股份,27.3,3.17,0.84,84069,228793428.0,5.9,27.71,26.15,26.21,26.46,1.38,21.72,2.7
3,4,603810,丰山集团,8.9,2.65,0.23,95844,84107115.0,4.61,8.9,8.5,8.63,8.67,5.8,-32.85,1.0
4,5,002409,雅克科技,51.1,2.24,1.12,61247,309790678.0,3.7,51.48,49.63,50.19,49.98,1.92,23.41,3.43
5,6,600160,巨化股份,15.01,2.18,0.32,408967,613772643.0,4.42,15.3,14.65,14.69,14.69,1.51,24.29,2.43
6,7,003017,大洋生物,15.73,1.81,0.28,7178,11203303.0,2.85,15.82,15.38,15.51,15.45,1.06,21.02,1.31
7,8,688146,中船特气,25.42,1.07,0.27,8031,20229078.0,2.98,25.55,24.8,25.15,25.15,0.82,37.83,2.5
8,9,002915,中欣氟材,9.25,0.76,0.07,60398,55281042.8,3.16,9.29,9.0,9.19,9.18,2.09,-65.08,2.06
9,10,002442,龙星化工,4.1,0.49,0.02,45496,18483834.09,2.94,4.12,4.0,4.1,4.08,0.93,16.5,1.17
10,11,300821,东岳硅材,6.25,0.48,0.03,39971,24765655.58,2.57,6.27,6.11,6.26,6.22,0.33,57.5,1.52
11,12,601678,滨化股份,3.27,0.31,0.01,107291,34736506.0,2.45,3.28,3.2,3.25,3.26,0.52,32.0,0.59
12,13,002759,天际股份,5.82,0.17,0.01,45221,26019273.5,3.1,5.86,5.68,5.79,5.81,0.9,-11.42,0.66
13,14,600673,东阳光,6.38,0.16,0.01,80553,50898780.0,2.98,6.42,6.23,6.41,6.37,0.27,42.46,2.12
14,15,002326,永太科技,7.7,0.13,0.01,55372,42288219.13,2.73,7.74,7.53,7.69,7.69,0.69,94.63,2.19
15,16,688189,南新制药,5.76,0.0,0.0,19296,11014659.0,2.95,5.81,5.64,5.73,5.76,0.7,-177.69,1.21
16,17,605020,永和股份,14.76,0.0,0.0,24089,35299425.0,2.78,14.86,14.45,14.83,14.76,0.64,24.91,2.2
17,18,000830,鲁西化工,9.93,-0.3,-0.03,158813,156657245.24,2.71,10.01,9.74,9.99,9.96,0.83,8.1,1.06
18,19,603026,石大胜华,27.1,-0.62,-0.17,20028,54130973.0,3.34,27.54,26.63,27.49,27.27,0.99,72.16,1.4
19,20,002738,中矿资源,28.25,-0.67,-0.19,104618,294705641.73,3.2,28.79,27.88,28.64,28.44,1.45,21.79,1.73
20,21,300037,新宙邦,31.86,-0.69,-0.22,34781,110559546.1,2.65,32.23,31.38,32.08,32.08,0.64,28.88,2.68
21,22,600010,包钢股份,1.39,-0.71,-0.01,1347369,186355322.0,2.14,1.4,1.37,1.4,1.4,0.43,291.92,1.21
22,23,300343,联创股份,4.5,-0.88,-0.04,162744,72695391.4,3.52,4.57,4.41,4.55,4.54,1.53,-189.05,2.51
23,24,002407,多氟多,9.7,-0.92,-0.09,85653,82696845.25,3.47,9.86,9.52,9.82,9.79,0.79,82.1,1.3
24,25,600141,兴发集团,18.51,-0.96,-0.18,102202,188234919.0,3.42,18.82,18.18,18.78,18.69,0.93,12.68,0.99
25,26,603310,巍华新材,15.86,-1.06,-0.17,45501,72148070.0,2.87,16.09,15.63,16.09,16.03,6.72,15.51,1.36
26,27,688386,泛亚微透,25.12,-1.18,-0.3,3069,7707309.0,2.52,25.48,24.84,25.29,25.42,0.44,20.61,2.54
27,28,002709,天赐材料,13.65,-1.59,-0.22,155879,212706328.3,3.32,13.96,13.5,13.88,13.87,1.13,55.13,2.04
28,29,600378,昊华科技,24.51,-2.35,-0.59,17778,43840668.0,4.42,25.36,24.25,25.25,25.1,0.2,36.69,1.71
29,30,600096,云天化,19.34,-3.49,-0.7,238472,465060048.0,4.44,20.1,19.21,20.03,20.04,1.3,6.24,1.79
30,31,600184,光电股份,8.14,-3.78,-0.32,86479,70769863.0,5.2,8.47,8.03,8.46,8.46,1.7,322.73,1.64
