,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688187,时代电气,48.01,3.42,1.59,0.15,2.91,2.18,4.22,3.61亿,2.60亿,124.80亿,29.85
1,2,600501,航天晨光,17.13,10.02,1.56,0.0,16.2,2.91,11.43,11.35亿,4.25亿,72.73亿,--
2,3,601965,中国汽研,19.28,5.12,0.94,0.05,1.17,2.19,6.38,2.21亿,9.83亿,189.48亿,29.52
3,4,301499,维科精密,24.96,3.87,0.93,0.0,13.19,1.05,5.54,1.14亿,0.35亿,8.63亿,87.91
4,5,300680,隆盛科技,22.43,4.28,0.92,0.05,27.9,1.16,11.2,10.64亿,1.73亿,38.85亿,24.60
5,6,688698,伟创电气,28.68,3.09,0.86,0.0,1.93,3.09,6.47,1.17亿,2.10亿,60.30亿,28.10
6,7,300733,西菱动力,11.03,7.82,0.8,-0.27,7.16,5.39,17.79,1.92亿,2.44亿,26.92亿,83.31
7,8,301509,金凯生科,37.05,2.09,0.76,-0.05,6.23,1.46,3.83,0.69亿,0.30亿,11.16亿,66.64
8,9,300014,亿纬锂能,39.18,1.9,0.73,0.13,1.92,1.62,4.53,14.04亿,18.62亿,729.36亿,18.80
9,10,688386,泛亚微透,31.4,2.25,0.69,0.16,0.5,0.76,5.5,0.11亿,0.70亿,21.98亿,32.68
10,11,688518,联赢激光,14.77,4.75,0.67,0.0,8.87,3.41,7.02,4.48亿,3.39亿,50.08亿,44.06
11,12,301118,恒光股份,19.11,3.24,0.6,-0.05,16.21,3.15,10.7,1.60亿,0.54亿,10.34亿,--
12,13,300457,赢合科技,16.9,3.62,0.59,0.0,3.26,1.79,6.01,3.49亿,6.37亿,107.61亿,17.31
13,14,301107,瑜欣电子,25.05,2.41,0.59,0.12,3.88,0.74,3.27,0.20亿,0.21亿,5.26亿,71.21
14,15,301397,溯联股份,34.0,1.34,0.45,0.0,4.39,1.52,3.37,0.37亿,0.25亿,8.50亿,26.16
15,16,603698,航天工程,13.29,3.34,0.43,-0.08,1.32,2.99,5.44,0.93亿,5.36亿,71.23亿,138.83
16,17,300806,斯迪克,9.67,4.43,0.41,-0.1,5.03,0.79,5.72,1.33亿,2.76亿,26.65亿,58.80
17,18,300699,光威复材,26.05,1.56,0.4,0.15,1.03,1.03,1.64,2.20亿,8.18亿,212.97亿,34.41
18,19,000818,航锦科技,25.05,1.54,0.38,0.0,0.72,0.96,1.95,1.22亿,6.77亿,169.68亿,84.05
19,20,301007,德迈仕,13.0,2.93,0.37,-0.08,6.5,1.92,3.8,1.04亿,1.24亿,16.07亿,38.33
20,21,688295,中复神鹰,26.17,1.43,0.37,0.0,0.65,0.98,2.29,0.25亿,1.45亿,37.86亿,140.92
21,22,300007,汉威科技,14.1,2.47,0.34,0.07,2.73,1.55,2.69,1.09亿,2.83亿,39.90亿,79.68
22,23,688355,明志科技,15.08,2.31,0.34,0.47,0.81,1.59,3.66,0.15亿,1.24亿,18.69亿,28.40
23,24,002635,安洁科技,15.03,2.25,0.33,0.0,2.85,1.83,3.13,1.68亿,3.92亿,58.85亿,23.50
24,25,301170,锡南科技,25.45,1.27,0.32,0.08,11.23,0.91,6.25,0.72亿,0.25亿,6.36亿,22.59
25,26,300503,昊志机电,14.19,2.23,0.31,-0.07,8.63,2.11,5.19,2.68亿,2.18亿,30.89亿,74.50
26,27,301516,中远通,20.4,1.54,0.31,-0.05,7.86,0.72,1.74,0.99亿,0.62亿,12.62亿,--
