,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300635,中达安,8.2,6.22,0.48,169421,139808656.02,19.69,9.0,7.48,7.63,7.72,14.11,121.02,2.61
1,2,000779,甘咨询,7.16,3.62,0.25,236499,165310099.56,6.8,7.2,6.73,6.88,6.91,5.09,13.16,0.88
2,3,688159,有方科技,25.05,3.04,0.74,13134,32421730.0,4.57,25.3,24.19,24.5,24.31,1.43,14.12,2.78
3,4,002457,青龙管业,8.84,2.91,0.25,269147,236888255.56,4.54,8.91,8.52,8.56,8.59,8.04,20.63,1.28
4,5,002368,太极股份,14.51,2.69,0.38,115012,163407344.52,5.66,14.65,13.85,14.12,14.13,1.85,-28.46,1.81
5,6,300365,恒华科技,4.81,2.34,0.11,144713,68326744.46,4.68,4.82,4.6,4.71,4.7,2.99,228.51,1.45
6,7,301079,邵阳液压,14.42,2.27,0.32,51784,74016677.6,3.9,14.55,14.0,14.16,14.1,9.06,76.14,3.23
7,8,300838,浙江力诺,10.03,2.24,0.22,9354,9267046.0,3.47,10.08,9.74,10.0,9.81,0.92,30.51,1.38
8,9,002686,亿利达,4.13,1.98,0.08,63464,25970606.61,2.72,4.14,4.03,4.05,4.05,1.21,34.56,1.43
9,10,002487,大金重工,19.16,1.97,0.37,84716,160925599.34,3.83,19.33,18.61,18.81,18.79,1.34,35.14,1.75
10,11,002642,荣联科技,5.95,1.88,0.11,265446,155503761.0,5.14,6.02,5.72,5.87,5.84,4.39,169.82,3.41
11,12,300992,泰福泵业,14.88,1.78,0.26,6084,8959258.0,2.6,14.93,14.55,14.69,14.62,0.84,23.37,1.81
12,13,002893,京能热力,8.05,1.64,0.13,21523,17170957.0,2.27,8.05,7.87,7.92,7.92,1.06,9.24,1.71
13,14,300527,中船应急,6.83,1.64,0.11,174593,118651183.19,3.72,6.91,6.66,6.7,6.72,1.81,-2575.11,2.69
14,15,603316,诚邦股份,3.74,1.63,0.06,32992,12249254.0,1.9,3.74,3.67,3.68,3.68,1.25,-92.92,1.33
15,16,300101,振芯科技,12.7,1.6,0.2,42065,52890542.0,3.76,12.83,12.36,12.55,12.5,0.75,74.76,4.06
16,17,300665,飞鹿股份,5.16,1.57,0.08,56708,29084060.0,3.35,5.22,5.05,5.07,5.08,3.76,-10.25,2.02
17,18,002065,东华软件,4.56,1.56,0.07,177529,79665943.68,3.79,4.58,4.41,4.5,4.49,0.61,25.25,1.24
18,19,002131,利欧股份,1.4,1.45,0.02,394012,54572545.28,2.17,1.4,1.37,1.39,1.38,0.67,-6.37,0.74
19,20,603616,韩建河山,2.88,1.41,0.04,61012,17435581.0,2.46,2.89,2.82,2.84,2.84,1.6,-16.53,2.84
20,21,300284,苏交科,6.48,1.41,0.09,291830,188192032.16,2.82,6.52,6.34,6.37,6.39,3.23,25.93,0.98
21,22,603757,大元泵业,18.24,1.39,0.25,6330,11431600.0,3.06,18.32,17.77,17.99,17.99,0.38,10.86,1.94
22,23,300248,新开普,6.79,1.34,0.09,40219,26954380.0,3.73,6.84,6.59,6.77,6.7,0.98,-83.69,1.58
23,24,002111,威海广泰,9.08,1.34,0.12,40315,36337861.63,2.79,9.12,8.87,9.04,8.96,0.85,22.46,1.58
24,25,301390,经纬股份,26.17,1.28,0.33,3374,8734390.97,3.68,26.25,25.3,25.94,25.84,1.16,58.73,1.67
25,26,300800,力合科技,8.81,1.26,0.11,12768,11149265.5,2.76,8.86,8.62,8.7,8.7,0.54,78.97,1.04
26,27,000711,*ST京蓝,1.68,1.2,0.02,41046,6862863.21,2.41,1.69,1.65,1.66,1.66,0.39,-45.52,7.08
27,28,688069,XD德林海,13.81,1.17,0.16,2604,3569772.0,2.78,13.86,13.48,13.73,13.65,0.23,31.5,1.13
28,29,300370,安控科技,1.77,1.14,0.02,127857,22610385.0,3.43,1.8,1.74,1.76,1.75,0.97,-41.03,4.72
29,30,002114,罗平锌电,4.6,1.1,0.05,47779,21798533.8,3.08,4.62,4.48,4.57,4.55,1.48,311.76,1.44
30,31,603109,神驰机电,12.33,1.07,0.13,9717,11915898.0,2.05,12.36,12.11,12.21,12.2,0.47,21.9,1.43
31,32,601611,中国核建,6.91,1.02,0.07,152754,104583719.0,2.92,6.94,6.74,6.85,6.84,0.51,10.89,1.07
32,33,002639,雪人股份,5.09,0.99,0.05,78044,39432763.0,2.38,5.12,5.0,5.04,5.04,1.2,86.63,1.6
33,34,002443,金洲管道,5.19,0.97,0.05,21596,11137748.02,1.95,5.21,5.11,5.2,5.14,0.42,13.46,0.79
34,35,000533,顺钠股份,3.18,0.95,0.03,80605,25407956.02,2.22,3.19,3.12,3.16,3.15,1.18,35.44,2.72
35,36,300712,永福股份,18.97,0.9,0.17,7317,13749208.61,3.67,19.25,18.56,19.2,18.8,0.39,58.68,2.6
36,37,300355,蒙草生态,2.31,0.87,0.02,148940,34185239.84,2.62,2.32,2.26,2.29,2.29,1.09,73.29,0.85
37,38,830879,基康仪器,8.09,0.87,0.07,1181,956210.87,1.87,8.12,7.97,8.08,8.02,0.1,19.94,2.03
38,39,300599,雄塑科技,4.93,0.82,0.04,27203,13352353.0,2.66,4.98,4.85,4.9,4.89,1.28,-24.91,0.84
39,40,600283,钱江水利,7.73,0.78,0.06,21471,16532407.0,1.83,7.75,7.61,7.67,7.67,0.43,22.45,1.61
40,41,002884,凌霄泵业,17.82,0.68,0.12,17271,30622523.02,2.6,17.93,17.47,17.65,17.7,0.63,14.67,3.04
41,42,300667,必创科技,13.77,0.66,0.09,20077,27413439.0,2.7,13.85,13.48,13.69,13.68,1.16,553.53,2.2
42,43,300021,大禹节水,3.29,0.61,0.02,47074,15376885.0,2.14,3.3,3.23,3.29,3.27,0.67,74.46,1.51
43,44,601789,宁波建工,3.42,0.59,0.02,50424,17114387.0,1.76,3.42,3.36,3.42,3.4,0.46,12.92,0.86
44,45,002671,龙泉股份,3.57,0.56,0.02,50369,17918825.0,1.97,3.59,3.52,3.55,3.55,0.91,60.97,1.25
45,46,600268,国电南自,5.47,0.55,0.03,92540,50236780.0,2.57,5.52,5.38,5.44,5.44,0.92,51.96,1.83
46,47,002583,海能达,3.78,0.53,0.02,364929,135773396.01,3.72,3.8,3.66,3.77,3.76,2.85,21.16,1.14
47,48,601868,中国能建,2.05,0.49,0.01,1218932,248893422.0,1.47,2.06,2.03,2.04,2.04,0.86,15.36,0.83
48,49,600629,华建集团,4.29,0.47,0.02,104875,44540241.0,3.04,4.32,4.19,4.29,4.27,1.11,11.11,0.83
49,50,002132,恒星科技,2.16,0.47,0.01,88755,19015470.3,1.86,2.16,2.12,2.15,2.15,0.63,149.47,0.82
50,51,300018,中元股份,4.85,0.41,0.02,64576,31052762.0,2.28,4.86,4.75,4.8,4.83,1.69,35.66,1.88
51,52,601800,中国交建,7.3,0.41,0.03,284995,206320024.0,1.65,7.31,7.19,7.27,7.27,0.24,5.21,0.43
52,53,003013,地铁设计,12.25,0.33,0.04,9074,11047154.0,2.29,12.3,12.02,12.26,12.21,0.23,12.08,2.04
53,54,002398,垒知集团,3.38,0.3,0.01,47050,15813307.33,2.37,3.4,3.32,3.38,3.37,0.81,16.3,0.67
54,55,002452,长高电新,6.96,0.29,0.02,52198,36138883.0,1.73,6.98,6.86,6.94,6.94,1.01,17.78,1.91
55,56,000601,韶能股份,3.5,0.29,0.01,33448,11616996.79,2.01,3.51,3.44,3.49,3.49,0.31,11.35,0.85
56,57,603969,银龙股份,4.05,0.25,0.01,90137,36017100.0,3.96,4.09,3.93,4.03,4.04,1.07,17.24,1.48
57,58,603956,威派格,4.58,0.22,0.01,35774,16294462.0,2.19,4.61,4.51,4.61,4.57,0.71,-15.03,1.34
58,59,300177,中海达,6.43,0.16,0.01,243848,155123659.0,3.27,6.46,6.25,6.43,6.42,4.02,-64.88,2.92
59,60,300490,华自科技,6.53,0.15,0.01,65118,42303952.16,2.45,6.58,6.42,6.54,6.52,1.67,-35.72,0.94
60,61,603357,设计总院,7.79,0.0,0.0,49785,38513195.0,2.31,7.82,7.64,7.78,7.79,0.9,9.35,1.25
61,62,601199,江南水务,5.13,0.0,0.0,34486,17614178.0,2.14,5.16,5.05,5.13,5.13,0.37,14.13,1.26
62,63,600502,安徽建工,3.91,0.0,0.0,143667,55572393.0,2.81,3.93,3.82,3.91,3.91,0.84,5.47,0.67
63,64,600343,航天动力,7.6,0.0,0.0,75499,57045744.0,3.68,7.73,7.45,7.65,7.6,1.18,-42.6,3.05
64,65,300715,凯伦股份,6.27,0.0,0.0,15268,9512274.17,2.23,6.31,6.17,6.31,6.27,0.45,155.43,1.04
65,66,300198,纳川股份,1.36,0.0,0.0,263428,35627608.0,3.68,1.38,1.33,1.36,1.36,2.57,-18.16,1.96
66,67,002431,棕榈股份,1.51,0.0,0.0,69140,10436551.0,2.65,1.53,1.49,1.51,1.51,0.39,-3.77,0.95
67,68,000791,甘肃能源,5.34,0.0,0.0,78618,41725289.18,2.81,5.39,5.24,5.37,5.34,0.49,14.9,0.97
68,69,002149,西部材料,12.65,-0.08,-0.01,21881,27495254.4,2.37,12.71,12.41,12.6,12.66,0.45,32.3,2.09
69,70,002151,北斗星通,22.92,-0.13,-0.03,39627,90236069.8,2.83,23.16,22.51,23.0,22.95,0.9,-141.68,2.28
70,71,001255,博菲电气,20.16,-0.15,-0.03,5722,11527227.4,1.83,20.37,20.0,20.37,20.19,2.86,922.81,2.21
71,72,000600,建投能源,4.3,-0.23,-0.01,170826,72720492.21,3.48,4.34,4.19,4.32,4.31,1.57,11.67,0.77
72,73,300737,科顺股份,4.04,-0.25,-0.01,105053,42008921.4,3.46,4.1,3.96,4.06,4.05,1.17,25.33,0.93
73,74,600869,远东股份,3.68,-0.27,-0.01,137280,50340485.0,2.71,3.73,3.63,3.71,3.69,0.62,-31.47,1.84
74,75,301151,冠龙节能,13.75,-0.29,-0.04,29783,40732664.0,2.39,13.87,13.54,13.79,13.79,5.46,91.2,1.15
75,76,603856,东宏股份,10.1,-0.3,-0.03,9740,9826631.0,1.97,10.21,10.01,10.14,10.13,0.38,8.6,1.11
76,77,002061,浙江交科,3.32,-0.3,-0.01,193118,63589702.15,2.7,3.35,3.26,3.33,3.33,0.74,8.43,0.6
77,78,002060,广东建工,3.17,-0.31,-0.01,99211,31264945.1,2.83,3.2,3.11,3.19,3.18,0.63,13.0,0.92
78,79,002108,沧州明珠,2.99,-0.33,-0.01,114314,33951201.74,2.33,3.01,2.94,3.01,3.0,0.69,28.34,0.99
79,80,000065,北方国际,8.31,-0.36,-0.03,64380,53299437.25,2.64,8.4,8.18,8.35,8.34,0.71,7.72,0.95
80,81,002266,浙富控股,2.74,-0.36,-0.01,207623,56321114.92,3.64,2.77,2.67,2.75,2.75,0.42,14.75,1.31
81,82,601390,中国中铁,5.14,-0.39,-0.02,702420,359536106.0,2.33,5.19,5.07,5.17,5.16,0.34,4.46,0.44
82,83,300145,中金环境,2.24,-0.44,-0.01,161521,35901311.06,2.67,2.25,2.19,2.24,2.25,0.85,13.11,1.69
83,84,601669,中国电建,4.46,-0.45,-0.02,862851,382853265.0,2.46,4.5,4.39,4.48,4.48,0.66,6.06,0.56
84,85,002051,中工国际,6.57,-0.45,-0.03,55013,35867691.6,2.73,6.64,6.46,6.64,6.6,0.44,14.96,0.72
85,86,600710,苏美达,8.22,-0.48,-0.04,69520,56805620.0,1.94,8.26,8.1,8.22,8.26,0.53,9.42,1.54
86,87,002271,东方雨虹,10.15,-0.49,-0.05,273759,276024304.1,3.04,10.28,9.97,10.21,10.2,1.42,13.11,0.9
87,88,002941,新疆交建,9.22,-0.54,-0.05,92851,84893379.0,2.91,9.3,9.03,9.25,9.27,1.45,41.48,1.87
88,89,600025,华能水电,10.81,-0.55,-0.06,236861,256866515.0,3.31,11.05,10.69,10.86,10.87,0.13,23.33,3.53
89,90,600116,三峡水利,6.64,-0.6,-0.04,78762,52111177.0,2.84,6.72,6.53,6.68,6.68,0.41,27.72,1.14
90,91,002383,合众思壮,6.02,-0.66,-0.04,362480,217248429.84,5.45,6.18,5.85,6.06,6.06,5.88,-38.59,2.43
91,92,001379,腾达科技,23.55,-0.67,-0.16,101949,240793605.46,5.06,24.35,23.15,23.56,23.71,20.39,58.94,3.28
92,93,600900,长江电力,29.15,-0.68,-0.2,580050,1692616092.0,1.84,29.49,28.95,29.31,29.35,0.24,31.39,3.68
93,94,603843,正平股份,2.44,-0.81,-0.02,53874,13123941.0,2.85,2.48,2.41,2.45,2.46,0.77,-10.89,1.9
94,95,000722,湖南发展,8.21,-0.85,-0.07,72233,59090208.67,3.5,8.35,8.06,8.22,8.28,1.56,40.85,1.24
95,96,600736,苏州高新,3.97,-1.0,-0.04,63097,25033170.0,2.99,4.04,3.92,4.02,4.01,0.55,16.03,0.62
96,97,836208,青矩技术,17.85,-1.0,-0.18,181,324320.06,2.11,18.15,17.77,18.15,18.03,0.03,13.12,1.94
97,98,000885,城发环境,10.46,-1.04,-0.11,19086,19891934.9,2.65,10.59,10.31,10.57,10.57,0.3,6.85,0.86
98,99,603018,华设集团,6.29,-1.1,-0.07,163013,101986593.0,2.67,6.37,6.2,6.37,6.36,2.41,13.97,0.88
99,100,600491,龙元建设,2.46,-1.2,-0.03,146284,35926567.0,2.81,2.5,2.43,2.5,2.49,0.96,-9.26,0.36
100,101,002205,国统股份,6.5,-1.66,-0.11,91681,59569032.33,4.99,6.72,6.39,6.6,6.61,4.93,-13.03,2.06
101,102,301038,深水规院,13.86,-1.84,-0.26,37802,52576722.5,4.39,14.35,13.73,14.12,14.12,2.2,26.26,2.68
102,103,000778,新兴铸管,3.14,-1.88,-0.06,290086,91460531.6,3.44,3.22,3.11,3.2,3.2,0.74,14.65,0.49
103,104,000883,湖北能源,4.59,-2.55,-0.12,275381,126292255.61,4.25,4.73,4.53,4.7,4.71,0.42,10.47,0.9
104,105,000401,冀东水泥,4.26,-2.96,-0.13,97366,41681255.92,3.87,4.4,4.23,4.39,4.39,0.63,-7.02,0.41
105,106,002226,江南化工,3.69,-3.4,-0.13,243874,90416660.2,4.97,3.84,3.65,3.83,3.82,1.33,11.7,1.08
106,107,300371,汇中股份,8.24,-3.96,-0.34,104829,86137396.49,7.11,8.58,7.97,8.51,8.58,7.72,40.44,1.54
107,108,002586,*ST围海,1.62,-5.26,-0.09,92760,15194553.0,4.68,1.7,1.62,1.69,1.71,1.03,-18.13,0.61
108,109,002717,岭南股份,1.2,-6.98,-0.09,3055730,370127887.96,10.08,1.29,1.16,1.26,1.29,20.85,-3.9,1.05
