,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603280,南方路机,20.64,1.98,0.4,0.1,6.38,2.04,2.37,0.37亿,0.28亿,5.77亿,63.87
1,2,000935,四川双马,13.87,1.09,0.15,0.07,0.17,0.55,1.31,0.18亿,7.63亿,105.89亿,303.47
2,3,000856,冀东装备,6.9,1.77,0.12,-0.29,1.19,0.89,1.92,0.19亿,2.27亿,15.66亿,95.14
3,4,600724,宁波富达,4.18,2.96,0.12,0.24,0.88,1.17,3.69,0.53亿,14.45亿,60.40亿,22.32
4,5,600326,西藏天路,4.42,2.55,0.11,0.0,3.76,0.65,5.34,2.12亿,12.87亿,56.89亿,--
5,6,001225,和泰机电,31.01,0.36,0.11,-0.39,0.96,0.69,1.59,0.05亿,0.18亿,5.63亿,24.69
6,7,601216,君正集团,4.37,1.39,0.06,-0.46,0.74,1.86,2.55,2.76亿,84.38亿,368.74亿,12.94
7,8,600881,亚泰集团,1.17,1.74,0.02,0.0,1.68,1.92,6.09,0.63亿,32.49亿,38.01亿,--
8,9,600449,宁夏建材,13.14,0.15,0.02,0.0,0.75,0.71,0.99,0.47亿,4.78亿,62.83亿,--
9,10,600802,福建水泥,3.33,0.3,0.01,0.0,0.91,0.72,1.81,0.14亿,4.58亿,15.26亿,--
10,11,600425,青松建化,3.44,0.0,0.0,0.29,0.58,0.61,0.87,0.28亿,13.79亿,47.43亿,--
11,12,601868,中国能建,2.19,0.0,0.0,0.0,0.84,0.8,0.91,2.63亿,142.22亿,311.47亿,15.41
12,13,002302,西部建设,5.73,0.0,0.0,-0.17,0.55,0.86,1.92,0.39亿,12.62亿,72.33亿,--
13,14,002092,ST中泰,4.16,0.0,0.0,0.24,2.08,0.44,1.92,2.22亿,25.76亿,107.15亿,--
14,15,000927,中国铁物,2.56,0.0,0.0,-0.39,0.21,0.66,1.17,0.33亿,60.50亿,154.89亿,24.13
15,16,002470,金正大,1.5,-0.66,-0.01,-0.66,0.4,0.49,1.32,0.20亿,32.86亿,49.29亿,45.83
16,17,600063,皖维高新,4.12,-0.24,-0.01,0.0,0.55,0.73,1.45,0.44亿,19.26亿,79.35亿,47.11
17,18,600935,华塑股份,2.59,-0.39,-0.01,-0.39,0.3,0.51,1.15,0.15亿,18.55亿,48.04亿,--
18,19,601568,北元集团,4.25,-0.47,-0.02,-0.47,0.14,0.65,0.94,0.24亿,39.72亿,168.82亿,260.69
19,20,601992,金隅集团,1.71,-1.72,-0.03,0.0,0.34,0.87,2.3,0.49亿,83.34亿,142.51亿,--
20,21,600668,尖峰集团,8.73,-0.46,-0.04,0.12,0.52,1.07,1.37,0.16亿,3.44亿,30.04亿,309.25
21,22,600868,梅雁吉祥,2.27,-1.73,-0.04,0.0,2.35,0.59,3.03,1.01亿,18.98亿,43.09亿,--
22,23,002386,天原股份,4.45,-1.33,-0.06,0.0,0.71,1.06,1.55,0.37亿,11.58亿,51.53亿,220.96
23,24,000672,上峰水泥,6.92,-1.0,-0.07,0.0,0.71,1.3,1.86,0.48亿,9.69亿,67.08亿,114.89
24,25,600970,中材国际,12.72,-0.55,-0.07,-0.08,0.69,1.17,2.03,1.54亿,17.58亿,223.57亿,13.20
25,26,002742,ST三圣,1.55,-4.91,-0.08,0.0,1.13,0.99,0.61,0.08亿,4.32亿,6.69亿,--
26,27,600678,四川金顶,5.55,-1.42,-0.08,0.0,2.99,0.7,1.95,0.58亿,3.49亿,19.37亿,--
27,28,002233,塔牌集团,7.0,-1.13,-0.08,-0.29,1.12,1.62,2.4,0.94亿,11.91亿,83.40亿,14.02
28,29,000789,万年青,5.31,-1.48,-0.08,-0.19,0.79,1.13,2.23,0.34亿,7.97亿,42.34亿,--
29,30,600801,华新水泥,14.83,-0.6,-0.09,-0.14,0.54,1.11,1.94,1.09亿,13.44亿,199.36亿,43.43
30,31,000877,天山股份,5.93,-1.82,-0.11,0.0,0.81,1.68,2.65,0.88亿,18.22亿,108.05亿,--
31,32,605122,四方新材,11.18,-1.15,-0.13,0.0,2.09,1.09,2.56,0.14亿,0.59亿,6.56亿,31.28
32,33,600075,新疆天业,4.02,-3.37,-0.14,-0.74,2.97,1.69,4.57,2.05亿,17.07亿,68.64亿,--
33,34,600727,鲁北化工,7.03,-2.9,-0.21,0.0,5.89,1.08,3.45,2.20亿,5.29亿,37.16亿,18.38
34,35,000401,冀东水泥,4.67,-6.22,-0.31,0.0,1.95,3.05,6.43,1.43亿,15.47亿,72.26亿,--
35,36,600585,海螺水泥,24.01,-2.12,-0.52,0.04,0.43,1.11,2.85,4.18亿,40.00亿,960.33亿,21.17
36,37,600295,鄂尔多斯,12.03,-8.38,-1.1,-0.5,3.22,4.89,12.49,7.91亿,19.76亿,237.66亿,24.29
