,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688326,经纬恒润,61.99,6.4,3.73,0.0,2.56,1.72,7.81,1.24亿,0.79亿,49.27亿,--
1,2,301252,同星科技,35.63,10.24,3.31,-0.06,50.12,1.63,14.76,4.94亿,0.29亿,10.33亿,26.23
2,3,301525,儒竞科技,61.1,4.0,2.35,-0.03,4.36,1.27,3.83,0.62亿,0.24亿,14.41亿,33.39
3,4,301459,丰茂股份,43.06,3.71,1.54,-0.14,7.16,0.86,6.26,0.59亿,0.19亿,8.17亿,23.68
4,5,003028,振邦智能,40.04,3.17,1.23,0.0,1.72,1.66,4.36,0.37亿,0.54亿,21.49亿,28.16
5,6,603667,五洲新春,18.05,7.31,1.23,0.28,12.15,4.04,8.44,8.06亿,3.66亿,66.10亿,43.97
6,7,603009,北特科技,20.19,6.26,1.19,-0.15,6.06,1.59,7.58,4.06亿,3.38亿,68.32亿,110.17
7,8,002050,三花智控,23.02,5.11,1.12,0.04,2.54,2.96,7.76,21.58亿,36.90亿,849.46亿,33.16
8,9,002965,祥鑫科技,35.12,3.23,1.1,-0.06,4.98,3.03,2.67,2.24亿,1.27亿,44.46亿,14.79
9,10,300602,飞荣达,16.72,6.84,1.07,-0.12,15.63,1.32,10.41,10.31亿,3.92亿,65.50亿,102.58
10,11,301499,维科精密,24.96,3.87,0.93,0.0,13.19,1.05,5.54,1.14亿,0.35亿,8.63亿,87.91
11,12,300680,隆盛科技,22.43,4.28,0.92,0.05,27.9,1.16,11.2,10.64亿,1.73亿,38.85亿,24.6
12,13,601689,拓普集团,57.59,1.57,0.89,-0.02,1.04,1.61,4.73,6.66亿,11.02亿,634.67亿,25.94
13,14,301000,肇民科技,19.8,3.72,0.71,0.1,2.23,0.87,4.56,0.76亿,1.73亿,34.25亿,24.13
14,15,603119,浙江荣泰,25.68,2.35,0.59,0.0,1.86,0.86,2.75,0.33亿,0.70亿,17.98亿,38.38
15,16,300660,江苏雷利,27.67,1.92,0.52,0.04,2.48,2.14,2.91,2.18亿,3.17亿,87.68亿,30.02
16,17,300969,恒帅股份,83.96,0.57,0.48,-0.06,1.62,1.13,2.89,0.49亿,0.36亿,29.90亿,25.92
17,18,301397,溯联股份,34.0,1.34,0.45,0.0,4.39,1.52,3.37,0.37亿,0.25亿,8.50亿,26.16
18,19,301086,鸿富瀚,39.19,1.11,0.43,0.08,15.41,0.82,10.63,2.01亿,0.32亿,12.74亿,31.73
19,20,605005,合兴股份,17.09,2.4,0.4,0.0,0.58,1.85,2.94,0.39亿,4.01亿,68.53亿,31.06
20,21,002806,华锋股份,8.83,4.62,0.39,0.23,4.47,1.63,6.16,0.59亿,1.52亿,13.40亿,157.26
21,22,600523,贵航股份,11.27,3.58,0.39,0.18,1.87,2.15,4.23,0.84亿,4.04亿,45.54亿,31.02
22,23,688022,瀚川智能,15.2,2.56,0.38,0.2,1.19,0.88,3.78,0.32亿,1.76亿,26.73亿,55.47
23,24,301007,德迈仕,13.0,2.93,0.37,-0.08,6.5,1.92,3.8,1.04亿,1.24亿,16.07亿,38.33
24,25,301181,标榜股份,20.55,1.78,0.36,0.05,2.77,1.07,2.82,0.22亿,0.39亿,8.01亿,18.40
25,26,300322,硕贝德,8.88,4.1,0.35,0.0,6.01,1.47,5.28,2.35亿,4.44亿,39.39亿,--
