,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600745,闻泰科技,39.79,10.01,3.62,601973,2347653940.0,8.32,39.79,36.78,36.98,36.17,4.84,89.47,1.37
1,2,603232,格尔软件,14.85,8.0,1.1,349944,503319433.0,11.13,15.13,13.6,13.8,13.75,15.13,-34.76,2.61
2,3,688508,芯朋微,46.5,7.27,3.15,90093,415362327.0,8.3,47.6,44.0,45.21,43.35,6.86,59.29,2.48
3,4,301225,恒勃股份,29.47,6.12,1.7,38063,110928602.02,8.93,30.0,27.52,27.7,27.77,12.61,26.42,2.14
4,5,301099,雅创电子,50.14,5.78,2.74,91056,446349893.1,7.05,50.34,47.0,48.35,47.4,24.31,64.67,5.19
5,6,301282,金禄电子,25.03,4.38,1.05,110040,273929242.0,5.34,25.39,24.11,24.44,23.98,15.25,49.83,2.26
6,7,600733,北汽蓝谷,7.98,3.91,0.3,3278431,2575929154.0,6.64,8.08,7.57,7.67,7.68,6.73,-8.65,11.96
7,8,688173,希荻微,13.05,3.16,0.4,80078,103324813.0,3.56,13.11,12.66,12.86,12.65,3.36,-22.78,3.2
8,9,688049,炬芯科技,32.26,2.35,0.74,62017,198573674.0,4.09,32.68,31.39,31.79,31.52,5.7,49.86,2.56
9,10,002073,软控股份,8.07,2.15,0.17,489090,389002369.85,3.16,8.08,7.83,7.9,7.9,4.97,17.88,1.45
10,11,300493,润欣科技,15.9,1.99,0.31,355731,560879180.48,2.69,15.95,15.53,15.53,15.59,7.1,164.61,7.6
11,12,603986,兆易创新,90.76,1.81,1.61,244881,2206751271.0,3.77,91.64,88.28,89.14,89.15,3.68,54.47,3.78
12,13,002180,纳思达,27.68,1.76,0.48,260195,712669879.7,5.29,27.86,26.42,27.18,27.2,1.98,20.19,3.86
13,14,300131,英唐智控,7.54,1.75,0.13,880317,655217677.44,4.32,7.57,7.25,7.4,7.41,8.43,139.01,4.92
14,15,603068,博通集成,25.28,1.16,0.29,51399,128850622.0,2.32,25.3,24.72,25.0,24.99,3.42,-48.77,2.29
15,16,300458,全志科技,39.46,1.08,0.42,457014,1773401992.9,3.13,39.49,38.27,39.0,39.04,8.83,124.15,8.28
16,17,002405,四维图新,9.76,1.04,0.1,782342,760788825.31,2.69,9.83,9.57,9.6,9.66,3.35,-32.57,2.39
17,18,688655,迅捷兴,11.97,1.01,0.12,21846,26079833.0,2.03,12.05,11.81,11.81,11.85,1.64,200.52,2.32
18,19,688469,芯联集成-U,4.79,0.84,0.04,741017,354527561.0,2.32,4.85,4.74,4.77,4.75,1.69,-37.04,2.81
19,20,688595,芯海科技,36.95,0.82,0.3,45407,166219615.0,2.37,37.07,36.2,36.7,36.65,3.19,-46.31,6.87
20,21,688052,纳芯微,133.72,0.65,0.86,17710,234563630.0,3.67,134.75,129.88,133.12,132.86,1.9,-35.06,3.13
21,22,688110,东芯股份,24.83,0.57,0.14,124011,305152762.0,2.39,24.87,24.28,24.8,24.69,4.48,-63.19,3.24
22,23,688689,银河微电,24.93,0.56,0.14,16180,40160584.0,3.51,25.3,24.43,24.81,24.79,1.26,53.64,2.77
23,24,002151,北斗星通,28.34,0.5,0.14,108428,307091570.23,1.91,28.66,28.12,28.21,28.2,2.45,-181.47,2.82
24,25,688135,利扬芯片,18.45,0.38,0.07,28459,52508610.0,1.85,18.6,18.26,18.52,18.38,1.42,-218.83,3.36
25,26,688123,聚辰股份,64.54,0.36,0.23,45242,290641958.0,2.92,65.19,63.31,64.31,64.31,2.87,36.05,4.97
26,27,300373,扬杰科技,48.46,0.14,0.07,130304,631727149.0,2.07,49.05,48.05,48.4,48.39,2.4,29.51,3.13
27,28,688209,英集芯,16.65,0.06,0.01,78329,129886255.0,2.28,16.8,16.42,16.66,16.64,2.66,59.57,3.84
28,29,688515,裕太微-U,78.68,-0.11,-0.09,13802,108381413.0,2.54,79.5,77.5,78.78,78.77,2.81,-29.03,3.72
29,30,603005,晶方科技,24.95,-0.16,-0.04,603921,1492688119.0,3.8,25.31,24.36,24.72,24.99,9.26,73.92,3.91
30,31,688601,力芯微,46.68,-0.26,-0.12,31420,145694411.0,2.29,46.87,45.8,46.8,46.8,2.35,39.81,4.96
31,32,000581,威孚高科,18.04,-0.28,-0.05,119804,214615657.21,1.82,18.07,17.74,18.07,18.09,1.45,10.56,0.92
32,33,688262,国芯科技,22.68,-0.31,-0.07,63407,143616329.0,2.07,22.87,22.4,22.8,22.75,2.4,-46.15,3.3
33,34,605358,立昂微,26.78,-0.48,-0.13,135017,361299785.0,3.16,27.3,26.45,27.26,26.91,2.01,-248.14,2.4
34,35,605111,新洁能,36.77,-0.51,-0.19,133477,487638271.0,2.49,36.99,36.07,36.99,36.96,3.21,34.48,3.97
35,36,603501,韦尔股份,110.95,-0.74,-0.83,180855,1999936186.0,2.42,112.5,109.8,112.5,111.78,1.49,42.54,6.01
36,37,301132,满坤科技,28.91,-0.79,-0.23,47204,135979843.34,2.68,29.2,28.42,29.0,29.14,10.38,44.79,2.45
37,38,603375,盛景微,39.92,-1.19,-0.48,24912,98587247.0,2.25,40.01,39.1,40.01,40.4,12.37,220.33,2.58
38,39,002049,紫光国微,68.87,-1.23,-0.86,234113,1606441395.47,2.5,69.74,68.0,69.74,69.73,2.76,39.67,5.03
39,40,688380,中微半导,28.25,-1.36,-0.39,124054,354225236.0,3.49,29.08,28.08,29.0,28.64,8.39,76.19,3.81
40,41,600584,长电科技,38.52,-1.46,-0.57,735710,2804314734.0,3.66,38.93,37.5,38.93,39.09,4.11,48.03,2.57
41,42,300053,航宇微,17.56,-1.51,-0.27,1214604,2126375133.13,8.86,18.28,16.7,17.53,17.83,19.11,-149.63,6.1
42,43,603160,汇顶科技,87.3,-1.66,-1.47,138364,1211113685.0,3.15,89.48,86.68,88.88,88.77,3.02,66.96,4.74
43,44,300223,北京君正,72.4,-1.71,-1.26,141295,1013921650.39,2.55,72.56,70.68,72.0,73.66,3.37,85.9,2.93
44,45,688484,南芯科技,37.49,-1.73,-0.66,87026,328025601.0,3.49,38.6,37.27,37.81,38.15,2.99,38.87,4.16
45,46,688766,普冉股份,87.53,-2.83,-2.55,53143,462683628.0,5.21,90.29,85.6,90.29,90.08,5.03,30.85,4.28
46,47,688381,帝奥微,20.81,-2.98,-0.64,78557,162854586.0,2.7,21.1,20.52,21.0,21.45,4.28,210.72,1.8
