,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002223,鱼跃医疗,38.65,3.98,1.48,0.21,1.32,1.36,5.17,4.76亿,9.39亿,362.80亿,14.69
1,2,600955,维远股份,17.53,4.04,0.68,0.06,1.52,2.39,5.88,0.96亿,3.65亿,63.97亿,126.27
2,3,600789,鲁抗医药,7.14,10.02,0.65,0.0,13.61,6.23,9.86,8.43亿,8.96亿,63.98亿,23.76
3,4,603200,上海洗霸,24.28,2.1,0.5,-0.16,8.52,1.82,4.58,3.64亿,1.75亿,42.59亿,52.65
4,5,000830,鲁西化工,11.57,3.12,0.35,0.0,3.32,2.41,4.72,7.31亿,19.04亿,220.25亿,9.76
5,6,300586,美联新材,7.64,4.09,0.3,0.39,4.51,1.33,5.59,1.81亿,5.35亿,40.84亿,51.24
6,7,002209,达意隆,8.92,3.12,0.27,0.0,5.91,1.69,3.12,0.80亿,1.54亿,13.76亿,52.03
7,8,003023,彩虹集团,17.64,1.5,0.26,0.0,10.61,0.85,3.85,0.96亿,0.52亿,9.23亿,12.44
8,9,001218,丽臣实业,18.41,1.32,0.24,0.0,1.47,0.98,3.03,0.20亿,0.74亿,13.63亿,18.65
9,10,300422,博世科,5.2,4.42,0.22,0.19,4.06,1.36,7.63,0.82亿,3.89亿,20.20亿,9.84
10,11,300430,诚益通,18.92,1.07,0.2,0.05,5.61,1.15,6.46,2.71亿,2.59亿,48.94亿,41.98
11,12,002734,利民股份,7.16,2.73,0.19,0.14,6.89,2.69,7.89,1.57亿,3.25亿,23.26亿,--
12,13,300132,青松股份,4.04,4.12,0.16,0.5,2.65,1.95,7.99,0.54亿,5.08亿,20.53亿,--
13,14,603867,新化股份,27.27,0.55,0.15,-0.11,0.96,0.81,2.69,0.49亿,1.86亿,50.61亿,16.62
14,15,603360,百傲化学,14.56,1.04,0.15,0.0,1.56,1.05,3.68,0.82亿,3.58亿,52.11亿,13.34
15,16,002644,佛慈制药,7.78,1.7,0.13,0.0,0.87,1.1,1.96,0.34亿,5.11亿,39.73亿,54.02
16,17,000615,*ST美谷,2.6,4.84,0.12,0.0,0.38,0.47,0.0,0.07亿,7.62亿,19.81亿,--
17,18,300632,光莆股份,10.04,0.8,0.08,-0.1,1.46,1.09,3.31,0.32亿,2.21亿,22.21亿,32.84
18,19,600538,国发股份,4.68,1.08,0.05,0.21,1.53,1.0,7.13,0.37亿,5.24亿,24.53亿,--
19,20,001316,润贝航科,29.88,0.17,0.05,-0.03,5.21,2.27,5.06,0.45亿,0.28亿,8.49亿,30.29
20,21,002864,盘龙药业,29.16,0.17,0.05,0.00,5.13,1.31,1.37,1.10亿,0.74亿,21.49亿,24.88
21,22,301256,华融化学,6.99,0.58,0.04,0.00,2.18,0.98,1.87,0.21亿,1.36亿,9.52亿,39.17
22,23,300267,尔康制药,2.57,1.18,0.03,-0.39,1.75,1.34,2.36,0.64亿,14.22亿,36.56亿,456.74
23,24,000915,华特达因,35.74,0.06,0.02,-0.17,1.06,0.77,1.57,0.89亿,2.34亿,83.71亿,12.42
24,25,000650,仁和药业,6.53,0.15,0.01,0.00,3.46,1.25,2.30,3.03亿,13.31亿,86.94亿,12.89
25,26,002092,中泰化学,4.79,0.21,0.01,-0.21,1.18,0.96,3.14,1.47亿,25.76亿,123.37亿,--
26,27,300086,康芝药业,4.67,0.00,0.00,0.00,1.81,1.17,2.14,0.37亿,4.36亿,20.35亿,--
27,28,000908,景峰医药,--,--,--,--,--,--,--,--,7.89亿,13.33亿,106.04
28,29,600273,嘉化能源,7.75,0.00,0.00,0.00,0.95,0.70,1.03,1.03亿,13.91亿,107.81亿,12.80
29,30,000635,英力特,6.83,-0.15,-0.01,0.00,2.10,1.06,6.29,0.44亿,3.03亿,20.70亿,--
30,31,002385,大北农,4.69,-0.21,-0.01,-0.21,1.4,1.09,2.34,2.19亿,33.13亿,155.37亿,--
31,32,601678,滨化股份,4.01,-0.5,-0.02,0.0,0.9,0.84,2.23,0.75亿,20.58亿,82.53亿,70.01
32,33,600423,柳化股份,2.85,-0.7,-0.02,0.35,1.0,0.82,2.79,0.23亿,7.99亿,22.76亿,224.25
33,34,000698,沈阳化工,3.62,-0.82,-0.03,0.56,3.55,1.89,4.38,1.02亿,7.86亿,28.44亿,--
34,35,000819,岳阳兴长,14.54,-0.27,-0.04,-0.14,0.7,1.13,2.47,0.31亿,2.99亿,43.50亿,62.22
35,36,600691,阳煤化工,2.32,-1.7,-0.04,-0.43,0.7,0.83,2.97,0.39亿,23.76亿,55.11亿,--
36,37,600587,新华医疗,22.28,-0.18,-0.04,0.14,1.55,1.22,2.64,1.55亿,4.45亿,99.18亿,12.32
37,38,002762,金发拉比,6.49,-0.77,-0.05,-0.15,3.59,1.17,3.82,0.49亿,2.08亿,13.51亿,1178.24
