,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300661,圣邦股份,76.66,4.0,2.95,-0.45,1.08,1.58,4.91,3.72亿,4.51亿,345.61亿,165.73
1,2,300866,安克创新,92.49,1.96,1.78,0.1,1.42,0.98,4.63,2.92亿,2.26亿,209.16亿,30.25
2,3,002992,宝明科技,57.9,2.64,1.49,0.09,6.34,1.25,9.18,2.80亿,0.78亿,45.38亿,--
3,4,603773,沃格光电,27.85,2.92,0.79,0.0,4.96,1.49,6.47,2.15亿,1.56亿,43.55亿,--
4,5,688036,传音控股,145.86,0.36,0.53,-0.06,0.57,0.66,1.98,6.71亿,8.07亿,1176.46亿,18.08
5,6,002938,鹏鼎控股,27.2,1.3,0.35,0.0,0.71,0.45,2.9,4.48亿,23.15亿,629.71亿,31.73
6,7,301439,泓淋电力,14.29,2.36,0.33,-0.07,4.58,0.95,4.01,1.19亿,1.83亿,26.19亿,31.69
7,8,301141,中科磁业,48.27,0.58,0.28,0.04,17.08,1.36,6.61,2.31亿,0.28亿,13.53亿,264.34
8,9,603005,晶方科技,17.95,1.18,0.21,0.0,6.48,3.27,8.23,7.73亿,6.52亿,117.06亿,59.48
9,10,002273,水晶光电,14.44,1.05,0.15,-0.21,3.23,1.09,2.8,6.35亿,13.58亿,196.08亿,28.11
10,11,688249,晶合集成,15.26,0.66,0.10,-0.07,0.87,1.54,1.98,1.56亿,11.77亿,179.57亿,96.56
11,12,603052,可川科技,36.28,0.19,0.07,-0.17,4.25,1.06,3.40,0.45亿,0.29亿,10.62亿,41.52
12,13,688772,珠海冠宇,13.24,0.30,0.04,0.00,2.34,1.32,3.11,2.36亿,7.65亿,101.25亿,371.47
13,14,002429,兆驰股份,5.36,0.56,0.03,0.00,0.51,0.78,2.44,1.22亿,45.24亿,242.50亿,14.63
14,15,002937,兴瑞科技,22.55,0.13,0.03,0.00,0.63,0.70,1.78,0.42亿,2.95亿,66.63亿,23.13
15,16,603633,徕木股份,8.15,0.25,0.02,-0.25,1.62,0.61,1.48,0.56亿,4.27亿,34.79亿,34.52
16,17,002395,双象股份,15.93,0.00,0.00,0.00,6.40,0.56,3.45,2.75亿,2.68亿,42.73亿,57.21
17,18,002426,胜利精密,1.72,0.00,0.00,0.00,0.88,0.51,2.33,0.51亿,34.10亿,58.65亿,33.34
18,19,002878,元隆雅图,14.11,0.00,0.00,0.07,3.06,0.72,3.62,0.85亿,1.97亿,27.79亿,32.07
19,20,603133,*ST碳元,--,--,--,--,--,--,--,--,2.09亿,4.14亿,--
20,21,002241,歌尔股份,16.2,-0.12,-0.02,-0.06,1.43,0.81,1.85,6.95亿,30.10亿,487.62亿,36.46
21,22,603893,瑞芯微,58.24,-0.05,-0.03,0.02,0.81,1.04,2.49,1.99亿,4.18亿,243.43亿,89.99
22,23,601231,环旭电子,14.94,-0.27,-0.04,-0.33,0.34,0.61,2.0,1.13亿,22.10亿,330.22亿,24.67
23,24,603256,宏和科技,7.22,-0.55,-0.04,0.0,0.33,0.56,2.07,0.21亿,8.80亿,63.52亿,--
24,25,000016,深康佳A,3.05,-1.61,-0.05,-0.65,0.8,1.0,2.58,0.39亿,15.97亿,48.70亿,--
25,26,300256,星星科技,2.08,-2.35,-0.05,-0.48,0.85,0.73,3.29,0.29亿,16.43亿,34.18亿,--
26,27,000727,冠捷科技,2.24,-2.61,-0.06,-0.44,1.53,1.0,3.48,1.56亿,45.30亿,101.46亿,471.70
27,28,002137,实益达,5.15,-1.15,-0.06,0.0,1.88,0.87,2.69,0.38亿,3.96亿,20.42亿,66.81
