,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,605011,杭州热电,29.8,6.35,1.78,0.0,15.34,1.76,10.31,5.43亿,1.21亿,36.09亿,66.17
1,2,601918,新集能源,9.7,4.53,0.42,0.1,1.53,1.29,6.14,3.78亿,25.91亿,251.28亿,10.51
2,3,000422,湖北宜化,12.73,3.08,0.38,0.08,11.82,1.26,8.91,15.27亿,10.07亿,128.23亿,24.61
3,4,600744,华银电力,3.98,9.95,0.36,0.0,10.99,2.25,11.88,8.60亿,20.31亿,80.84亿,265.62
4,5,601101,昊华能源,9.64,2.34,0.22,-0.1,1.59,0.88,3.93,2.20亿,14.40亿,138.82亿,7.68
5,6,601028,玉龙股份,11.43,1.78,0.2,-0.09,4.08,1.35,5.52,3.62亿,7.83亿,89.50亿,21.18
6,7,600295,鄂尔多斯,12.25,1.49,0.18,-0.08,0.54,0.72,2.32,1.30亿,19.76亿,242.01亿,24.73
7,8,600089,特变电工,14.6,1.18,0.17,-0.07,1.03,1.31,2.5,7.55亿,50.53亿,737.71亿,9.25
8,9,601001,晋控煤业,17.57,0.92,0.16,-0.06,1.29,0.79,2.76,3.80亿,16.74亿,294.07亿,9.42
9,10,001286,陕西能源,10.64,1.43,0.15,0.0,2.46,1.1,2.19,2.74亿,10.50亿,111.72亿,10.1
10,11,600348,华阳股份,10.17,1.4,0.14,0.0,1.03,1.04,1.89,3.75亿,36.08亿,366.88亿,10.57
11,12,600188,兖矿能源,24.79,0.53,0.13,0.0,0.58,0.73,1.95,6.55亿,45.29亿,1122.64亿,12.27
12,13,601898,中煤能源,12.37,0.98,0.12,-0.4,0.25,0.69,1.71,2.84亿,91.52亿,1132.10亿,8.25
13,14,000683,远兴能源,7.82,1.56,0.12,0.26,1.55,0.82,3.38,3.95亿,32.83亿,256.69亿,12.82
14,15,601088,中国神华,40.97,0.29,0.12,0.0,0.14,0.76,1.32,9.30亿,164.91亿,6756.38亿,12.81
15,16,001896,豫能控股,4.64,2.43,0.11,0.0,4.38,1.5,4.19,2.66亿,13.21亿,61.28亿,288.78
16,17,600395,盘江股份,6.25,1.79,0.11,0.0,0.99,0.99,2.28,1.32亿,21.47亿,134.16亿,157.28
17,18,601699,潞安环能,22.87,0.44,0.1,-0.04,0.53,0.53,2.63,3.62亿,29.91亿,684.13亿,13.28
18,19,600985,淮北矿业,19.78,0.51,0.1,-0.25,0.43,0.6,2.13,2.28亿,26.93亿,532.73亿,8.38
19,20,600863,内蒙华电,4.61,1.99,0.09,0.22,1.67,1.02,2.21,4.98亿,65.27亿,300.89亿,8.47
20,21,603071,物产环能,14.85,0.54,0.08,0.07,0.8,0.84,1.02,0.28亿,2.38亿,35.30亿,8.65
21,22,601216,君正集团,4.42,1.38,0.06,0.0,0.46,0.85,2.29,1.70亿,84.38亿,372.96亿,13.09
22,23,600508,上海能源,14.61,0.41,0.06,0.0,0.61,0.78,1.65,0.64亿,7.23亿,105.59亿,8.72
23,24,601225,陕西煤业,24.96,0.2,0.05,-0.12,0.33,0.66,2.21,7.94亿,96.95亿,2419.87亿,13.01
24,25,600123,兰花科创,9.73,0.41,0.04,0.0,1.16,0.62,2.27,1.66亿,14.85亿,144.50亿,26.78
25,26,000573,粤宏远A,2.76,1.47,0.04,0.0,3.03,1.12,4.04,0.53亿,6.33亿,17.47亿,--
26,27,600208,新湖中宝,2.19,1.86,0.04,0.0,1.15,1.56,3.26,2.12亿,85.08亿,186.32亿,12.53
27,28,600121,郑州煤电,3.73,0.81,0.03,0.0,1.97,1.05,2.97,0.89亿,12.18亿,45.45亿,33.59
28,29,600726,华电能源,2.29,1.33,0.03,0.0,1.45,0.95,2.65,0.64亿,19.28亿,44.15亿,10.72
29,30,600881,亚泰集团,1.4,2.19,0.03,0.72,0.74,1.42,3.65,0.33亿,32.49亿,45.48亿,--
30,31,600758,辽宁能源,3.39,0.59,0.02,0.3,0.95,0.9,1.48,0.42亿,13.21亿,44.77亿,13.57
31,32,000937,冀中能源,8.03,0.25,0.02,0.0,1.17,0.69,1.12,2.71亿,29.07亿,233.40亿,10.02
32,33,600581,八一钢铁,3.05,0.33,0.01,0.0,0.59,0.7,1.65,0.28亿,15.33亿,46.75亿,--
33,34,002128,电投能源,21.64,0.05,0.01,0.0,0.69,0.86,2.17,3.15亿,21.14亿,457.38亿,6.24
34,35,600725,云维股份,2.91,0.0,0.0,0.35,0.64,0.79,2.41,0.23亿,12.32亿,35.86亿,22357.80
35,36,000933,神火股份,23.78,0.0,0.0,0.04,1.5,0.84,3.95,7.94亿,22.38亿,532.31亿,12.26
36,37,600425,青松建化,3.69,0.0,0.0,0.0,1.03,0.71,1.63,0.53亿,13.79亿,50.88亿,--
37,38,600575,淮河能源,3.23,0.0,0.0,0.31,1.67,1.08,3.71,2.07亿,38.86亿,125.53亿,10.13
38,39,600256,广汇能源,7.87,-0.13,-0.01,0.0,1.05,0.79,2.28,5.46亿,65.66亿,516.73亿,16.00
39,40,600925,苏能股份,5.56,-0.18,-0.01,0.0,0.55,0.77,0.9,0.49亿,16.06亿,89.30亿,21.50
40,41,002092,中泰化学,4.92,-0.2,-0.01,0.2,1.41,0.91,2.03,1.78亿,25.76亿,126.72亿,--
41,42,600157,永泰能源,1.35,-0.73,-0.01,0.0,1.02,1.08,1.47,3.06亿,222.18亿,299.94亿,16.07
42,43,600546,山煤国际,15.09,-0.07,-0.01,0.07,1.09,0.63,1.46,3.25亿,19.82亿,299.15亿,12.82
43,44,603012,创力集团,5.51,-0.36,-0.02,-0.18,0.92,0.77,1.99,0.32亿,6.42亿,35.39亿,14.80
44,45,600403,大有能源,3.12,-0.64,-0.02,0.32,0.33,0.8,2.87,0.24亿,23.91亿,74.59亿,--
45,46,600397,安源煤业,2.23,-0.89,-0.02,0.0,1.0,0.73,2.22,0.22亿,9.90亿,22.08亿,--
46,47,000983,山西焦煤,11.01,-0.18,-0.02,0.09,0.82,0.77,2.27,4.21亿,46.40亿,510.89亿,16.45
47,48,601666,平煤股份,13.73,-0.15,-0.02,0.0,1.35,0.98,2.47,4.55亿,24.64亿,338.31亿,11.48
48,49,600096,云天化,21.5,-0.09,-0.02,0.0,1.36,0.54,2.51,5.37亿,18.34亿,394.38亿,6.76
49,50,601015,陕西黑猫,3.6,-0.83,-0.03,0.0,0.4,0.63,2.2,0.30亿,20.43亿,73.53亿,--
50,51,600740,山西焦化,4.56,-0.65,-0.03,-0.22,0.58,0.82,1.74,0.68亿,25.62亿,116.83亿,44.37
51,52,600051,宁波联合,6.09,-0.49,-0.03,0.16,0.79,0.74,1.96,0.15亿,3.11亿,18.93亿,65.77
52,53,000010,美丽生态,1.98,-1.49,-0.03,0.0,2.11,0.65,2.98,0.22亿,5.22亿,10.34亿,--
53,54,000557,西部创业,4.75,-0.83,-0.04,0.0,0.58,0.59,2.09,0.41亿,14.58亿,69.25亿,20.54
54,55,600582,天地科技,7.58,-0.53,-0.04,0.0,0.47,0.61,1.44,1.47亿,41.39亿,313.70亿,11.33
55,56,000552,甘肃能化,3.48,-1.14,-0.04,0.0,1.44,1.44,3.41,1.50亿,29.85亿,103.88亿,8.68
56,57,600408,安泰集团,2.06,-1.91,-0.04,0.0,0.73,0.57,1.91,0.15亿,10.07亿,20.74亿,--
57,58,002072,凯瑞德,3.97,-1.0,-0.04,0.51,2.17,0.55,3.99,0.22亿,2.57亿,10.21亿,264.28
58,59,600673,东阳光,8.98,-0.55,-0.05,0.11,0.26,0.67,2.1,0.71亿,30.02亿,269.54亿,68.51
59,60,600595,中孚实业,3.27,-1.51,-0.05,0.0,1.86,0.89,5.12,2.43亿,39.65亿,129.64亿,74.97
60,61,002386,天原股份,4.84,-1.02,-0.05,0.0,0.87,0.66,2.86,0.49亿,11.58亿,56.05亿,240.32
61,62,600997,开滦股份,8.3,-0.72,-0.06,-0.12,0.42,0.78,2.99,0.55亿,15.88亿,131.79亿,15.73
62,63,601011,宝泰隆,2.42,-2.42,-0.06,-0.41,1.14,0.76,3.23,0.53亿,19.16亿,46.36亿,--
63,64,000571,新大洲A,3.17,-2.16,-0.07,0.0,2.08,0.54,3.7,0.54亿,8.14亿,25.80亿,--
64,65,603113,金能科技,7.11,-0.97,-0.07,-0.14,0.73,0.59,2.23,0.44亿,8.48亿,60.29亿,--
65,66,000723,美锦能源,6.2,-1.27,-0.08,0.0,0.57,0.63,2.71,1.51亿,42.96亿,266.37亿,--
66,67,600792,云煤能源,3.91,-2.0,-0.08,0.0,1.69,0.71,3.01,0.66亿,9.90亿,38.71亿,--
67,68,600989,宝丰能源,17.08,-0.52,-0.09,-0.06,0.13,0.37,1.69,1.63亿,73.33亿,1252.54亿,22.04
68,69,600971,恒源煤电,13.23,-0.75,-0.1,0.0,0.85,0.78,1.73,1.35亿,12.00亿,158.76亿,9.20
69,70,600128,苏豪弘业,7.44,-1.46,-0.11,0.14,2.08,0.86,3.71,0.38亿,2.47亿,18.36亿,151.12
70,71,600180,瑞茂通,4.8,-2.24,-0.11,0.21,1.22,0.91,2.65,0.64亿,10.87亿,52.16亿,12.60
71,72,002691,冀凯股份,5.47,-2.15,-0.12,0.55,0.91,0.81,4.29,0.17亿,3.36亿,18.36亿,167.68
72,73,600227,赤天化,1.95,-8.88,-0.19,-1.02,5.89,1.91,7.48,1.49亿,12.78亿,24.92亿,--
73,74,000612,焦作万方,7.95,-2.45,-0.2,-0.13,7.57,0.87,8.71,7.15亿,11.91亿,94.72亿,16.83
74,75,300208,*ST中程,2.0,-9.09,-0.2,0.0,4.64,0.97,12.73,0.66亿,6.87亿,13.75亿,--
75,76,000065,北方国际,12.64,-2.17,-0.28,0.0,1.93,0.78,4.03,2.24亿,9.06亿,114.47亿,12.00
76,77,688570,天玛智控,22.81,-1.89,-0.44,-0.09,2.3,0.77,2.11,0.31亿,0.58亿,13.32亿,24.58
