,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600405,动力源,3.81,10.12,0.35,441399.0,164243673.0,11.27,3.81,3.42,3.47,3.46,7.98,-10.1,4.22
1,2,300713,英可瑞,14.24,7.72,1.02,169361.0,241217758.33,13.54,14.82,13.03,13.21,13.22,19.33,-38.88,3.65
2,3,688551,科威尔,26.59,7.35,1.82,14033.0,36753013.0,13.32,27.87,24.57,24.85,24.77,1.67,26.69,1.71
3,4,300745,欣锐科技,14.08,7.24,0.95,76621.0,105845211.88,13.56,14.68,12.9,13.12,13.13,5.42,-34.91,0.99
4,5,603959,ST百利,1.91,4.95,0.09,163797.0,31281898.0,1.1,1.91,1.89,1.91,1.82,3.34,-3.49,2.3
5,6,300091,金通灵,1.53,4.79,0.07,333417.0,50795473.12,6.85,1.57,1.47,1.47,1.46,2.5,-15.07,1.19
6,7,300069,金利华电,11.08,4.53,0.48,37924.0,41353921.0,5.28,11.12,10.56,10.71,10.6,3.24,115.16,5.21
7,8,300648,星云股份,18.14,4.31,0.75,56403.0,100224305.6,6.5,18.18,17.05,17.52,17.39,5.31,-33.06,3.26
8,9,300806,斯迪克,11.2,3.99,0.43,156423.0,168649996.01,6.5,11.2,10.5,10.74,10.77,5.6,77.64,2.31
9,10,300152,新动力,1.92,3.78,0.07,407101.0,77539853.69,7.03,1.95,1.82,1.83,1.85,5.71,-93.79,4.33
10,11,600482,中国动力,22.46,3.6,0.78,202816.0,453900679.0,5.03,22.74,21.65,21.73,21.68,0.92,51.94,1.33
11,12,300141,和顺电气,7.79,3.45,0.26,74585.0,57578558.96,5.58,7.87,7.45,7.64,7.53,2.95,546.07,2.96
12,13,301499,维科精密,20.88,3.21,0.65,9125.0,18694050.6,4.1,20.89,20.06,20.22,20.23,2.64,68.83,2.32
13,14,300048,合康新能,4.29,2.88,0.12,47935.0,20264268.6,3.6,4.31,4.16,4.22,4.17,0.43,280.11,2.8
14,15,002823,凯中精密,14.3,2.66,0.37,490625.0,697470397.25,7.11,14.68,13.69,13.86,13.93,22.67,30.37,2.5
15,16,301611,珂玛科技,29.8,2.48,0.72,138474.0,410314697.93,7.57,30.4,28.2,28.85,29.08,24.55,46.69,9.33
16,17,001696,宗申动力,12.53,2.45,0.3,1220248.0,1506083997.02,4.91,12.61,12.01,12.16,12.23,13.69,25.45,2.98
17,18,688819,天能股份,26.93,2.4,0.63,29308.0,78054143.0,3.35,27.06,26.18,26.18,26.3,0.3,10.96,1.67
18,19,300365,恒华科技,4.81,2.34,0.11,144713.0,68326744.46,4.68,4.82,4.6,4.71,4.7,2.99,228.51,1.45
19,20,002535,林州重机,3.2,2.24,0.07,119420.0,37805864.6,2.88,3.21,3.12,3.13,3.13,1.6,13.32,4.02
20,21,300423,昇辉科技,5.07,2.22,0.11,55380.0,27689680.4,3.83,5.09,4.9,4.99,4.96,1.67,105.81,1.7
21,22,300099,尤洛卡,4.71,2.17,0.1,83748.0,38794395.07,3.69,4.72,4.55,4.61,4.61,1.44,50.12,1.47
22,23,002498,汉缆股份,2.85,2.15,0.06,162452.0,45833423.67,3.23,2.87,2.78,2.8,2.79,0.49,12.4,1.19
23,24,600241,时代万恒,6.11,2.0,0.12,114786.0,69010106.0,8.51,6.22,5.71,5.8,5.99,3.9,94.37,1.55
24,25,600803,新奥股份,17.91,1.82,0.32,45917.0,81570057.0,3.01,17.96,17.43,17.59,17.59,0.16,10.97,2.49
25,26,605255,天普股份,10.7,1.81,0.19,12385.0,13125006.0,2.66,10.73,10.45,10.51,10.51,0.92,53.28,1.73
26,27,300228,富瑞特装,5.68,1.79,0.1,92113.0,51852861.14,1.97,5.68,5.57,5.58,5.58,1.7,19.78,1.64
27,28,002783,凯龙股份,7.03,1.74,0.12,29919.0,20929815.0,2.89,7.09,6.89,6.91,6.91,0.87,26.99,1.45
