,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,605499,东鹏饮料,212.88,3.35,6.89,0.37,1.05,1.08,4.63,3.54亿,1.59亿,339.06亿,32.07
1,2,000596,古井贡酒,271.24,1.95,5.18,0.0,0.37,1.16,3.75,4.08亿,4.09亿,1108.29亿,17.35
2,3,600600,青岛啤酒,81.96,3.34,2.65,0.0,1.6,2.17,2.98,9.26亿,7.05亿,577.57亿,17.5
3,4,603613,国联股份,26.02,10.02,2.37,0.0,5.93,2.24,10.02,10.69亿,7.22亿,187.95亿,15.02
4,5,600132,重庆啤酒,70.37,3.41,2.32,0.0,2.11,2.18,4.19,7.23亿,4.84亿,340.57亿,18.84
5,6,000921,海信家电,38.68,5.6,2.05,-0.54,1.42,1.3,6.66,4.92亿,9.03亿,349.21亿,13.68
6,7,002557,洽洽食品,37.5,5.78,2.05,0.03,2.47,3.09,6.57,4.70亿,5.07亿,190.12亿,19.77
7,8,603365,水星家纺,18.41,9.98,1.67,0.0,1.52,1.34,5.85,0.72亿,2.63亿,48.37亿,12.96
8,9,002959,小熊电器,58.47,2.79,1.59,0.0,2.81,1.81,4.69,2.52亿,1.54亿,90.14亿,15.21
9,10,600690,海尔智家,30.26,5.07,1.46,0.07,0.94,1.97,5.45,17.97亿,63.09亿,1908.97亿,14.96
10,11,603195,公牛集团,119.51,1.18,1.39,-0.01,0.23,0.85,3.53,2.44亿,8.88亿,1061.23亿,28.66
11,12,002993,奥海科技,33.53,3.87,1.25,0.0,1.66,2.08,3.75,1.32亿,2.38亿,79.76亿,18.86
12,13,600506,统一股份,12.96,10.02,1.18,0.0,3.25,0.72,0.0,0.62亿,1.48亿,19.14亿,15.77
13,14,000423,东阿阿胶,68.72,1.64,1.11,0.0,0.88,1.03,3.62,3.93亿,6.44亿,442.54亿,31.31
14,15,002847,盐津铺子,76.1,1.44,1.08,0.0,0.91,0.88,4.04,1.20亿,1.73亿,131.35亿,23.37
15,16,000521,长虹美菱,10.26,9.97,0.93,0.0,2.81,1.37,10.29,2.46亿,8.75亿,89.81亿,16.98
16,17,603908,牧高笛,32.92,2.88,0.92,-0.03,3.57,1.51,7.56,0.80亿,0.67亿,21.95亿,17.39
17,18,870726,鸿智科技,19.08,5.01,0.91,0.0,22.1,1.2,11.23,0.49亿,0.12亿,2.24亿,28.09
18,19,001238,浙江正特,21.65,4.04,0.84,-0.05,10.11,2.08,7.16,0.70亿,0.32亿,6.92亿,28.02
19,20,603589,口子窖,41.82,2.05,0.84,-0.05,1.78,1.88,3.1,4.50亿,5.97亿,249.61亿,10.64
20,21,301371,敷尔佳,34.59,2.46,0.83,0.0,10.17,1.35,4.74,1.41亿,0.40亿,13.86亿,22.8
21,22,301055,张小泉,14.05,6.04,0.8,0.14,6.65,2.44,9.74,0.54亿,0.58亿,8.21亿,71.51
22,23,301015,百洋医药,32.35,2.47,0.78,0.03,2.19,0.47,3.8,0.84亿,1.19亿,38.46亿,25.61
23,24,300894,火星人,16.72,4.63,0.74,0.0,10.89,1.45,12.45,5.36亿,2.94亿,49.17亿,46.38
24,25,300577,开润股份,20.62,3.62,0.72,0.05,2.15,1.5,9.4,0.62亿,1.40亿,28.88亿,17.4
25,26,003030,祖名股份,17.48,4.23,0.71,-0.06,1.86,1.4,4.65,0.26亿,0.81亿,14.16亿,56.18
26,27,003000,劲仔食品,14.98,4.75,0.68,0.0,2.92,0.96,5.17,1.31亿,3.03亿,45.37亿,22.95
27,28,600761,安徽合力,24.06,2.78,0.65,-0.08,2.13,1.02,5.68,4.00亿,7.83亿,188.33亿,12.07
28,29,300997,欢乐家,15.7,3.7,0.56,0.0,6.15,1.58,5.35,0.83亿,0.88亿,13.74亿,21.4
29,30,300783,三只松鼠,24.64,2.24,0.54,-0.16,2.96,0.96,4.27,2.05亿,2.80亿,68.89亿,8.01
30,31,001323,慕思股份,34.55,1.47,0.5,0.12,2.82,1.74,2.91,0.75亿,0.78亿,26.93亿,24.46
31,32,603579,荣泰健康,23.26,2.2,0.5,-0.04,2.88,1.01,3.87,0.93亿,1.39亿,32.33亿,12.88
32,33,003006,百亚股份,21.6,2.27,0.48,0.09,0.84,0.42,5.07,0.77亿,4.28亿,92.54亿,22.6
33,34,300673,佩蒂股份,14.26,3.41,0.47,0.0,4.19,0.71,4.71,0.99亿,1.66亿,23.70亿,21.66
34,35,603983,丸美股份,30.33,1.51,0.45,0.1,0.93,0.92,3.92,1.14亿,4.01亿,121.62亿,27.48
35,36,002862,实丰文化,13.95,3.1,0.42,0.0,11.33,2.85,6.5,1.42亿,0.90亿,12.58亿,100.24
36,37,300181,佐力药业,14.91,2.83,0.41,0.0,4.97,1.36,6.0,4.47亿,6.01亿,89.64亿,18.36
37,38,301336,趣睡科技,32.22,1.29,0.41,0.34,1.69,1.02,3.93,0.14亿,0.26亿,8.30亿,41.76
38,39,605577,龙版传媒,18.18,2.31,0.41,0.06,6.01,1.39,2.7,2.04亿,1.88亿,34.24亿,14.71
39,40,000790,华神科技,4.24,10.13,0.39,0.0,7.13,5.85,10.65,1.85亿,6.23亿,26.41亿,292.06
40,41,002612,朗姿股份,17.45,2.23,0.38,0.0,3.53,1.42,2.69,1.56亿,2.54亿,44.24亿,23.49
41,42,001206,依依股份,14.46,2.63,0.37,0.0,5.68,1.12,4.12,0.73亿,0.90亿,12.97亿,15.81
42,43,688793,倍轻松,32.97,1.1,0.36,-0.09,1.44,0.67,2.3,0.16亿,0.33亿,10.93亿,45.38
43,44,002032,苏泊尔,58.9,0.6,0.35,-0.05,0.34,1.17,4.05,1.65亿,8.05亿,473.87亿,25.3
44,45,301408,华人健康,12.52,2.88,0.35,0.08,2.85,1.87,4.11,0.53亿,1.49亿,18.68亿,26.21
45,46,001211,双枪科技,17.66,1.96,0.34,0.63,7.11,1.65,4.68,0.47亿,0.38亿,6.65亿,29.64
46,47,300067,安诺其,5.44,6.46,0.33,0.18,24.09,1.13,13.89,10.16亿,7.72亿,41.98亿,302.93
47,48,301507,民生健康,12.78,2.65,0.33,0.0,8.05,1.82,4.9,0.92亿,0.89亿,11.39亿,19.35
48,49,600630,龙头股份,9.24,3.7,0.33,0.0,16.99,3.45,6.96,6.67亿,4.25亿,39.26亿,52.41
49,50,301332,德尔玛,11.55,2.85,0.32,-0.09,16.76,1.41,6.77,1.74亿,0.90亿,10.42亿,57.07
50,51,600887,伊利股份,28.61,1.13,0.32,-0.11,1.86,3.1,3.15,33.53亿,63.05亿,1803.89亿,7.69
51,52,300908,仲景食品,44.86,0.67,0.3,0.0,0.87,0.92,2.11,0.33亿,0.85亿,37.97亿,22.05
52,53,603600,永艺股份,11.76,2.62,0.3,-0.09,1.63,0.72,3.75,0.58亿,3.03亿,35.58亿,22.93
53,54,605077,华康股份,21.17,1.44,0.3,0.0,0.71,0.78,3.26,0.34亿,2.28亿,48.36亿,15.52
54,55,002950,奥美医疗,8.23,3.65,0.29,0.0,1.79,2.85,4.03,0.66亿,4.52亿,37.20亿,13.88
55,56,605300,佳禾食品,14.05,2.11,0.29,0.0,0.49,1.03,2.98,0.27亿,4.00亿,56.20亿,30.73
56,57,002298,中电兴发,5.66,5.21,0.28,0.18,15.5,2.15,6.51,5.57亿,6.40亿,36.20亿,32.74
57,58,002563,森马服饰,6.52,4.49,0.28,0.31,1.17,2.06,4.17,1.68亿,22.08亿,143.99亿,12.68
58,59,300911,亿田智能,28.08,1.01,0.28,-0.04,4.31,1.16,5.47,1.21亿,1.00亿,27.98亿,165.53
59,60,600398,海澜之家,9.11,3.17,0.28,-0.11,0.99,1.95,4.08,4.38亿,48.03亿,437.53亿,12.34
60,61,603237,五芳斋,28.02,1.01,0.28,0.0,1.24,1.15,1.84,0.31亿,0.88亿,24.68亿,--
61,62,002790,瑞尔特,12.1,2.28,0.27,0.25,1.64,1.18,5.07,0.52亿,2.61亿,31.54亿,21.59
62,63,003023,彩虹集团,17.64,1.5,0.26,0.0,10.61,0.85,3.85,0.96亿,0.52亿,9.23亿,12.44
63,64,002327,富安娜,10.96,2.33,0.25,0.0,1.55,1.0,3.27,0.83亿,4.87亿,53.35亿,18.74
64,65,003010,若羽臣,16.53,1.54,0.25,0.0,3.96,1.34,2.46,0.60亿,0.92亿,15.15亿,39.43
65,66,600177,雅戈尔,7.81,3.31,0.25,0.13,0.96,2.43,4.23,3.48亿,46.29亿,361.51亿,9.75
66,67,002166,莱茵生物,7.84,3.16,0.24,0.0,6.47,1.82,4.74,2.58亿,5.14亿,40.26亿,54.28
67,68,002956,西麦食品,13.93,1.75,0.24,-0.14,3.11,1.16,2.63,0.96亿,2.23亿,31.00亿,17.28
68,69,300740,水羊股份,17.94,1.36,0.24,-0.17,1.67,0.47,3.16,1.07亿,3.57亿,64.10亿,43.55
69,70,300824,北鼎股份,8.91,2.77,0.24,0.0,5.1,1.17,7.38,1.43亿,3.16亿,28.16亿,32.17
70,71,301009,可靠股份,8.63,2.86,0.24,0.0,4.17,1.74,4.41,0.35亿,0.98亿,8.42亿,32.0
71,72,600679,上海凤凰,9.58,2.57,0.24,0.0,3.21,2.2,8.35,0.94亿,3.13亿,29.96亿,43.43
72,73,001328,登康口腔,23.59,0.98,0.23,0.04,4.94,1.46,2.27,0.50亿,0.43亿,10.15亿,27.21
73,74,600694,大商股份,20.42,1.14,0.23,0.0,2.14,1.75,3.52,1.28亿,2.94亿,59.98亿,5.7
74,75,600814,杭州解百,6.62,3.6,0.23,0.0,2.08,2.43,3.91,0.98亿,7.23亿,47.89亿,9.88
75,76,002597,金禾实业,24.61,0.9,0.22,0.04,2.94,1.65,6.72,4.14亿,5.67亿,139.46亿,27.15
76,77,002946,新乳业,9.97,2.26,0.22,-0.1,1.5,1.45,5.44,1.27亿,8.52亿,84.90亿,24.04
77,78,605336,帅丰电器,14.01,1.59,0.22,0.0,4.91,1.47,5.87,1.24亿,1.83亿,25.70亿,28.99
78,79,603001,ST奥康,4.45,4.95,0.21,0.0,0.05,0.14,0.0,0.01亿,4.01亿,17.84亿,19.74
79,80,603511,爱慕股份,13.95,1.53,0.21,-0.14,3.38,1.3,2.04,0.26亿,0.54亿,7.59亿,13.27
80,81,002053,云南能投,12.46,1.63,0.2,-0.08,1.4,1.17,3.51,1.62亿,9.21亿,114.72亿,8.04
81,82,002646,天佑德酒,11.96,1.7,0.2,0.0,1.9,1.26,2.72,1.07亿,4.73亿,56.52亿,13.30
82,83,839273,一致魔芋,10.63,1.92,0.2,0.0,1.38,1.69,4.79,0.04亿,0.27亿,2.86亿,11.82
83,84,002186,全聚德,10.48,1.85,0.19,0.0,4.84,1.87,6.03,1.54亿,3.06亿,32.11亿,52.53
84,85,002507,涪陵榨菜,14.21,1.35,0.19,-0.07,1.81,1.34,3.0,2.90亿,11.38亿,161.75亿,15.09
85,86,300261,雅本化学,6.2,3.16,0.19,0.0,4.79,1.95,11.48,2.81亿,9.37亿,58.10亿,--
86,87,600479,千金药业,11.55,1.67,0.19,0.09,2.02,1.21,2.82,0.98亿,4.19亿,48.34亿,26.81
87,88,603529,爱玛科技,35.28,0.54,0.19,0.17,2.1,0.74,2.91,1.65亿,2.24亿,78.86亿,15.73
88,89,002234,民和股份,10.04,1.83,0.18,0.0,1.6,1.67,2.74,0.48亿,3.03亿,30.38亿,--
89,90,603899,晨光股份,35.37,0.51,0.18,-0.11,0.85,1.62,2.93,2.77亿,9.24亿,326.76亿,21.57
90,91,300866,安克创新,86.37,0.2,0.17,0.43,1.17,0.82,1.98,2.26亿,2.25亿,194.22亿,28.25
91,92,301110,青木股份,42.16,0.41,0.17,0.0,3.93,0.91,2.81,0.60亿,0.37亿,15.43亿,29.07
92,93,600272,开开实业,10.39,1.66,0.17,0.0,4.22,1.43,3.13,0.70亿,1.60亿,16.62亿,27.14
93,94,603518,锦泓集团,10.42,1.66,0.17,-0.1,5.76,1.1,3.61,2.07亿,3.44亿,35.80亿,7.79
94,95,603697,有友食品,6.69,2.61,0.17,-0.15,1.66,2.05,3.53,0.47亿,4.28亿,28.61亿,16.52
95,96,300209,*ST有树,2.78,6.11,0.16,-0.36,6.04,2.17,10.69,0.66亿,3.95亿,10.98亿,--
96,97,002269,美邦服饰,1.66,9.93,0.15,0.0,6.48,6.45,7.29,2.65亿,25.12亿,41.71亿,15.31
97,98,002830,名雕股份,11.27,1.35,0.15,0.09,5.21,1.2,3.69,0.39亿,0.67亿,7.53亿,101.97
98,99,600697,欧亚集团,11.05,1.38,0.15,-0.36,4.5,1.63,3.94,0.77亿,1.55亿,17.17亿,32.69
99,100,603193,润本股份,18.63,0.81,0.15,0.11,4.2,0.39,2.44,0.47亿,0.61亿,11.31亿,53.12
100,101,001222,源飞宠物,13.29,1.06,0.14,-0.15,3.72,0.95,2.89,0.39亿,0.79亿,10.44亿,17.36
101,102,002852,道道全,8.29,1.72,0.14,0.12,2.5,1.14,2.82,0.57亿,2.77亿,22.94亿,9.62
102,103,002878,元隆雅图,14.39,0.98,0.14,0.07,6.83,1.37,8.0,1.95亿,1.97亿,28.34亿,32.7
103,104,002035,华帝股份,7.27,1.82,0.13,0.0,6.6,1.48,4.76,3.76亿,7.81亿,56.74亿,12.42
104,105,002403,爱仕达,7.8,1.7,0.13,-0.13,5.04,1.47,4.43,1.19亿,3.06亿,23.86亿,32.38
105,106,300788,中信出版,29.76,0.41,0.12,0.0,3.62,0.91,3.78,2.06亿,1.90亿,56.59亿,37.35
106,107,300879,大叶股份,14.27,0.85,0.12,-0.07,2.79,0.87,3.67,0.62亿,1.59亿,22.66亿,12.55
107,108,605599,菜百股份,14.94,0.81,0.12,0.0,0.73,0.89,2.5,0.64亿,5.87亿,87.65亿,10.66
108,109,000848,承德露露,9.21,1.21,0.11,-0.11,1.11,0.98,2.64,1.06亿,10.40亿,95.74亿,9.84
109,110,000906,浙商中拓,7.69,1.45,0.11,0.0,1.35,0.92,2.24,0.72亿,6.90亿,53.10亿,5.5
110,111,002216,三全食品,12.55,0.88,0.11,-0.08,0.78,0.69,2.17,0.62亿,6.30亿,79.10亿,12.01
111,112,002330,得利斯,4.32,2.61,0.11,0.0,1.76,1.57,3.56,0.48亿,6.35亿,27.44亿,50.98
112,113,002818,富森美,14.33,0.77,0.11,-0.42,1.01,0.71,2.11,0.43亿,2.98亿,42.74亿,14.31
113,114,605099,共创草坪,23.04,0.48,0.11,0.22,0.22,1.13,3.4,0.20亿,4.00亿,92.18亿,19.02
114,115,001259,利仁科技,22.47,0.45,0.1,-0.04,14.13,0.48,2.33,0.69亿,0.22亿,4.93亿,33.24
115,116,002404,嘉欣丝绸,5.88,1.73,0.1,0.0,1.73,1.64,2.25,0.47亿,4.61亿,27.10亿,17.51
116,117,002582,好想你,6.4,1.59,0.1,-0.16,4.6,0.98,4.76,1.01亿,3.40亿,21.75亿,57.58
117,118,300290,荣科科技,8.77,1.15,0.1,-0.11,11.78,0.99,5.77,6.70亿,6.40亿,56.10亿,--
118,119,600115,中国东航,3.84,2.67,0.1,-0.26,0.89,1.6,4.81,4.56亿,134.81亿,517.66亿,--
119,120,600513,联环药业,9.29,1.09,0.1,0.0,3.42,1.96,3.7,0.91亿,2.85亿,26.52亿,20.37
120,121,000729,燕京啤酒,9.89,0.92,0.09,0.0,1.21,0.79,3.06,3.01亿,25.10亿,248.20亿,67.93
121,122,002705,新宝股份,16.62,0.55,0.09,-0.06,2.32,1.35,4.17,3.18亿,8.18亿,135.97亿,19.78
