,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300766,每日互动,13.75,19.98,2.29,0.0,16.55,7.25,18.59,7.90亿,3.62亿,49.81亿,--
1,2,301508,中机认检,42.9,2.93,1.22,0.0,19.11,1.24,6.02,3.43亿,0.43亿,18.43亿,89.59
2,3,300844,山水比德,26.44,4.51,1.14,0.0,23.05,1.64,5.3,1.00亿,0.17亿,4.43亿,73.34
3,4,002987,京北方,17.4,5.07,0.84,0.0,5.24,1.96,6.28,3.83亿,4.28亿,74.50亿,39.55
4,5,300807,天迈科技,25.35,2.18,0.54,-0.32,10.05,0.81,8.67,1.22亿,0.49亿,12.44亿,--
5,6,300785,值得买,21.9,2.48,0.53,0.05,14.03,1.29,6.55,3.54亿,1.14亿,24.93亿,--
6,7,301313,凡拓数创,24.05,1.95,0.46,-0.13,6.43,1.16,3.14,1.01亿,0.65亿,15.71亿,--
7,8,002413,雷科防务,4.92,10.07,0.45,0.0,11.63,3.28,9.84,6.91亿,12.51亿,61.53亿,--
8,9,300063,天龙集团,4.91,5.14,0.24,-0.2,17.14,2.08,9.85,5.34亿,6.25亿,30.70亿,70.51
9,10,002813,路畅科技,31.68,0.6,0.19,-0.03,4.95,0.62,5.59,1.84亿,1.18亿,37.41亿,--
10,11,600906,财达证券,7.17,2.43,0.17,0.0,3.03,2.88,3.57,4.61亿,21.24亿,152.31亿,52.37
11,12,603232,格尔软件,13.92,1.02,0.14,0.0,13.48,0.71,4.28,4.40亿,2.33亿,32.48亿,--
12,13,600228,返利科技,6.32,2.1,0.13,0.16,10.72,1.28,5.01,2.01亿,3.00亿,18.99亿,572.29
13,14,830799,艾融软件,10.3,1.18,0.12,0.0,4.03,1.34,5.5,0.50亿,1.21亿,12.46亿,47.09
14,15,002364,中恒电气,6.38,1.59,0.1,-0.16,2.86,1.24,3.82,1.01亿,5.58亿,35.61亿,81.65
15,16,688168,安博通,33.1,0.24,0.08,0.24,0.96,0.53,2.76,0.24亿,0.77亿,25.33亿,--
16,17,300788,中信出版,28.94,0.21,0.06,0.07,2.19,0.76,2.6,1.21亿,1.90亿,55.03亿,36.32
17,18,600548,深高速,10.35,0.58,0.06,-0.1,0.32,0.91,1.46,0.47亿,14.33亿,148.34亿,11.98
18,19,300352,北信源,4.53,0.67,0.03,-0.22,2.87,1.21,3.56,1.60亿,12.19亿,55.24亿,559.84
19,20,000889,ST中嘉,1.7,1.19,0.02,-0.59,4.19,2.84,5.95,0.62亿,8.70亿,14.79亿,--
20,21,000572,海马汽车,3.81,0.26,0.01,0.00,1.41,1.01,4.21,0.88亿,16.42亿,62.57亿,--
21,22,002375,亚厦股份,3.99,0.25,0.01,0.00,0.48,0.73,1.51,0.26亿,13.27亿,52.94亿,20.58
22,23,601139,深圳燃气,7.74,0.13,0.01,0.00,0.60,1.12,2.46,1.33亿,28.77亿,222.66亿,20.19
23,24,002699,*ST美盛,--,--,--,--,--,--,--,--,9.10亿,3.73亿,--
24,25,002878,元隆雅图,14.11,0.00,0.00,0.07,3.06,0.72,3.62,0.85亿,1.97亿,27.79亿,32.07
25,26,300226,上海钢联,20.55,0.00,0.00,0.00,2.63,1.12,3.75,1.68亿,3.10亿,63.61亿,33.64
26,27,002131,利欧股份,1.96,-0.51,-0.01,-0.51,1.41,0.46,2.03,1.62亿,58.48亿,114.62亿,--
27,28,600166,福田汽车,2.60,-0.38,-0.01,-0.38,0.77,0.53,1.53,1.32亿,65.75亿,170.96亿,20.31
28,29,002195,岩山科技,2.89,-0.69,-0.02,0.00,1.09,0.70,2.06,1.78亿,56.56亿,163.47亿,52.85
29,30,600686,金龙汽车,8.29,-0.24,-0.02,-0.12,3.89,0.57,2.41,2.31亿,7.17亿,59.44亿,84.15
30,31,601777,力帆科技,3.28,-0.61,-0.02,0.0,0.47,1.2,3.03,0.70亿,45.21亿,148.29亿,242.38
31,32,000564,ST大集,1.87,-1.58,-0.03,-0.53,0.6,0.99,2.1,1.70亿,151.82亿,283.90亿,--
32,33,002063,远光软件,5.27,-0.57,-0.03,-0.19,1.4,1.0,2.26,1.30亿,17.59亿,92.67亿,274.45
33,34,300242,佳云科技,2.62,-1.13,-0.03,-0.38,4.23,0.99,4.91,0.71亿,6.30亿,16.49亿,--
34,35,603893,瑞芯微,58.24,-0.05,-0.03,0.02,0.81,1.04,2.49,1.99亿,4.18亿,243.43亿,89.99
35,36,002301,齐心集团,5.77,-0.86,-0.05,0.0,0.81,0.89,2.23,0.34亿,7.18亿,41.43亿,21.05
36,37,000607,华媒控股,3.89,-1.52,-0.06,-0.26,1.03,1.12,3.04,0.36亿,8.85亿,34.42亿,--
37,38,600831,广电网络,3.79,-1.56,-0.06,0.0,0.98,0.86,3.38,0.27亿,7.11亿,26.93亿,--
38,39,002065,东华软件,5.32,-1.3,-0.07,-0.19,0.57,0.83,2.6,0.89亿,29.08亿,154.70亿,60.25
39,40,002355,兴民智通,4.41,-1.56,-0.07,0.0,3.48,0.44,2.23,0.95亿,6.18亿,27.26亿,97.56
40,41,002607,中公教育,2.58,-2.64,-0.07,0.0,3.28,0.85,4.15,4.16亿,48.67亿,125.58亿,48.05
41,42,000063,中兴通讯,27.99,-0.28,-0.08,-0.04,1.76,0.79,2.49,19.72亿,40.27亿,1127.16亿,12.21
42,43,002354,天娱数科,4.17,-1.88,-0.08,0.0,2.41,0.74,4.0,1.63亿,16.18亿,67.49亿,129.63
43,44,300071,福石控股,2.61,-2.97,-0.08,0.0,1.38,0.97,4.09,0.33亿,9.07亿,23.67亿,--
44,45,300448,浩云科技,4.15,-1.89,-0.08,0.0,1.41,0.76,3.31,0.29亿,4.92亿,20.40亿,224.51
45,46,002642,荣联科技,5.97,-1.49,-0.09,0.0,2.04,0.85,3.13,0.74亿,6.05亿,36.11亿,189.27
46,47,002659,凯文教育,3.91,-2.25,-0.09,0.0,1.26,0.93,2.75,0.30亿,5.98亿,23.39亿,--
47,48,300098,高新兴,3.36,-2.61,-0.09,-0.3,1.4,0.52,3.19,0.73亿,15.42亿,51.80亿,187.04
48,49,300264,佳创视讯,4.67,-1.89,-0.09,-0.21,4.4,1.51,6.72,0.77亿,3.69亿,17.23亿,--
49,50,300291,百纳千成,5.04,-1.75,-0.09,0.0,1.99,0.62,4.29,0.94亿,9.29亿,46.81亿,336.77
50,51,300383,光环新网,9.08,-0.98,-0.09,0.0,0.82,0.98,2.51,1.33亿,17.94亿,162.87亿,24.88
51,52,000681,视觉中国,14.07,-0.71,-0.1,-0.07,4.66,1.11,4.73,4.50亿,6.75亿,94.90亿,155.27
52,53,002400,省广集团,5.22,-1.88,-0.1,-0.19,2.22,0.81,2.44,2.01亿,17.26亿,90.11亿,95.79
53,54,002530,金财互联,7.27,-1.36,-0.1,-0.14,0.73,0.6,2.85,0.36亿,6.80亿,49.46亿,588.33
54,55,300078,思创医惠,2.86,-3.38,-0.1,0.0,1.54,0.9,4.73,0.39亿,8.83亿,25.25亿,--
55,56,600804,*ST鹏博,1.86,-5.1,-0.1,0.0,2.2,0.54,1.53,0.57亿,13.93亿,25.90亿,--
56,57,000829,天音控股,8.17,-1.33,-0.11,-0.12,1.99,1.24,5.43,1.69亿,10.24亿,83.67亿,131.43
57,58,300315,掌趣科技,4.79,-2.25,-0.11,-0.21,2.69,0.79,3.67,3.35亿,25.94亿,124.26亿,58.92
58,59,300380,安硕信息,16.82,-0.65,-0.11,0.12,2.87,0.67,4.08,0.62亿,1.27亿,21.43亿,226.07
59,60,000158,常山北明,7.06,-1.67,-0.12,0.0,1.58,0.64,1.95,1.77亿,15.84亿,111.85亿,--
60,61,000676,智度股份,6.45,-1.83,-0.12,-0.31,2.44,0.77,3.65,2.02亿,12.75亿,82.24亿,37.27
61,62,002279,久其软件,4.99,-2.35,-0.12,0.0,1.81,1.01,4.11,0.73亿,7.98亿,39.80亿,--
62,63,300663,科蓝软件,10.31,-1.15,-0.12,-0.19,2.54,1.11,4.41,1.10亿,4.15亿,42.77亿,--
63,64,600839,四川长虹,5.44,-2.16,-0.12,-0.37,2.54,0.54,2.52,6.42亿,46.15亿,251.05亿,35.74
64,65,002799,环球印务,7.37,-1.73,-0.13,0.0,1.02,0.8,3.47,0.24亿,3.20亿,23.59亿,25.82
65,66,300232,洲明科技,5.46,-2.33,-0.13,0.18,2.04,1.1,3.58,0.99亿,8.88亿,48.50亿,76.88
66,67,300830,金现代,6.05,-2.1,-0.13,0.33,1.39,0.68,4.04,0.26亿,3.10亿,18.77亿,--
67,68,600410,华胜天成,4.82,-2.63,-0.13,0.0,1.3,0.94,3.43,0.69亿,10.96亿,52.85亿,--
68,69,600986,浙文互联,4.94,-2.56,-0.13,-0.4,3.33,0.85,4.54,2.20亿,13.22亿,65.33亿,72.22
69,70,002858,力盛体育,12.36,-1.12,-0.14,-0.08,4.85,0.94,3.2,0.89亿,1.47亿,18.13亿,43.80
70,71,300058,蓝色光标,6.22,-2.2,-0.14,-0.16,2.1,0.84,3.93,3.13亿,23.85亿,148.34亿,46.99
71,72,300271,华宇软件,5.76,-2.37,-0.14,0.17,1.43,0.81,4.07,0.67亿,8.02亿,46.18亿,--
72,73,600733,北汽蓝谷,6.09,-2.25,-0.14,0.0,2.8,0.6,2.73,7.76亿,45.40亿,276.47亿,--
