,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,001301,尚太科技,45.04,5.04,2.16,0.0,6.96,1.57,8.61,4.86亿,1.60亿,72.07亿,19.74
1,2,603260,合盛硅业,53.06,1.1,0.58,0.04,0.27,0.84,2.95,1.54亿,10.74亿,569.95亿,29.71
2,3,000059,华锦股份,5.38,3.86,0.2,0.0,8.31,3.14,6.95,7.39亿,15.99亿,86.05亿,--
3,4,600019,宝钢股份,7.03,1.15,0.08,-0.14,0.31,0.89,1.73,4.78亿,218.58亿,1536.61亿,20.18
4,5,601188,龙江交通,3.97,1.79,0.07,0.0,3.31,0.86,3.08,1.71亿,13.16亿,52.24亿,25.64
5,6,603617,君禾股份,6.4,-0.31,-0.02,-0.16,1.58,1.03,2.96,0.39亿,3.83亿,24.50亿,39.60
6,7,603315,福鞍股份,12.63,-0.16,-0.02,0.16,0.5,0.62,2.69,0.20亿,3.07亿,38.78亿,72.59
7,8,300080,易成新能,4.26,-0.7,-0.03,-0.23,0.65,1.01,3.26,0.36亿,12.97亿,55.24亿,--
8,9,601011,宝泰隆,2.42,-2.42,-0.06,-0.41,1.14,0.76,3.23,0.53亿,19.16亿,46.36亿,--
9,10,600516,方大炭素,5.22,-1.14,-0.06,-0.19,0.58,0.54,1.89,1.22亿,40.26亿,210.16亿,30.67
10,11,002753,永东股份,6.81,-0.87,-0.06,0.0,2.22,0.71,2.33,0.37亿,2.43亿,16.53亿,20.23
11,12,000982,中银绒业,1.04,-6.31,-0.07,-0.95,3.3,1.17,5.41,1.49亿,42.62亿,44.32亿,--
12,13,600792,云煤能源,3.91,-2.0,-0.08,0.0,1.69,0.71,3.01,0.66亿,9.90亿,38.71亿,--
13,14,839719,宁新新材,8.6,-1.04,-0.09,0.0,1.55,0.87,2.07,0.09亿,0.65亿,5.59亿,--
14,15,002365,永安药业,8.11,-1.46,-0.12,-0.12,3.12,0.54,2.55,0.63亿,2.44亿,19.81亿,20.83
15,16,600884,杉杉股份,11.79,-1.59,-0.19,-0.09,0.59,0.81,2.84,1.23亿,17.57亿,207.18亿,--
16,17,002601,龙佰集团,21.69,-0.87,-0.19,0.14,1.03,0.65,2.79,5.20亿,23.23亿,503.75亿,13.61
17,18,603612,索通发展,16.08,-1.35,-0.22,0.0,6.72,1.67,6.01,5.09亿,4.70亿,75.58亿,--
18,19,832175,东方碳素,9.36,-2.5,-0.24,0.0,2.69,0.56,4.58,0.15亿,0.60亿,5.66亿,17.65
19,20,300035,中科电气,10.17,-2.4,-0.25,0.1,3.17,0.65,2.21,2.01亿,6.21亿,63.18亿,77.38
20,21,300077,国民技术,9.38,-3.4,-0.33,-0.21,2.53,1.13,3.91,1.36亿,5.66亿,53.12亿,--
21,22,002455,百川股份,12.19,-5.43,-0.7,0.0,34.78,3.21,14.43,22.63亿,5.07亿,61.75亿,50.48
22,23,603659,璞泰来,19.08,-3.93,-0.78,0.05,1.48,0.75,3.37,5.71亿,20.15亿,384.39亿,22.93
23,24,300890,翔丰华,34.03,-5.68,-2.05,-0.03,17.67,1.18,3.66,5.88亿,0.97亿,33.13亿,72.59
