,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300948,冠中生态,8.97,7.17,0.6,99363,89242615.97,15.29,9.66,8.38,8.38,8.37,7.6,73.31,1.47
1,2,000663,永安林业,4.36,5.06,0.21,213906,93380175.41,8.43,4.55,4.2,4.21,4.15,6.98,-35.75,1.36
2,3,688051,佳华科技,15.41,4.19,0.62,4801,7217416.0,4.94,15.43,14.7,14.8,14.79,0.62,-20.19,1.5
3,4,002178,延华智能,3.52,3.83,0.13,284826,98763295.0,5.01,3.54,3.37,3.38,3.39,4.0,-101.01,5.73
4,5,300152,新动力,1.92,3.78,0.07,407101,77539853.69,7.03,1.95,1.82,1.83,1.85,5.71,-93.79,4.33
5,6,002564,*ST天沃,2.85,3.26,0.09,194462,55825169.0,4.71,2.9,2.77,2.78,2.76,2.27,78.92,18.8
6,7,002514,宝馨科技,4.46,3.0,0.13,607574,264771293.75,9.24,4.55,4.15,4.24,4.33,10.97,-15.15,3.81
7,8,600956,新天绿能,6.73,2.91,0.19,86967,57781989.0,3.52,6.75,6.52,6.61,6.54,0.4,9.9,1.32
8,9,000948,南天信息,13.49,2.9,0.38,227465,304912395.13,4.73,13.66,13.04,13.18,13.11,5.89,104.71,2.03
9,10,300166,东方国信,6.33,2.59,0.16,210557,131580966.41,5.67,6.42,6.07,6.19,6.17,2.33,239.26,1.2
10,11,300365,恒华科技,4.81,2.34,0.11,144713,68326744.46,4.68,4.82,4.6,4.71,4.7,2.99,228.51,1.45
11,12,600160,巨化股份,15.01,2.18,0.32,408967,613772643.0,4.42,15.3,14.65,14.69,14.69,1.51,24.29,2.43
12,13,601798,蓝科高新,4.97,2.05,0.1,153383,76646837.0,6.57,5.19,4.87,5.02,4.87,4.33,-90.94,1.34
13,14,600570,恒生电子,16.2,2.02,0.32,139498,223694458.0,4.6,16.43,15.7,15.92,15.88,0.74,513.3,3.93
14,15,688335,复洁环保,7.78,1.97,0.15,2101,1620603.0,2.49,7.8,7.61,7.69,7.63,0.14,-42.02,0.96
15,16,300417,南华仪器,8.45,1.93,0.16,39715,33320932.0,2.65,8.46,8.24,8.25,8.29,4.57,21.73,2.36
16,17,300187,永清环保,4.26,1.91,0.08,47530,20085973.0,1.91,4.27,4.19,4.2,4.18,0.74,20.12,2.55
17,18,603100,川仪股份,16.64,1.9,0.31,39047,64595865.0,3.31,16.75,16.21,16.45,16.33,0.77,11.78,2.12
18,19,002642,荣联科技,5.95,1.88,0.11,265446,155503761.0,5.14,6.02,5.72,5.87,5.84,4.39,169.82,3.41
19,20,600028,中国石化,6.5,1.88,0.12,1166644,754993995.0,2.51,6.53,6.37,6.38,6.38,0.12,11.08,0.96
20,21,600803,新奥股份,17.91,1.82,0.32,45917,81570057.0,3.01,17.96,17.43,17.59,17.59,0.16,10.97,2.49
21,22,300614,百川畅银,8.58,1.78,0.15,15920,13501461.37,2.85,8.58,8.34,8.42,8.43,0.99,-15.43,1.01
22,23,300040,九洲集团,5.21,1.76,0.09,184364,95239917.0,2.54,5.23,5.1,5.16,5.12,4.0,19.12,1.06
23,24,300854,中兰环保,10.43,1.66,0.17,23045,23915320.0,2.53,10.46,10.2,10.33,10.26,5.2,42.11,1.07
24,25,002298,中电兴发,3.7,1.65,0.06,120711,43807971.28,4.12,3.71,3.56,3.64,3.64,1.85,-4.11,0.84
25,26,002893,京能热力,8.05,1.64,0.13,21523,17170957.0,2.27,8.05,7.87,7.92,7.92,1.06,9.24,1.71
26,27,603698,航天工程,13.1,1.63,0.21,38904,50785502.0,3.49,13.28,12.83,12.83,12.89,0.73,38.67,2.09
27,28,002980,华盛昌,21.85,1.63,0.35,6625,14382848.0,1.63,21.88,21.53,21.63,21.5,0.92,22.69,2.86
28,29,002630,华西能源,2.56,1.59,0.04,159975,40750060.0,1.59,2.56,2.52,2.54,2.52,1.51,24.34,4.93
29,30,300105,龙源技术,5.26,1.54,0.08,58906,30660527.0,2.9,5.28,5.13,5.18,5.18,1.15,113.04,1.45
30,31,002658,雪迪龙,5.5,1.48,0.08,37330,20369159.0,2.03,5.51,5.4,5.42,5.42,1.04,35.41,1.42
31,32,300085,银之杰,8.66,1.41,0.12,113013,96503779.58,3.98,8.72,8.38,8.58,8.54,1.78,-61.16,9.88
32,33,601369,陕鼓动力,7.42,1.37,0.1,43619,32030625.0,2.19,7.43,7.27,7.32,7.32,0.26,13.96,1.49
33,34,600526,菲达环保,3.76,1.35,0.05,51067,19036462.0,2.43,3.77,3.68,3.72,3.71,0.72,15.1,0.79
34,35,603177,德创环保,6.92,1.32,0.09,14305,9816749.0,2.34,6.94,6.78,6.85,6.83,0.7,35.45,3.65
35,36,688066,航天宏图,12.53,1.29,0.16,49733,61185647.0,5.09,12.67,12.04,12.37,12.37,1.9,-8.86,1.63
36,37,301390,经纬股份,26.17,1.28,0.33,3374,8734390.97,3.68,26.25,25.3,25.94,25.84,1.16,58.73,1.67
37,38,300800,力合科技,8.81,1.26,0.11,12768,11149265.5,2.76,8.86,8.62,8.7,8.7,0.54,78.97,1.04
38,39,002672,东江环保,3.41,1.19,0.04,42337,14297121.0,2.97,3.42,3.32,3.37,3.37,0.5,-7.32,0.91
39,40,001896,豫能控股,3.43,1.18,0.04,89102,30304747.0,2.36,3.44,3.36,3.4,3.39,0.67,-61.03,1.64
40,41,002063,远光软件,4.55,1.11,0.05,159524,71446033.29,3.78,4.57,4.4,4.51,4.5,0.91,76.77,2.48
41,42,300234,开尔新材,3.68,1.1,0.04,18850,6895793.13,1.92,3.69,3.62,3.65,3.64,0.55,120.14,1.66
42,43,002334,英威腾,5.57,1.09,0.06,50857,28026836.0,2.36,5.58,5.45,5.53,5.51,0.71,20.71,1.64
43,44,300950,德固特,12.34,1.06,0.13,14385,17600876.0,3.03,12.37,12.0,12.23,12.21,1.6,13.59,2.61
44,45,002679,福建金森,6.67,1.06,0.07,41859,28090617.0,7.12,6.94,6.47,6.63,6.6,1.78,-20.87,2.19
45,46,300422,博世科,3.82,1.06,0.04,53604,20380407.14,2.12,3.84,3.76,3.78,3.78,1.28,38.78,0.97
46,47,300007,汉威科技,12.6,1.04,0.13,38087,47348138.13,3.05,12.65,12.27,12.48,12.47,1.35,39.97,1.45
47,48,600968,海油发展,4.03,1.0,0.04,349435,139955737.0,1.75,4.04,3.97,3.99,3.99,0.34,12.67,1.63
48,49,002639,雪人股份,5.09,0.99,0.05,78044,39432763.0,2.38,5.12,5.0,5.04,5.04,1.2,86.63,1.6
49,50,688600,皖仪科技,12.22,0.99,0.12,2294,2789782.0,2.31,12.3,12.02,12.22,12.1,0.17,-28.52,2.18
50,51,300887,谱尼测试,6.21,0.98,0.06,57610,35379594.25,2.76,6.23,6.06,6.12,6.15,1.59,-9.89,1.03
51,52,301024,霍普股份,19.18,0.95,0.18,5467,10438199.0,1.79,19.25,18.91,19.0,19.0,3.08,-31.92,2.4
52,53,300355,蒙草生态,2.31,0.87,0.02,148940,34185239.84,2.62,2.32,2.26,2.29,2.29,1.09,73.29,0.85
53,54,002549,凯美特气,5.0,0.81,0.04,66539,33094633.0,3.02,5.05,4.9,4.96,4.96,0.96,-31.07,1.75
54,55,000993,闽东电力,7.71,0.78,0.06,27162,20810386.56,2.61,7.75,7.55,7.68,7.65,0.62,32.97,1.46
55,56,600758,辽宁能源,2.65,0.76,0.02,57213,15119566.0,1.52,2.66,2.62,2.63,2.63,0.43,152.22,0.65
56,57,300826,测绘股份,11.95,0.76,0.09,21887,25958057.0,2.7,12.01,11.69,11.78,11.86,1.44,103.74,1.57
57,58,600039,四川路桥,5.35,0.75,0.04,220438,116109387.0,3.2,5.36,5.19,5.31,5.31,0.33,7.29,1.06
58,59,300249,依米康,6.89,0.73,0.05,210621,142585862.0,5.12,6.95,6.6,6.86,6.84,5.64,228.02,7.31
59,60,600744,华银电力,2.78,0.72,0.02,104206,28706747.0,2.17,2.78,2.72,2.76,2.76,0.51,580.45,4.7
60,61,002887,绿茵生态,5.64,0.71,0.04,17666,9867247.0,1.96,5.64,5.53,5.6,5.6,1.11,20.94,0.78
61,62,600076,康欣新材,1.42,0.71,0.01,63707,8945032.0,2.84,1.42,1.38,1.41,1.41,0.47,-10.94,0.45
62,63,000826,启迪环境,1.48,0.68,0.01,148635,21834152.25,4.08,1.5,1.44,1.48,1.47,1.04,-4.82,0.52
63,64,000811,冰轮环境,8.02,0.63,0.05,40560,32237393.0,2.38,8.05,7.86,7.98,7.97,0.54,9.25,1.08
64,65,603359,东珠生态,3.41,0.59,0.02,43969,14892332.0,2.95,3.44,3.34,3.39,3.39,0.99,58.56,0.46
65,66,600871,石化油服,1.76,0.57,0.01,474817,83221983.0,2.29,1.77,1.73,1.74,1.75,0.35,36.98,3.83
66,67,000027,深圳能源,5.51,0.55,0.03,178458,97911093.46,2.74,5.57,5.42,5.51,5.48,0.38,7.47,0.88
67,68,000530,冰山冷热,3.68,0.55,0.02,73682,26954191.35,1.91,3.69,3.62,3.68,3.66,1.23,19.76,1.0
68,69,300137,先河环保,3.81,0.53,0.02,26330,9935014.0,2.9,3.84,3.73,3.8,3.79,0.5,54.74,1.14
69,70,300675,建科院,11.66,0.52,0.06,27954,32500970.0,2.5,11.8,11.51,11.78,11.6,1.91,-30.07,2.98
70,71,600517,国网英大,4.25,0.47,0.02,131316,55168167.0,2.6,4.26,4.15,4.25,4.23,0.23,13.26,1.15
71,72,002554,惠博普,2.13,0.47,0.01,57169,12165982.39,1.89,2.15,2.11,2.12,2.12,0.42,46.71,1.12
72,73,000531,穗恒运Ａ,4.4,0.46,0.02,21308,9308899.04,2.05,4.42,4.33,4.39,4.38,0.23,24.95,0.69
73,74,002015,协鑫能科,6.81,0.44,0.03,73069,49126517.44,2.8,6.82,6.63,6.79,6.78,0.45,13.46,0.95
74,75,603126,中材节能,4.92,0.41,0.02,30667,15014269.0,2.24,4.95,4.84,4.9,4.9,0.5,45.49,1.45
75,76,603060,国检集团,5.87,0.34,0.02,91485,53566475.0,2.22,5.92,5.79,5.92,5.85,1.14,89.57,2.56
76,77,002398,垒知集团,3.38,0.3,0.01,47050,15813307.33,2.37,3.4,3.32,3.38,3.37,0.81,16.3,0.67
77,78,600481,双良节能,3.64,0.28,0.01,171338,61689896.0,2.48,3.65,3.56,3.62,3.63,0.92,-2.71,1.26
78,79,601200,上海环境,7.29,0.28,0.02,50734,36772679.0,2.61,7.33,7.14,7.3,7.27,0.38,15.63,0.9
79,80,003035,南网能源,3.99,0.25,0.01,61870,24482957.04,2.26,4.0,3.91,3.98,3.98,0.27,36.94,2.19
80,81,600905,三峡能源,4.1,0.24,0.01,919528,374401379.0,1.71,4.11,4.04,4.1,4.09,0.32,14.53,1.39
81,82,300490,华自科技,6.53,0.15,0.01,65118,42303952.16,2.45,6.58,6.42,6.54,6.52,1.67,-35.72,0.94
82,83,688665,四方光电,24.11,0.0,0.0,4946,11916244.0,2.07,24.36,23.86,24.11,24.11,0.49,29.18,2.54
83,84,600688,上海石化,2.49,0.0,0.0,228208,56902730.0,3.21,2.54,2.46,2.5,2.49,0.31,476.16,1.07
84,85,600292,远达环保,4.64,0.0,0.0,21598,9962727.0,2.37,4.68,4.57,4.66,4.64,0.28,34.77,0.7
85,86,300864,南大环境,18.95,0.0,0.0,3801,7178233.82,1.69,19.03,18.71,18.88,18.95,0.25,15.71,2.41
86,87,300190,维尔利,2.8,0.0,0.0,25822,7214906.4,2.5,2.83,2.76,2.79,2.8,0.33,25.92,0.61
87,88,300070,碧水源,3.22,0.0,0.0,224942,71955623.91,2.48,3.24,3.16,3.23,3.22,0.65,-80.32,0.43
88,89,002092,ST中泰,3.42,0.0,0.0,72432,24643076.37,1.46,3.43,3.38,3.42,3.42,0.28,-18.25,0.39
89,90,000966,长源电力,4.01,0.0,0.0,89879,35771210.0,2.49,4.03,3.93,4.01,4.01,0.33,12.31,1.06
90,91,000928,中钢国际,5.23,0.0,0.0,90067,46909840.04,2.29,5.27,5.15,5.25,5.23,0.63,8.94,0.94
91,92,000723,美锦能源,3.92,0.0,0.0,231547,89951767.95,3.06,3.95,3.83,3.92,3.92,0.54,-12.42,1.24
92,93,600189,泉阳泉,6.71,-0.15,-0.01,44180,29581186.0,2.23,6.78,6.63,6.73,6.72,0.62,116.04,3.95
93,94,872931,无锡鼎邦,6.51,-0.15,-0.01,2279,1480565.33,1.99,6.57,6.44,6.57,6.52,0.96,16.0,1.65
94,95,000990,诚志股份,6.34,-0.16,-0.01,58398,36747405.0,2.2,6.37,6.23,6.35,6.35,0.48,20.59,0.43
95,96,600256,广汇能源,5.9,-0.17,-0.01,281057,165909415.0,1.86,5.97,5.86,5.91,5.91,0.43,13.31,1.49
96,97,000600,建投能源,4.3,-0.23,-0.01,170826,72720492.21,3.48,4.34,4.19,4.32,4.31,1.57,11.67,0.77
97,98,000591,太阳能,4.07,-0.25,-0.01,163006,65895220.84,2.7,4.11,4.0,4.08,4.08,0.45,9.78,0.69
98,99,002062,宏润建设,3.28,-0.3,-0.01,33773,11021404.17,2.43,3.31,3.23,3.28,3.29,0.34,9.66,0.83
