,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002886,沃特股份,16.21,6.86,1.04,0.0,8.64,2.44,10.55,2.83亿,2.08亿,33.78亿,195.90
1,2,301131,聚赛龙,37.92,2.38,0.88,0.0,11.52,1.7,5.89,1.01亿,0.23亿,8.75亿,31.34
2,3,002768,国恩股份,23.06,1.19,0.27,-0.04,2.97,1.37,2.59,1.20亿,1.77亿,40.76亿,12.70
3,4,300876,蒙泰高新,18.07,1.29,0.23,0.0,1.29,1.37,3.7,0.16亿,0.68亿,12.36亿,--
4,5,301237,和顺科技,21.96,0.78,0.17,0.46,1.95,0.91,2.89,0.16亿,0.38亿,8.33亿,--
5,6,002529,海源复材,6.88,1.93,0.13,-0.43,4.9,2.15,4.74,0.87亿,2.60亿,17.89亿,--
6,7,002278,神开股份,4.5,2.51,0.11,0.22,7.59,0.72,5.01,1.16亿,3.39亿,15.27亿,--
7,8,002006,精工科技,13.89,0.51,0.07,-0.07,1.53,1.12,3.69,0.97亿,4.55亿,63.22亿,27.16
8,9,600348,华阳股份,9.45,0.21,0.02,-0.21,0.95,0.71,2.02,3.25亿,36.08亿,340.91亿,9.83
9,10,871642,通易航天,8.24,-0.12,-0.01,0.0,3.9,0.48,4.49,0.18亿,0.55亿,4.52亿,--
10,11,600688,上海石化,2.83,-0.7,-0.02,0.0,0.42,0.93,1.75,0.88亿,73.29亿,207.41亿,90.89
11,12,600143,金发科技,7.46,-0.27,-0.02,-0.13,0.79,1.16,2.41,1.50亿,25.74亿,191.99亿,48.10
12,13,600089,特变电工,14.15,-0.21,-0.03,-0.14,1.06,1.19,2.96,7.52亿,50.53亿,714.97亿,8.96
13,14,002361,神剑股份,3.42,-0.87,-0.03,0.29,1.88,0.92,2.9,0.51亿,7.95亿,27.20亿,113.49
14,15,002297,博云新材,6.58,-0.6,-0.04,0.0,1.87,1.07,3.32,0.71亿,5.73亿,37.71亿,53.63
15,16,600516,方大炭素,5.07,-0.78,-0.04,0.2,0.59,0.77,1.37,1.20亿,40.26亿,204.12亿,29.79
16,17,601718,际华集团,2.78,-1.42,-0.04,-0.71,1.28,1.27,2.13,1.58亿,43.92亿,122.09亿,--
17,18,300095,华伍股份,6.64,-0.75,-0.05,0.0,1.86,1.09,3.44,0.41亿,3.36亿,22.34亿,41.65
18,19,300670,大烨智能,5.17,-0.96,-0.05,0.39,2.99,1.01,2.87,0.35亿,2.24亿,11.59亿,70.79
19,20,000420,吉林化纤,3.65,-3.95,-0.15,0.0,3.82,0.94,4.47,3.46亿,24.58亿,89.72亿,106.93
20,21,300221,银禧科技,6.83,-2.29,-0.16,0.29,7.7,0.64,4.86,2.41亿,4.53亿,30.91亿,356.25
21,22,000969,安泰科技,8.83,-1.89,-0.17,0.11,1.76,1.09,2.89,1.60亿,10.26亿,90.57亿,29.49
22,23,600590,泰豪科技,4.95,-3.32,-0.17,0.0,1.61,1.0,3.91,0.68亿,8.44亿,41.76亿,258.81
23,24,605001,威奥股份,5.64,-3.26,-0.19,0.0,5.57,0.53,5.15,1.23亿,3.93亿,22.16亿,--
24,25,002171,楚江新材,7.63,-2.43,-0.19,-0.13,2.22,1.16,4.22,2.22亿,12.94亿,98.73亿,24.63
25,26,600843,上工申贝,5.64,-3.42,-0.2,-0.18,5.94,0.94,5.14,1.58亿,4.69亿,26.46亿,62.22
26,27,002221,东华能源,9.16,-2.66,-0.25,-0.11,0.55,1.22,2.98,0.74亿,14.61亿,133.82亿,64.74
27,28,600862,中航高科,19.59,-1.31,-0.26,0.21,1.34,0.81,2.82,3.67亿,13.93亿,272.90亿,19.44
28,29,836077,吉林碳谷,11.69,-2.34,-0.28,0.0,0.46,0.74,3.01,0.15亿,2.72亿,31.81亿,85.76
29,30,300263,隆华科技,6.2,-4.32,-0.28,0.0,2.51,1.19,3.4,1.21亿,7.72亿,47.89亿,25.51
30,31,688033,天宜上佳,8.08,-4.26,-0.36,-0.12,3.75,0.92,4.98,1.72亿,5.62亿,45.43亿,--
31,32,002669,康达新材,9.53,-4.89,-0.49,0.11,4.24,1.08,3.49,1.24亿,3.04亿,28.96亿,--
32,33,301387,光大同创,42.91,-1.13,-0.49,0.02,3.8,0.56,2.7,0.31亿,0.19亿,8.15亿,71.61
33,34,300995,奇德新材,16.89,-3.98,-0.7,0.06,10.07,0.76,6.54,0.51亿,0.29亿,4.98亿,102.59
34,35,002338,奥普光电,27.19,-2.65,-0.74,0.0,2.01,0.83,4.33,1.32亿,2.40亿,65.25亿,95.29
35,36,002625,光启技术,19.61,-4.06,-0.83,0.0,4.17,1.09,4.6,14.58亿,17.77亿,348.51亿,77.77
36,37,688295,中复神鹰,26.67,-3.12,-0.86,-0.11,1.78,1.17,3.63,0.69亿,1.45亿,38.58亿,143.61
37,38,300629,新劲刚,19.8,-4.25,-0.88,-0.2,8.16,0.9,4.4,3.24亿,1.98亿,39.28亿,29.82
38,39,300777,中简科技,24.63,-3.98,-1.02,0.0,2.18,1.1,3.82,2.30亿,4.24亿,104.37亿,45.70
39,40,300644,南京聚隆,18.5,-5.8,-1.14,0.0,16.9,0.9,5.5,2.70亿,0.85亿,15.80亿,21.81
40,41,301349,信德新材,32.06,-3.46,-1.15,-0.13,3.61,1.04,7.32,0.49亿,0.42亿,13.51亿,--
41,42,300699,光威复材,26.05,-4.44,-1.21,-0.15,2.84,1.07,4.81,6.12亿,8.18亿,212.97亿,34.41
42,43,002085,万丰奥威,16.25,-10.02,-1.81,0.0,16.49,0.97,7.81,58.09亿,21.23亿,345.04亿,38.03
43,44,300719,安达维尔,18.82,-9.99,-2.09,0.8,22.66,0.74,12.24,7.70亿,1.80亿,33.80亿,220.36
44,45,300690,双一科技,25.59,-12.06,-3.51,0.0,21.69,0.77,17.77,6.24亿,1.10亿,28.04亿,350.14
