,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300224,正海磁材,16.43,20.01,2.74,1497491,2348767063.73,21.18,16.43,13.53,13.88,13.69,18.38,53.41,3.8
1,2,300748,金力永磁,20.66,19.98,3.44,753764,1492839654.21,18.18,20.66,17.53,17.55,17.22,6.65,105.87,4.12
2,3,002056,横店东磁,16.0,7.38,1.1,837388,1322732558.09,11.21,16.37,14.7,14.79,14.9,5.15,21.07,2.83
3,4,300095,华伍股份,7.35,3.52,0.25,292475,216566495.24,12.39,7.86,6.98,7.08,7.1,8.71,96.01,1.51
4,5,600458,时代新材,12.62,2.35,0.29,212603,266551197.0,4.7,12.77,12.19,12.44,12.33,2.65,25.61,1.73
5,6,601390,中国中铁,6.54,2.03,0.13,2171491,1428193906.0,5.15,6.72,6.39,6.41,6.41,1.06,5.9,0.55
6,7,601766,中国中车,8.46,1.68,0.14,1645931,1395672512.0,3.85,8.61,8.29,8.33,8.32,0.68,25.13,1.49
7,8,688425,铁建重工,4.53,1.57,0.07,638623,290753636.0,3.14,4.6,4.46,4.48,4.46,4.32,17.6,1.41
8,9,002028,思源电气,76.85,0.59,0.45,60274,464229224.34,2.79,78.13,76.0,76.38,76.4,1.0,30.0,5.07
9,10,600528,中铁工业,8.15,0.25,0.02,326831,268467465.0,3.44,8.36,8.08,8.11,8.13,1.47,10.3,0.76
10,11,688187,时代电气,48.56,0.04,0.02,66224,324096092.0,3.42,49.68,48.02,48.73,48.54,2.37,20.55,1.69
11,12,002533,金杯电工,9.5,-1.55,-0.15,170612,163188341.98,3.21,9.7,9.39,9.58,9.65,2.68,12.25,1.8
12,13,001255,博菲电气,23.24,-2.64,-0.63,13006,30647775.0,4.78,24.24,23.1,23.95,23.87,6.5,112.42,2.57
13,14,000922,佳电股份,11.11,-3.39,-0.39,158422,178735018.83,5.04,11.68,11.1,11.44,11.5,2.7,23.95,2.01
14,15,001324,长青科技,15.76,-3.67,-0.6,22858,36422196.29,3.97,16.35,15.7,16.25,16.36,2.8,33.49,1.98
15,16,002480,新筑股份,4.95,-3.88,-0.2,198575,99117771.0,5.24,5.17,4.9,5.14,5.15,2.59,-11.22,3.27
16,17,002361,神剑股份,3.91,-4.17,-0.17,463988,186638526.32,7.11,4.2,3.91,4.03,4.08,5.79,95.49,1.67
17,18,002972,科安达,10.34,-4.17,-0.45,48142,50405572.86,4.54,10.79,10.3,10.79,10.79,3.62,27.72,2.12
18,19,300789,唐源电气,14.55,-4.65,-0.71,33588,49645776.21,5.18,15.31,14.52,15.15,15.26,3.4,28.91,2.05
19,20,300960,通业科技,20.87,-5.39,-1.19,28627,61006264.0,6.98,22.34,20.8,22.3,22.06,3.08,50.99,3.58
20,21,300376,ST易事特,3.66,-5.67,-0.22,692797,265850204.29,10.31,4.02,3.62,3.84,3.88,2.98,31.02,1.22
21,22,300923,研奥股份,19.99,-5.71,-1.21,28822,58777806.24,6.51,21.29,19.91,21.11,21.2,3.77,62.66,1.39
22,23,300490,华自科技,8.08,-6.16,-0.53,163747,135653168.2,6.62,8.62,8.05,8.58,8.61,4.16,-17.12,1.22
23,24,300594,朗进科技,17.9,-7.06,-1.36,75637,138498034.48,8.46,19.44,17.81,19.17,19.26,8.31,-28.5,1.89
24,25,300011,鼎汉技术,7.63,-7.29,-0.6,345798,269281978.91,8.38,8.23,7.54,8.22,8.23,6.89,203.39,3.21
25,26,300035,中科电气,13.25,-7.47,-1.07,689940,942220988.38,8.94,14.49,13.21,14.13,14.32,11.83,37.11,1.99
26,27,600105,永鼎股份,4.86,-7.78,-0.41,1002093,498317665.0,7.21,5.22,4.84,5.21,5.27,7.1,89.8,2.39
27,28,600839,四川长虹,14.83,-10.01,-1.65,14104322,22844718043.0,19.66,18.07,14.83,17.62,16.48,30.56,149.01,4.81
28,29,300407,凯发电气,11.4,-10.66,-1.36,213973,253395704.65,10.82,12.69,11.31,12.6,12.76,8.76,40.92,2.03
