,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002409,雅克科技,51.1,2.24,1.12,61247,309790678.0,3.7,51.48,49.63,50.19,49.98,1.92,23.41,3.43
1,2,300477,合纵科技,2.37,2.16,0.05,161002,37510169.0,4.31,2.38,2.28,2.3,2.32,1.72,-9.52,1.5
2,3,002114,罗平锌电,4.6,1.1,0.05,47779,21798533.8,3.08,4.62,4.48,4.57,4.55,1.48,311.76,1.44
3,4,600039,四川路桥,5.35,0.75,0.04,220438,116109387.0,3.2,5.36,5.19,5.31,5.31,0.33,7.29,1.06
4,5,300437,清水源,8.08,0.75,0.06,16240,13128707.4,2.0,8.17,8.01,8.08,8.02,0.92,-23.18,1.46
5,6,601117,中国化学,6.31,0.64,0.04,329452,205676831.0,2.71,6.33,6.16,6.28,6.27,0.54,6.79,0.64
6,7,300801,泰和科技,13.1,0.38,0.05,8647,11244230.0,2.3,13.17,12.87,13.05,13.05,0.64,26.37,1.22
7,8,300610,晨化股份,8.16,0.37,0.03,12962,10502259.2,1.85,8.18,8.03,8.13,8.13,0.8,22.16,1.56
8,9,002170,芭田股份,5.89,0.34,0.02,71953,42167751.0,1.7,5.91,5.81,5.85,5.87,1.01,17.47,2.03
9,10,000422,湖北宜化,12.17,0.25,0.03,157900,191184742.56,2.55,12.26,11.95,12.2,12.14,1.57,12.21,1.8
10,11,301118,恒光股份,15.4,0.2,0.03,8907,13660839.0,2.21,15.51,15.17,15.51,15.37,1.65,-36.2,1.24
11,12,600078,澄星股份,5.15,0.19,0.01,51889,26757546.0,3.5,5.26,5.08,5.15,5.14,0.78,-102.1,1.87
12,13,603993,洛阳钼业,6.72,0.15,0.01,692027,462778074.0,2.38,6.79,6.63,6.76,6.71,0.39,13.4,2.38
13,14,002237,恒邦股份,9.0,0.11,0.01,84466,75385020.63,3.0,9.09,8.82,9.0,8.99,0.93,17.31,1.15
14,15,688669,聚石化学,9.8,0.1,0.01,8803,8551756.0,2.45,9.84,9.6,9.79,9.79,0.73,377.49,0.76
15,16,000830,鲁西化工,9.93,-0.3,-0.03,158813,156657245.24,2.71,10.01,9.74,9.99,9.96,0.83,8.1,1.06
16,17,002136,安 纳 达,8.61,-0.35,-0.03,10132,8705554.0,1.62,8.67,8.53,8.65,8.64,0.47,20.47,1.53
17,18,002942,新农股份,11.78,-0.42,-0.05,9678,11332189.0,3.8,12.0,11.55,11.88,11.83,0.69,13.47,1.58
18,19,002556,辉隆股份,4.49,-0.44,-0.02,60969,27282339.0,2.44,4.55,4.44,4.54,4.51,0.65,12.09,1.17
19,20,000902,新洋丰,12.28,-0.49,-0.06,83554,102331607.0,2.43,12.45,12.15,12.34,12.34,0.73,10.44,1.56
20,21,603077,和邦生物,1.68,-0.59,-0.01,601459,100792376.0,2.96,1.7,1.65,1.69,1.69,0.68,38.58,0.78
21,22,300505,川金诺,11.22,-0.71,-0.08,58412,65290040.35,3.36,11.39,11.01,11.33,11.3,2.69,23.15,1.27
22,23,002386,天原股份,3.71,-0.8,-0.03,49258,18265337.0,2.94,3.77,3.66,3.75,3.74,0.43,215.73,0.61
23,24,600727,鲁北化工,6.14,-0.81,-0.05,93146,56826075.0,3.23,6.21,6.01,6.19,6.19,1.76,11.08,1.05
24,25,000713,丰乐种业,5.54,-0.89,-0.05,51301,28322242.88,3.04,5.62,5.45,5.6,5.59,0.84,-76.13,1.77
25,26,600470,六国化工,4.16,-0.95,-0.04,48399,20133935.0,2.62,4.22,4.11,4.19,4.2,0.93,36.94,1.18
26,27,600141,兴发集团,18.51,-0.96,-0.18,102202,188234919.0,3.42,18.82,18.18,18.78,18.69,0.93,12.68,0.99
27,28,002539,云图控股,7.03,-0.99,-0.07,78635,55158301.0,2.68,7.13,6.94,7.11,7.1,0.89,9.36,1.0
28,29,002312,川发龙蟒,7.86,-1.38,-0.11,807949,640503821.3,6.9,8.27,7.72,8.05,7.97,5.91,25.29,1.61
29,30,600331,宏达股份,5.59,-1.41,-0.08,175799,98461452.0,4.06,5.74,5.51,5.68,5.67,0.87,97.35,29.99
30,31,002588,史丹利,6.91,-1.43,-0.1,96732,67127564.45,3.71,7.1,6.84,7.06,7.01,0.95,7.8,1.23
31,32,002895,川恒股份,17.6,-1.57,-0.28,52439,92232449.78,3.13,17.93,17.37,17.84,17.88,0.97,13.49,1.77
32,33,600596,新安股份,6.91,-1.71,-0.12,122917,84366067.0,4.27,7.07,6.77,7.03,7.03,0.95,35.54,0.74
33,34,002538,司尔特,4.75,-1.86,-0.09,60367,28841616.88,3.31,4.87,4.71,4.86,4.84,0.71,12.36,0.76
34,35,603979,金诚信,36.35,-2.36,-0.88,50875,185808191.0,3.33,37.4,36.16,37.36,37.23,0.82,18.32,2.83
35,36,002470,金正大,1.34,-2.9,-0.04,426700,57202659.74,5.8,1.39,1.31,1.38,1.38,1.3,13.07,2.01
36,37,600691,阳煤化工,1.52,-3.18,-0.05,249550,38000953.0,7.64,1.6,1.48,1.58,1.57,1.05,-6.3,0.83
37,38,600096,云天化,19.34,-3.49,-0.7,238472,465060048.0,4.44,20.1,19.21,20.03,20.04,1.3,6.24,1.79
