,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300295,三六五网,13.83,12.26,1.51,654275,827368492.45,18.59,14.09,11.8,11.8,12.32,39.05,192.83,2.15
1,2,300947,德必集团,16.23,11.47,1.67,225798,344956392.87,15.38,16.53,14.29,14.29,14.56,14.7,91.97,1.99
2,3,002244,滨江集团,9.52,10.06,0.87,1088494,993629787.05,11.56,9.52,8.52,8.56,8.65,4.06,12.7,1.12
3,4,600048,保利发展,9.12,10.01,0.83,3499781,3063646913.0,10.98,9.12,8.21,8.21,8.29,2.92,7.36,0.56
4,5,600325,华发股份,6.27,10.0,0.57,1166128,708810474.0,10.35,6.27,5.68,5.7,5.7,4.54,6.82,0.75
5,6,002305,南国置业,1.87,10.0,0.17,2306679,412337569.0,12.35,1.87,1.66,1.66,1.7,13.3,370.84,6.63
6,7,001979,招商蛇口,10.56,10.0,0.96,1821223,1844100861.24,11.56,10.56,9.45,9.48,9.6,2.19,33.76,0.99
7,8,000002,万  科Ａ,8.04,9.99,0.73,5278410,4081867507.52,11.22,8.04,7.22,7.22,7.31,5.43,-4.87,0.4
8,9,000560,我爱我家,3.09,9.96,0.28,6420830,1883551163.05,12.46,3.09,2.74,2.77,2.81,28.47,123.96,0.77
9,10,002285,世联行,2.21,9.95,0.2,1789727,377621700.78,11.94,2.21,1.97,1.99,2.01,9.06,145.02,1.44
10,11,000011,深物业A,8.8,7.06,0.58,157719,134871465.79,7.91,8.8,8.15,8.19,8.22,3.0,284.65,1.17
11,12,000090,天健集团,3.87,6.91,0.25,490510,184454585.44,7.46,3.87,3.6,3.63,3.62,2.63,14.65,0.65
12,13,000056,皇庭国际,2.01,5.79,0.11,559842,110166393.8,7.89,2.02,1.87,1.88,1.9,6.2,-8.17,2.88
13,14,600604,市北高新,4.05,5.74,0.22,243018,96136423.0,7.57,4.07,3.78,3.79,3.83,1.73,-27.86,1.21
14,15,000863,三湘印象,3.62,5.54,0.19,435249,153882953.39,7.0,3.64,3.4,3.4,3.43,3.74,179.42,0.95
15,16,300621,维业股份,7.91,4.35,0.33,61521,47634655.5,6.73,7.96,7.45,7.59,7.58,3.14,83.11,1.85
16,17,002574,明牌珠宝,4.33,3.1,0.13,77023,32840789.5,4.05,4.34,4.17,4.19,4.2,1.46,80.53,0.73
17,18,600895,张江高科,21.0,0.62,0.13,1113754,2307190669.0,3.79,21.1,20.31,20.56,20.87,7.19,61.07,2.62
