,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300807,天迈科技,26.5,6.34,1.58,0.57,17.81,2.62,15.25,2.36亿,0.49亿,12.93亿,--
1,2,300730,科创信息,10.07,5.33,0.51,0.2,11.82,3.47,15.27,2.38亿,1.97亿,19.79亿,--
2,3,300205,ST天喻,6.95,5.3,0.35,0.0,2.72,1.07,4.85,0.81亿,4.26亿,29.61亿,157.65
3,4,301536,星宸科技,34.46,0.91,0.31,0.2,22.7,1.48,4.19,2.84亿,0.36亿,12.26亿,71.22
4,5,002138,顺络电子,26.1,0.77,0.2,0.0,1.44,1.0,2.78,2.84亿,7.57亿,197.45亿,30.92
5,6,300306,远方信息,10.02,0.5,0.05,0.1,2.23,0.76,2.01,0.35亿,1.58亿,15.79亿,51.29
6,7,002010,传化智联,4.48,1.13,0.05,0.0,0.68,1.02,2.48,0.85亿,27.81亿,124.60亿,18.35
7,8,002548,金新农,4.4,0.69,0.03,-0.23,2.56,1.38,6.64,0.90亿,8.04亿,35.40亿,--
8,9,300638,广和通,17.33,0.17,0.03,0.17,5.62,1.26,3.18,5.21亿,5.31亿,92.01亿,17.66
9,10,300047,天源迪科,7.64,0.39,0.03,0.0,3.21,0.98,1.97,1.32亿,5.39亿,41.17亿,133.98
10,11,300386,飞天诚信,7.37,0.14,0.01,0.27,2.07,0.89,4.35,0.38亿,2.46亿,18.13亿,--
11,12,002153,石基信息,7.20,0.14,0.01,0.14,1.11,1.10,2.50,1.27亿,16.00亿,115.18亿,431.31
12,13,003040,楚天龙,13.12,0.08,0.01,0.00,1.50,0.88,1.91,0.90亿,4.57亿,59.94亿,79.35
13,14,600050,中国联通,4.69,0.00,0.00,-0.21,0.72,1.21,1.92,10.57亿,309.66亿,1452.29亿,15.24
14,15,002197,证通电子,--,--,--,--,--,--,--,--,5.34亿,44.67亿,468.69
15,16,002356,赫美集团,3.84,0.00,0.00,0.00,0.41,0.71,2.60,0.20亿,13.11亿,50.35亿,--
16,17,300579,数字认证,20.78,0.00,0.00,0.00,1.06,0.91,3.42,0.58亿,2.62亿,54.42亿,--
17,18,000732,ST泰禾,--,--,--,--,--,--,--,--,24.86亿,10.69亿,--
18,19,300077,国民技术,9.72,-0.10,-0.01,0.10,2.13,0.95,2.88,1.17亿,5.66亿,55.04亿,--
19,20,002017,东信和平,9.40,-0.11,-0.01,0.00,1.36,1.00,1.81,0.74亿,5.79亿,54.43亿,31.21
20,21,300663,科蓝软件,10.58,-0.09,-0.01,-0.09,2.92,1.09,3.49,1.29亿,4.15亿,43.89亿,--
