,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300340,科恒股份,11.28,12.46,1.25,290177,321741620.84,20.54,11.95,9.89,10.02,10.03,15.48,-20.78,20.75
1,2,002378,章源钨业,7.34,10.04,0.67,608224,431214238.5,11.24,7.34,6.59,6.66,6.67,5.09,45.12,4.18
2,3,002428,云南锗业,21.29,10.03,1.94,918032,1911636593.26,11.68,21.29,19.03,19.35,19.35,14.06,353.82,9.71
3,4,600111,北方稀土,23.61,10.02,2.15,1158036,2689493776.0,9.32,23.61,21.61,21.61,21.46,3.2,157.93,3.9
4,5,000762,西藏矿业,24.16,10.02,2.2,476198,1107038600.94,10.84,24.16,21.78,21.92,21.96,9.14,62.04,4.21
5,6,600259,广晟有色,33.22,10.0,3.02,186752,611485390.0,8.01,33.22,30.8,30.8,30.2,5.67,-30.42,3.3
6,7,000737,北方铜业,10.02,9.99,0.91,1027477,994148790.01,10.98,10.02,9.02,9.1,9.11,14.15,24.37,3.39
7,8,600549,厦门钨业,21.38,9.98,1.94,892467,1865436459.0,9.93,21.38,19.45,19.5,19.44,6.31,16.21,2.51
8,9,000758,中色股份,5.53,9.94,0.5,1398006,745373045.14,10.74,5.53,4.99,5.0,5.03,7.1,24.55,1.96
9,10,600141,兴发集团,24.1,8.9,1.97,459663,1082641704.0,7.91,24.12,22.37,22.5,22.13,4.17,15.17,1.26
10,11,600980,北矿科技,17.15,8.27,1.31,171905,289134718.0,10.23,17.42,15.8,15.8,15.84,9.79,30.9,2.38
11,12,000629,钒钛股份,3.11,7.99,0.23,2919744,882362567.87,10.76,3.17,2.86,2.88,2.88,3.18,118.32,2.34
12,13,000612,焦作万方,8.02,7.65,0.57,844534,660778940.63,10.2,8.16,7.4,7.4,7.45,7.09,13.58,1.55
13,14,600497,驰宏锌锗,6.19,7.09,0.41,2463059,1492427677.0,8.3,6.22,5.74,5.78,5.78,4.84,16.04,1.91
14,15,002738,中矿资源,35.34,6.51,2.16,290059,997314991.26,7.05,35.35,33.01,33.25,33.18,4.08,35.04,2.14
15,16,000878,云南铜业,13.92,6.1,0.8,822246,1123698170.07,8.08,14.1,13.04,13.05,13.12,4.1,13.74,1.89
16,17,603993,洛阳钼业,8.06,6.05,0.46,3523562,2796357348.0,8.29,8.14,7.51,7.6,7.6,1.99,15.78,2.76
17,18,000807,云铝股份,15.1,6.04,0.86,631991,937278101.54,6.32,15.15,14.25,14.3,14.24,1.82,10.28,1.87
