,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600187,国中水务,3.65,9.94,0.33,1741492,623700539.0,9.94,3.65,3.32,3.34,3.32,10.79,568.57,1.87
1,2,300011,鼎汉技术,9.04,4.75,0.41,502247,450969754.4,7.18,9.19,8.57,8.63,8.63,10.01,206.82,3.81
2,3,000530,冰山冷热,4.4,2.33,0.1,233213,101145198.1,3.72,4.4,4.24,4.28,4.3,3.89,29.42,1.19
3,4,002158,汉钟精机,19.69,1.6,0.31,81153,159158303.32,3.35,19.92,19.27,19.4,19.38,1.52,11.68,2.76
4,5,000551,创元科技,13.09,1.47,0.19,327664,430815539.21,4.5,13.5,12.92,13.16,12.9,8.16,18.23,2.17
5,6,300992,泰福泵业,17.71,0.91,0.16,17416,30876791.0,2.11,17.89,17.52,17.65,17.55,2.4,27.82,2.15
6,7,000811,冰轮环境,9.48,0.64,0.06,140878,133375001.28,2.02,9.55,9.36,9.45,9.42,1.89,10.93,1.28
7,8,002035,华帝股份,7.76,0.52,0.04,304117,236819052.8,3.76,7.93,7.64,7.73,7.72,3.9,10.98,1.83
8,9,002639,雪人股份,6.0,0.5,0.03,249092,150626923.34,3.35,6.15,5.95,5.99,5.97,3.83,102.12,1.89
9,10,300335,迪森股份,4.92,0.41,0.02,181477,89119939.23,2.24,4.97,4.86,4.9,4.9,4.72,32.19,1.24
10,11,002084,海鸥住工,2.9,0.35,0.01,94022,27340552.58,2.42,2.94,2.87,2.89,2.89,1.45,83.85,1.18
11,12,603075,热威股份,18.76,0.32,0.06,13053,24540618.0,1.66,18.92,18.61,18.76,18.7,3.26,26.87,3.86
12,13,000651,格力电器,47.93,0.31,0.15,326939,1570175152.92,1.78,48.43,47.58,47.88,47.78,0.59,9.5,2.28
13,14,301272,英华特,35.92,0.25,0.09,8193,29509229.42,1.9,36.37,35.69,35.9,35.83,2.59,34.42,2.1
14,15,300594,朗进科技,20.8,0.24,0.05,167096,345182768.79,9.93,21.75,19.69,19.99,20.75,18.46,-33.11,2.2
15,16,603757,大元泵业,20.03,0.05,0.01,11514,23069413.0,1.45,20.21,19.92,20.11,20.02,0.69,11.92,2.13
16,17,603158,腾龙股份,7.55,0.0,0.0,122527,92750324.0,2.12,7.65,7.49,7.55,7.55,2.5,16.13,1.7
17,18,000333,美的集团,76.38,-0.16,-0.12,268313,2053544727.99,2.33,77.78,76.0,76.6,76.5,0.39,14.04,3.55
18,19,603366,日出东方,4.26,-0.23,-0.01,98247,42018603.0,1.64,4.32,4.25,4.28,4.27,1.22,30.58,0.87
19,20,002139,拓邦股份,11.3,-0.26,-0.03,287254,325399699.34,2.38,11.45,11.18,11.33,11.33,2.68,18.12,2.2
20,21,301317,鑫磊股份,18.2,-0.44,-0.08,16320,29814598.0,3.56,18.53,17.88,18.28,18.28,3.64,36.9,2.77
21,22,002011,盾安环境,10.93,-0.46,-0.05,151724,166173744.27,2.09,11.08,10.85,10.98,10.98,1.66,12.29,2.38
22,23,002126,银轮股份,18.65,-0.59,-0.11,135783,253443518.94,2.61,18.99,18.5,18.92,18.76,1.74,19.26,2.65
23,24,600167,联美控股,5.89,-0.84,-0.05,43886,25892939.0,2.02,5.97,5.85,5.97,5.94,0.19,14.11,1.23
24,25,600336,澳柯玛,8.65,-1.03,-0.09,977405,873057665.0,9.84,9.4,8.54,8.55,8.74,12.25,68.96,2.72
25,26,002543,万和电气,9.88,-1.2,-0.12,46286,45951800.65,2.3,10.07,9.84,10.02,10.0,0.7,10.34,1.65
26,27,002050,三花智控,22.85,-1.38,-0.32,708995,1622572880.73,3.58,23.33,22.5,23.18,23.17,1.93,28.16,4.83
27,28,000921,海信家电,29.29,-1.97,-0.59,167707,492380421.56,2.95,29.88,29.0,29.88,29.88,1.84,10.07,2.87
28,29,301018,申菱环境,24.27,-2.18,-0.54,79023,194510151.04,4.07,25.06,24.05,24.68,24.81,3.97,29.18,2.56
29,30,000521,长虹美菱,9.1,-6.09,-0.59,891614,808931643.66,5.57,9.29,8.75,9.29,9.69,10.19,13.25,1.55
30,31,300786,国林科技,15.76,-6.19,-1.04,375146,601046352.26,6.25,16.55,15.5,16.2,16.8,25.57,-58.74,2.45
31,32,600619,海立股份,9.61,-6.43,-0.66,1109736,1089134438.0,6.23,10.2,9.56,9.87,10.27,14.06,1227.34,1.7
