,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000561,烽火电子,6.39,4.07,0.25,226448,142716891.24,8.31,6.58,6.07,6.16,6.14,3.76,-38.92,2.1
1,2,300213,佳讯飞鸿,6.05,3.24,0.19,138942,82571929.0,5.29,6.09,5.78,5.88,5.86,2.52,67.59,1.62
2,3,002338,奥普光电,25.9,2.57,0.65,70757,182670062.88,5.82,26.45,24.98,25.15,25.25,2.95,91.19,4.84
3,4,001208,华菱线缆,8.19,1.99,0.16,63902,51796772.91,2.62,8.19,7.98,8.06,8.03,2.58,36.02,2.79
4,5,300045,华力创通,16.13,1.9,0.3,129043,205767152.52,3.41,16.21,15.67,15.93,15.83,2.66,1890.86,6.14
5,6,300324,旋极信息,2.25,1.81,0.04,775379,171690238.76,5.88,2.27,2.14,2.23,2.21,4.54,-16.97,1.28
6,7,300455,航天智装,10.2,1.69,0.17,80720,81419069.33,3.59,10.29,9.93,10.06,10.03,1.14,179.46,4.06
7,8,300354,东华测试,29.67,1.68,0.49,13231,38966204.4,5.59,30.3,28.67,29.19,29.18,1.63,27.61,5.76
8,9,002046,国机精工,9.35,1.41,0.13,48396,44683425.95,2.49,9.35,9.12,9.26,9.22,0.92,13.93,1.47
9,10,600118,中国卫星,20.66,0.83,0.17,46782,95582101.0,2.73,20.69,20.13,20.5,20.49,0.4,1436.85,3.87
10,11,300447,全信股份,10.74,0.66,0.07,21182,22626001.7,2.25,10.79,10.55,10.66,10.67,1.05,39.31,1.65
11,12,002413,雷科防务,3.48,0.58,0.02,83025,28585061.0,2.6,3.49,3.4,3.47,3.46,0.66,-34.77,1.24
12,13,688586,江航装备,7.8,0.52,0.04,36681,28391387.0,3.09,7.85,7.61,7.76,7.76,0.46,29.63,2.49
13,14,600879,航天电子,7.15,0.28,0.02,381373,268377381.0,4.07,7.18,6.89,7.12,7.13,1.18,47.28,1.15
14,15,000901,航天科技,9.46,0.21,0.02,636462,604675133.61,6.46,9.8,9.19,9.52,9.44,7.97,959.89,1.82
15,16,002935,天奥电子,11.91,0.08,0.01,22363,26473804.43,2.69,12.01,11.69,11.9,11.9,0.54,165.25,3.31
16,17,688139,海尔生物,25.42,0.08,0.02,20967,52593194.0,3.07,25.54,24.76,25.25,25.4,0.66,17.24,1.9
17,18,603297,永新光学,54.5,-0.11,-0.06,9448,50927865.0,2.82,54.62,53.08,54.27,54.56,0.86,30.41,3.34
18,19,300813,泰林生物,17.13,-3.11,-0.55,47766,83008429.88,5.43,18.0,17.04,17.66,17.68,8.28,142.02,3.21
19,20,002246,北化股份,8.18,-3.54,-0.3,225070,186569660.32,6.13,8.62,8.1,8.51,8.48,4.1,64.78,1.55
