,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688060,云涌科技,32.92,6.33,1.96,0.31,1.78,3.13,10.63,0.35亿,0.60亿,19.81亿,148.17
1,2,603232,格尔软件,15.93,10.01,1.45,0.0,27.08,5.79,5.59,10.00亿,2.33亿,37.17亿,--
2,3,003029,吉大正元,27.58,4.87,1.28,0.0,14.07,1.2,13.69,6.60亿,1.71亿,47.13亿,--
3,4,300520,科大国创,21.98,4.92,1.03,-0.05,21.58,2.27,13.32,11.07亿,2.33亿,51.23亿,271.86
4,5,300768,迪普科技,13.99,6.55,0.86,0.0,6.18,2.45,13.86,3.54亿,4.21亿,58.85亿,61.38
5,6,688201,信安世纪,18.73,4.06,0.73,-0.11,7.52,1.19,12.39,2.87亿,2.05亿,38.42亿,--
6,7,688316,青云科技,38.25,1.86,0.7,0.11,3.7,0.86,3.12,0.51亿,0.36亿,13.74亿,--
7,8,838924,广脉科技,13.4,5.1,0.65,0.0,8.13,1.5,7.92,0.52亿,0.49亿,6.55亿,39.81
8,9,688132,邦彦技术,18.27,3.1,0.55,0.39,4.36,1.59,8.8,0.84亿,1.07亿,19.62亿,19.68
9,10,300730,科创信息,10.07,5.33,0.51,0.2,11.82,3.47,15.27,2.38亿,1.97亿,19.79亿,--
10,11,688152,麒麟信安,46.7,0.99,0.46,0.3,3.22,0.79,2.81,0.46亿,0.30亿,14.16亿,--
11,12,300546,雄帝科技,11.23,3.88,0.42,0.27,9.73,1.86,6.2,1.41亿,1.30亿,14.60亿,--
12,13,300205,ST天喻,6.95,5.3,0.35,0.0,2.72,1.07,4.85,0.81亿,4.26亿,29.61亿,157.65
13,14,002972,科安达,9.77,3.61,0.34,0.21,8.64,1.26,9.33,1.12亿,1.33亿,13.01亿,22.68
14,15,300634,彩讯股份,19.64,1.76,0.34,0.0,4.75,1.14,3.42,3.99亿,4.31亿,84.70亿,26.25
15,16,835207,众诚科技,7.45,4.34,0.31,0.0,8.07,0.99,5.04,0.21亿,0.35亿,2.62亿,212.42
16,17,002298,中电兴发,5.66,5.21,0.28,0.18,15.5,2.15,6.51,5.57亿,6.40亿,36.20亿,32.74
17,18,603496,恒为科技,29.22,0.76,0.22,0.0,7.27,1.14,6.31,6.82亿,3.20亿,93.57亿,57.93
18,19,603803,瑞斯康达,7.0,3.25,0.22,0.0,4.31,2.12,5.16,1.28亿,4.25亿,29.74亿,37.44
19,20,688651,盛邦安全,34.27,0.65,0.22,0.0,7.83,0.67,3.32,0.45亿,0.17亿,5.76亿,--
20,21,688244,永信至诚,45.38,0.44,0.2,1.98,2.84,1.22,4.56,0.42亿,0.33亿,14.89亿,--
21,22,688171,纬德信息,16.44,1.17,0.19,0.37,1.8,1.18,3.45,0.15亿,0.51亿,8.44亿,88.85
22,23,000682,东方电子,10.51,1.25,0.13,-0.1,2.3,0.68,3.37,3.23亿,13.41亿,140.90亿,34.74
23,24,002808,ST恒久,2.42,5.22,0.12,0.0,6.23,2.27,2.17,0.28亿,1.86亿,4.51亿,--
24,25,300895,铜牛信息,29.5,0.41,0.12,0.0,6.53,1.2,5.07,2.69亿,1.37亿,40.54亿,--
25,26,300229,拓尔思,15.7,0.71,0.11,0.0,3.21,1.01,2.95,4.00亿,7.95亿,124.77亿,114.54
26,27,300290,荣科科技,8.77,1.15,0.1,-0.11,11.78,0.99,5.77,6.70亿,6.40亿,56.10亿,--
27,28,688030,山石网科,12.31,0.82,0.1,0.08,0.77,0.75,3.11,0.17亿,1.80亿,22.19亿,--
