,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300781,因赛集团,58.24,6.39,3.5,0.02,22.07,1.39,8.0,10.20亿,0.81亿,47.23亿,136.56
1,2,603721,中广天择,31.52,2.37,0.73,0.0,14.44,1.07,7.34,5.96亿,1.30亿,40.98亿,--
2,3,603883,老百姓,33.47,2.04,0.67,0.03,0.57,1.13,3.63,1.11亿,5.83亿,195.13亿,15.23
3,4,300364,中文在线,25.81,1.81,0.46,0.0,14.47,0.97,6.35,24.97亿,6.60亿,170.29亿,--
4,5,688318,财富趋势,131.81,0.34,0.44,0.3,4.85,1.67,5.05,8.45亿,1.31亿,172.24亿,85.79
5,6,300546,雄帝科技,11.23,3.88,0.42,0.27,9.73,1.86,6.2,1.41亿,1.30亿,14.60亿,--
6,7,002605,姚记科技,25.88,1.53,0.39,-0.04,7.27,1.5,4.39,6.14亿,3.30亿,85.35亿,17.68
7,8,002602,世纪华通,4.68,6.36,0.28,-0.21,3.66,1.75,6.59,11.66亿,68.81亿,322.03亿,13.38
8,9,600398,海澜之家,9.11,3.17,0.28,-0.11,0.99,1.95,4.08,4.38亿,48.03亿,437.53亿,12.34
9,10,001330,博纳影业,7.21,3.74,0.26,0.0,4.71,2.71,9.64,3.52亿,10.55亿,76.08亿,446.25
10,11,002292,奥飞娱乐,7.09,3.81,0.26,0.0,10.02,2.38,6.3,6.85亿,9.75亿,69.15亿,51.90
11,12,601616,广电电气,3.19,7.05,0.21,0.0,7.44,6.93,9.73,2.04亿,8.54亿,27.23亿,53.14
12,13,603189,网达软件,12.9,1.57,0.2,0.0,5.19,1.77,4.88,1.81亿,2.70亿,34.77亿,254.38
13,14,600380,健康元,12.15,1.59,0.19,-0.08,0.86,1.31,3.18,1.96亿,18.67亿,226.80亿,12.89
14,15,688222,成都先导,13.52,1.27,0.17,0.07,1.8,1.27,5.09,0.97亿,4.01亿,54.17亿,97.15
15,16,301085,亚康股份,51.54,0.31,0.16,-0.02,12.38,1.04,5.43,2.53亿,0.39亿,20.30亿,49.27
16,17,002878,元隆雅图,14.39,0.98,0.14,0.07,6.83,1.37,8.0,1.95亿,1.97亿,28.34亿,32.70
17,18,300206,理邦仪器,10.0,1.32,0.13,0.0,3.06,1.17,2.33,1.04亿,3.40亿,34.04亿,37.76
18,19,300229,拓尔思,15.7,0.71,0.11,0.0,3.21,1.01,2.95,4.00亿,7.95亿,124.77亿,114.54
19,20,000410,沈阳机床,7.16,1.42,0.1,0.14,0.88,1.97,3.97,1.04亿,16.81亿,120.35亿,--
20,21,301102,兆讯传媒,13.97,0.72,0.1,0.14,3.76,0.95,3.03,0.38亿,0.72亿,10.13亿,26.34
21,22,002354,天娱数科,4.29,2.14,0.09,0.0,4.46,1.38,4.29,3.09亿,16.18亿,69.43亿,133.36
22,23,002558,巨人网络,11.79,0.68,0.08,0.09,2.45,1.13,3.93,5.71亿,19.74亿,232.68亿,16.51
23,24,603598,引力传媒,15.88,0.51,0.08,0.0,6.69,1.02,3.61,2.85亿,2.68亿,42.54亿,132.19
24,25,002398,垒知集团,4.19,1.7,0.07,0.0,1.42,1.19,2.67,0.35亿,5.91亿,24.77亿,17.85
25,26,002656,ST摩登,1.3,4.84,0.06,0.0,0.1,0.15,0.0,0.01亿,6.09亿,7.92亿,--
26,27,600070,*ST富润,1.17,5.41,0.06,0.0,1.48,1.04,4.5,0.09亿,5.07亿,5.93亿,--
27,28,002277,友阿股份,2.57,1.98,0.05,-0.39,3.01,1.73,3.97,1.08亿,13.94亿,35.83亿,15.78
28,29,002425,凯撒文化,3.25,1.56,0.05,0.31,2.79,1.6,3.75,0.87亿,9.56亿,31.07亿,129.01
29,30,002517,恺英网络,11.79,0.43,0.05,0.17,2.38,0.99,3.75,5.34亿,19.07亿,224.89亿,14.89
30,31,300098,高新兴,3.57,1.42,0.05,0.0,4.16,2.08,6.53,2.30亿,15.42亿,55.04亿,198.73
31,32,002697,红旗连锁,5.4,0.75,0.04,0.0,1.69,1.12,2.24,0.99亿,10.78亿,58.20亿,11.24
32,33,300279,和晶科技,4.79,0.84,0.04,0.0,1.86,0.83,2.32,0.40亿,4.49亿,21.53亿,70.67
33,34,603881,数据港,18.83,0.21,0.04,0.0,1.75,1.32,2.71,1.52亿,4.60亿,86.71亿,60.63
34,35,000027,深圳能源,7.23,0.42,0.03,-0.14,0.57,1.01,1.53,1.98亿,47.57亿,343.96亿,7.78
35,36,300047,天源迪科,7.64,0.39,0.03,0.0,3.21,0.98,1.97,1.32亿,5.39亿,41.17亿,133.98
36,37,300857,协创数据,62.8,0.03,0.02,0.0,3.92,1.02,3.22,6.00亿,2.44亿,153.11亿,23.59
37,38,002301,齐心集团,5.73,0.17,0.01,-0.35,1.05,0.76,2.45,0.43亿,7.18亿,41.14亿,20.90
38,39,300061,旗天科技,4.21,0.24,0.01,0.0,1.85,0.82,3.57,0.48亿,6.17亿,25.98亿,--
