,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002920,德赛西威,125.87,2.28,2.81,-0.06,0.91,1.04,3.5,6.39亿,5.52亿,694.19亿,45.39
1,2,688368,晶丰明源,74.14,3.39,2.43,-0.01,1.44,1.29,5.82,0.66亿,0.63亿,46.66亿,--
2,3,000977,浪潮信息,40.91,6.29,2.42,0.0,10.05,2.45,5.56,60.33亿,14.70亿,601.48亿,49.13
3,4,603228,景旺电子,23.5,3.89,0.88,0.0,3.9,4.57,4.73,7.68亿,8.42亿,197.84亿,15.56
4,5,688316,青云科技,38.25,1.86,0.7,0.11,3.7,0.86,3.12,0.51亿,0.36亿,13.74亿,--
5,6,300723,一品红,22.74,2.25,0.5,0.0,1.26,1.01,3.37,1.19亿,4.18亿,94.98亿,25.69
6,7,300067,安诺其,5.44,6.46,0.33,0.18,24.09,1.13,13.89,10.16亿,7.72亿,41.98亿,302.93
7,8,002975,博杰股份,32.06,0.63,0.2,-0.06,2.71,1.2,2.42,0.63亿,0.72亿,23.18亿,104.90
8,9,300901,中胤时尚,7.5,0.94,0.07,0.4,1.01,0.94,3.37,0.18亿,2.40亿,18.00亿,--
9,10,600699,均胜电子,17.63,0.17,0.03,-0.06,2.08,1.2,2.78,5.05亿,13.68亿,241.19亿,20.26
10,11,002587,奥拓电子,5.76,0.0,0.0,0.0,2.68,1.01,3.47,0.79亿,5.15亿,29.68亿,1544.89
11,12,300315,掌趣科技,5.09,-0.78,-0.04,-0.2,3.7,0.99,3.12,4.91亿,25.94亿,132.05亿,62.61
12,13,300598,诚迈科技,38.29,-0.1,-0.04,0.03,2.46,1.2,3.44,1.59亿,1.67亿,63.90亿,--
13,14,603002,宏昌电子,4.84,-1.02,-0.05,0.0,1.95,0.96,4.29,1.04亿,11.02亿,53.34亿,115.53
14,15,300825,阿尔特,12.15,-0.41,-0.05,0.0,4.81,1.78,9.26,2.89亿,4.76亿,57.81亿,72.96
15,16,301189,奥尼电子,21.35,-0.23,-0.05,0.0,1.65,0.91,3.08,0.14亿,0.41亿,8.79亿,--
16,17,300232,洲明科技,5.67,-0.87,-0.05,0.0,2.39,1.04,3.15,1.20亿,8.88亿,50.37亿,79.83
17,18,300113,顺网科技,11.65,-0.85,-0.1,0.0,2.93,0.99,3.58,1.80亿,5.29亿,61.62亿,37.84
18,19,603629,利通电子,25.05,-0.4,-0.1,0.0,4.45,0.85,5.73,2.82亿,2.55亿,63.83亿,48.98
19,20,002036,联创电子,7.52,-1.31,-0.1,-0.13,5.05,2.21,6.3,4.09亿,10.53亿,79.22亿,--
20,21,688039,当虹科技,26.92,-0.37,-0.1,-0.33,2.94,1.31,5.14,0.89亿,1.12亿,30.13亿,--
21,22,000938,紫光股份,20.95,-0.52,-0.11,0.0,2.9,1.4,3.94,17.35亿,28.60亿,599.19亿,36.21
22,23,600225,卓朗科技,2.69,-4.95,-0.14,-0.37,1.35,1.7,6.71,1.25亿,34.09亿,91.70亿,--
23,24,601238,广汽集团,8.78,-1.57,-0.14,-0.11,0.52,1.09,2.47,3.40亿,73.62亿,646.40亿,18.86
24,25,300373,扬杰科技,37.97,-0.37,-0.14,0.0,1.38,0.9,1.86,2.84亿,5.42亿,205.78亿,28.56
25,26,300811,铂科新材,56.32,-0.28,-0.16,0.3,1.31,0.53,2.35,1.20亿,1.62亿,91.03亿,39.15
