,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603595,东尼电子,15.48,2.45,0.37,22422.0,34094553.0,4.17,15.53,14.9,15.1,15.11,0.96,-27.03,2.42
1,2,000988,华工科技,29.19,1.0,0.29,119129.0,344031940.32,3.01,29.35,28.48,29.0,28.9,1.19,23.49,3.04
2,3,688478,晶升股份,23.35,0.91,0.21,8303.0,19206147.0,3.93,23.55,22.64,23.27,23.14,0.85,46.15,2.07
3,4,002049,紫光国微,46.66,0.86,0.4,49121.0,226941131.49,2.77,46.86,45.58,46.3,46.26,0.58,26.88,3.41
4,5,300623,捷捷微电,18.1,0.78,0.14,98871.0,176795228.5,3.79,18.22,17.54,18.03,17.96,1.48,31.08,3.67
5,6,600666,奥瑞德,1.41,0.71,0.01,374507.0,53237162.0,5.0,1.47,1.4,1.41,1.4,1.55,-369.14,3.69
6,7,002273,水晶光电,16.16,0.62,0.1,301958.0,481224694.95,4.98,16.3,15.5,16.09,16.06,2.22,26.34,2.63
7,8,600330,天通股份,5.87,0.51,0.03,101632.0,58911923.0,2.91,5.89,5.72,5.86,5.84,0.82,45.91,0.91
8,9,300285,国瓷材料,14.74,0.41,0.06,74511.0,109360944.0,2.11,14.83,14.52,14.74,14.68,0.93,22.24,2.25
9,10,000969,安泰科技,8.02,0.38,0.03,93495.0,74208629.0,3.0,8.06,7.82,8.02,7.99,0.91,15.03,1.56
10,11,300433,蓝思科技,15.8,0.25,0.04,229057.0,359508338.36,3.49,15.95,15.4,15.66,15.76,0.46,45.71,1.72
11,12,600703,三安光电,10.05,0.2,0.02,290260.0,287349706.0,3.49,10.1,9.75,10.03,10.03,0.58,136.03,1.36
12,13,300323,华灿光电,4.21,0.0,0.0,169191.0,70263165.0,3.33,4.24,4.1,4.19,4.21,2.25,-13.81,0.93
13,14,300316,晶盛机电,22.47,0.0,0.0,82569.0,184353183.3,2.36,22.6,22.07,22.46,22.47,0.67,7.02,1.82
14,15,000413,ST旭电,,,,,,,,,,0.37,0.0,-4.36,0.1
15,16,688556,高测股份,9.84,-0.3,-0.03,61325.0,59999687.0,3.14,9.95,9.64,9.9,9.87,1.18,9.86,1.32
16,17,002617,露笑科技,5.36,-0.37,-0.02,383232.0,202366744.0,5.95,5.46,5.14,5.41,5.38,2.03,28.57,1.71
17,18,002129,TCL中环,7.78,-0.77,-0.06,357051.0,277524424.18,2.68,7.89,7.68,7.83,7.84,0.88,-5.13,0.84
18,19,300861,美畅股份,17.34,-0.91,-0.16,18855.0,32533193.2,3.6,17.6,16.97,17.57,17.5,0.69,15.09,1.25
19,20,600468,百利电气,3.83,-1.54,-0.06,99617.0,37948409.0,3.08,3.89,3.77,3.87,3.89,0.92,32.18,1.96
20,21,002189,中光学,17.23,-6.71,-1.24,329128.0,575561737.8,7.53,18.28,16.89,17.79,18.47,12.6,166.21,4.05
