,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300496,中科创达,56.49,8.22,4.29,-0.14,13.82,1.82,11.53,28.23亿,3.67亿,207.37亿,71.58
1,2,001314,亿道信息,46.24,9.99,4.2,0.0,23.26,1.73,7.47,5.47亿,0.52亿,23.94亿,--
2,3,688326,经纬恒润,61.99,6.4,3.73,0.0,2.56,1.72,7.81,1.24亿,0.79亿,49.27亿,--
3,4,603296,华勤技术,85.6,4.15,3.41,0.01,9.64,1.95,6.84,5.03亿,0.61亿,52.56亿,25.65
4,5,688521,芯原股份,31.87,10.28,2.97,-1.76,4.33,3.54,16.47,6.76亿,4.91亿,156.34亿,--
5,6,301567,贝隆精密,45.32,6.49,2.76,0.07,25.47,1.29,5.54,2.05亿,0.18亿,8.16亿,97.92
6,7,300672,国科微,62.45,4.43,2.65,-0.06,15.01,3.02,11.44,19.53亿,2.10亿,131.21亿,82.28
7,8,301312,智立方,42.35,5.77,2.31,0.1,20.4,3.83,15.78,2.25亿,0.26亿,10.93亿,--
8,9,300290,荣科科技,12.93,19.72,2.13,-0.23,23.19,1.14,20.83,18.36亿,6.40亿,82.72亿,--
9,10,301383,天键股份,38.86,4.63,1.72,0.0,15.54,1.7,5.92,1.75亿,0.29亿,11.29亿,28.01
10,11,603297,永新光学,69.4,2.39,1.62,0.0,0.48,0.87,2.7,0.37亿,1.10亿,76.65亿,42.34
11,12,603341,龙旗科技,43.74,3.65,1.54,-0.05,22.44,1.7,5.54,4.62亿,0.47亿,20.36亿,39.70
12,13,301183,东田微,39.95,3.31,1.28,-0.1,8.78,1.25,6.41,1.62亿,0.46亿,18.41亿,101.55
13,14,300598,诚迈科技,29.54,4.23,1.2,-0.03,3.91,2.05,5.47,2.52亿,2.17亿,64.08亿,--
14,15,301213,观想科技,32.25,3.56,1.11,0.0,10.7,1.15,5.07,0.99亿,0.29亿,9.27亿,711.98
15,16,300602,飞荣达,16.72,6.84,1.07,-0.12,15.63,1.32,10.41,10.31亿,3.92亿,65.50亿,102.58
16,17,301536,星宸科技,38.11,2.69,1.0,0.08,25.4,1.13,5.79,3.43亿,0.36亿,13.56亿,78.76
17,18,002981,朝阳科技,27.58,3.68,0.98,0.18,3.13,1.88,5.41,0.71亿,0.82亿,22.72亿,76.70
18,19,300624,万兴科技,80.15,1.2,0.95,0.01,3.42,1.09,1.78,3.37亿,1.22亿,98.14亿,108.00
19,20,300976,达瑞电子,43.09,2.13,0.9,-0.05,3.48,1.07,3.77,0.58亿,0.38亿,16.56亿,33.14
20,21,301302,华如科技,19.6,4.81,0.9,0.0,5.72,1.48,5.94,0.96亿,0.87亿,16.97亿,--
21,22,603893,瑞芯微,57.2,1.6,0.9,0.14,0.92,1.31,2.95,2.20亿,4.18亿,239.08亿,88.41
22,23,300571,平治信息,23.38,3.82,0.86,0.04,1.86,0.73,4.97,0.50亿,1.16亿,27.03亿,300.24
23,24,002947,恒铭达,32.02,2.63,0.82,0.09,3.12,1.12,5.03,1.62亿,1.62亿,51.73亿,26.17
24,25,688088,虹软科技,30.68,2.71,0.81,-0.03,0.97,1.23,3.48,1.20亿,4.06亿,124.56亿,91.15
25,26,301321,翰博高新,13.75,6.18,0.8,0.22,4.6,0.74,6.79,0.93亿,1.48亿,20.29亿,--
26,27,300458,全志科技,20.75,3.91,0.78,-0.05,8.99,2.75,7.61,9.53亿,5.18亿,107.40亿,66.93
27,28,300556,丝路视觉,18.25,4.46,0.78,0.0,6.05,1.8,5.72,1.13亿,1.03亿,18.76亿,--
28,29,002962,五方光电,16.5,4.89,0.77,0.12,18.22,1.24,6.36,6.28亿,2.09亿,34.53亿,56.51
29,30,002855,捷荣技术,22.08,3.56,0.76,0.0,2.29,1.91,4.22,1.25亿,2.46亿,54.37亿,--
30,31,301486,致尚科技,45.2,1.71,0.76,0.04,10.6,1.18,5.02,1.56亿,0.32亿,14.54亿,101.46
31,32,000829,天音控股,8.17,9.96,0.74,0.0,6.01,6.06,9.82,4.91亿,10.24亿,83.67亿,131.43
32,33,301313,凡拓数创,22.71,3.32,0.73,-0.18,3.95,1.0,3.5,0.58亿,0.65亿,14.84亿,--
