,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301289,国缆检测,42.95,4.55,1.87,0.0,12.39,1.98,6.52,1.35亿,0.25亿,10.89亿,51.35
1,2,688122,西部超导,42.71,2.62,1.09,0.24,1.18,1.71,4.23,3.26亿,6.50亿,277.47亿,62.78
2,3,002149,西部材料,14.99,1.49,0.22,0.07,0.93,1.13,3.32,0.68亿,4.88亿,73.17亿,49.84
3,4,000969,安泰科技,8.81,0.8,0.07,-0.23,1.16,0.76,1.6,1.05亿,10.26亿,90.37亿,29.43
4,5,600973,宝胜股份,4.15,1.72,0.07,-0.24,0.79,0.74,2.45,0.45亿,13.71亿,56.91亿,69.31
5,6,002130,沃尔核材,13.22,0.46,0.06,-0.38,6.35,0.83,4.63,10.64亿,12.49亿,165.14亿,22.59
6,7,600468,百利电气,4.81,1.26,0.06,0.0,1.27,0.74,2.53,0.67亿,10.88亿,52.32亿,37.61
7,8,600105,永鼎股份,4.1,1.24,0.05,0.0,1.14,1.06,2.72,0.65亿,14.02亿,57.49亿,53.04
8,9,600577,精达股份,4.29,0.94,0.04,-0.23,1.18,0.53,1.65,1.06亿,20.80亿,89.22亿,20.44
9,10,600363,联创光电,29.04,0.14,0.04,-0.03,0.78,0.88,1.86,1.03亿,4.55亿,132.20亿,31.47
10,11,600361,创新新材,4.0,0.76,0.03,-0.25,1.81,0.85,1.76,0.72亿,9.98亿,39.94亿,15.39
11,12,430300,辰光医疗,7.81,0.39,0.03,0.0,0.47,0.47,2.7,0.02亿,0.60亿,4.69亿,--
12,13,601212,白银有色,3.13,0.32,0.01,0.0,0.89,0.49,1.92,2.06亿,74.05亿,231.77亿,--
13,14,600366,宁波韵升,5.85,-0.34,-0.02,-0.17,0.51,0.71,1.36,0.32亿,10.64亿,62.24亿,--
14,15,601061,中信金属,8.12,-0.49,-0.04,-0.25,1.86,0.47,0.86,0.76亿,5.01亿,40.69亿,64.28
15,16,002533,金杯电工,9.6,-0.62,-0.06,-0.21,1.49,0.55,2.28,0.90亿,6.28亿,60.24亿,13.15
16,17,600595,中孚实业,2.94,-3.29,-0.1,-0.34,1.32,1.26,3.95,1.55亿,39.66亿,116.60亿,67.41
17,18,000962,东方钽业,11.5,-1.03,-0.12,-0.17,3.3,0.58,2.15,1.89亿,4.96亿,57.00亿,29.21
18,19,600522,中天科技,15.06,-2.08,-0.32,0.07,1.23,0.62,2.73,6.38亿,34.13亿,513.99亿,20.20
19,20,300706,阿石创,19.99,-1.72,-0.35,0.05,4.17,0.7,3.83,0.95亿,1.13亿,22.64亿,--
