,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000899,赣能股份,11.75,10.02,1.07,0.0,9.59,1.31,10.49,10.58亿,9.76亿,114.64亿,14.08
1,2,002380,科远智慧,19.0,4.34,0.79,-0.16,8.33,1.44,6.81,2.21亿,1.42亿,26.93亿,26.63
2,3,000777,中核科技,19.06,3.87,0.71,0.05,9.06,1.3,4.3,6.56亿,3.83亿,73.08亿,--
3,4,601918,新集能源,9.7,4.53,0.42,0.1,1.53,1.29,6.14,3.78亿,25.91亿,251.28亿,10.51
4,5,300105,龙源技术,7.75,4.87,0.36,0.13,7.48,1.68,6.09,2.92亿,5.13亿,39.77亿,73.85
5,6,600744,华银电力,3.98,9.95,0.36,0.0,10.99,2.25,11.88,8.60亿,20.31亿,80.84亿,265.62
6,7,600021,上海电力,9.53,3.03,0.28,0.0,2.87,1.96,3.13,7.08亿,26.17亿,249.42亿,10.59
7,8,000539,粤电力A,5.87,4.82,0.27,0.17,5.74,2.59,9.82,8.46亿,25.54亿,149.91亿,61.01
8,9,600875,东方电气,18.07,1.4,0.25,0.06,1.33,0.93,2.47,4.81亿,20.23亿,365.61亿,15.55
9,10,300881,盛德鑫泰,26.62,0.95,0.25,-0.08,4.54,0.96,3.0,0.70亿,0.57亿,15.28亿,14.70
10,11,600268,国电南自,7.14,3.33,0.23,-0.14,3.01,1.73,4.34,1.78亿,8.34亿,59.57亿,--
11,12,002608,江苏国信,8.53,2.4,0.2,0.0,0.55,1.16,3.72,1.75亿,37.78亿,322.27亿,10.35
12,13,000966,长源电力,5.05,4.12,0.2,0.2,2.55,1.85,5.36,3.49亿,27.49亿,138.84亿,13.87
13,14,002438,江苏神通,13.47,1.28,0.17,0.0,4.37,1.22,5.19,2.76亿,4.69亿,63.16亿,20.42
14,15,600089,特变电工,14.6,1.18,0.17,-0.07,1.03,1.31,2.5,7.55亿,50.53亿,737.71亿,9.25
15,16,001286,陕西能源,10.64,1.43,0.15,0.0,2.46,1.1,2.19,2.74亿,10.50亿,111.72亿,10.10
16,17,600348,华阳股份,10.17,1.4,0.14,0.0,1.03,1.04,1.89,3.75亿,36.08亿,366.88亿,10.57
17,18,600027,华电国际,6.89,1.92,0.13,0.15,1.02,1.04,2.66,5.94亿,85.10亿,586.36亿,9.46
18,19,600023,浙能电力,6.29,2.11,0.13,0.0,0.75,1.21,2.6,6.25亿,134.09亿,843.41亿,11.62
19,20,600310,广西能源,3.48,3.57,0.12,0.0,2.93,2.14,4.17,1.48亿,14.66亿,51.01亿,--
20,21,000883,湖北能源,5.89,2.08,0.12,0.0,0.36,0.83,1.73,1.35亿,64.80亿,381.66亿,12.31
21,22,000690,宝新能源,5.77,2.12,0.12,0.0,2.71,1.23,2.65,3.38亿,21.74亿,125.47亿,15.01
22,23,001896,豫能控股,4.64,2.43,0.11,0.0,4.38,1.5,4.19,2.66亿,13.21亿,61.28亿,288.78
23,24,600395,盘江股份,6.25,1.79,0.11,0.0,0.99,0.99,2.28,1.32亿,21.47亿,134.16亿,157.28
24,25,600509,天富能源,5.88,1.91,0.11,0.0,2.12,1.93,2.95,1.72亿,13.79亿,81.09亿,13.78
25,26,000027,深圳能源,7.49,1.35,0.1,0.0,0.5,0.99,1.76,1.77亿,47.57亿,356.33亿,8.06
26,27,600011,华能国际,9.26,0.98,0.09,0.0,0.74,1.1,1.42,7.50亿,109.98亿,1018.39亿,7.91
27,28,600863,内蒙华电,4.61,1.99,0.09,0.22,1.67,1.02,2.21,4.98亿,65.27亿,300.89亿,8.47
28,29,000543,皖能电力,8.42,0.84,0.07,0.12,1.82,1.09,2.27,3.45亿,22.67亿,190.87亿,10.54
