,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002438,江苏神通,13.1,3.23,0.41,0.15,5.49,0.98,6.62,3.40亿,4.69亿,61.43亿,19.86
1,2,300965,*ST恒宇,27.88,1.31,0.36,0.22,11.47,0.65,6.87,0.53亿,0.16亿,4.58亿,62.02
2,3,600219,南山铝业,3.58,6.23,0.21,0.28,2.41,2.24,7.71,10.14亿,117.09亿,419.17亿,12.31
3,4,002146,荣盛发展,1.67,9.87,0.15,0.0,5.97,3.2,1.97,3.88亿,39.00亿,65.13亿,35.41
4,5,300135,宝利国际,3.16,3.27,0.1,-0.32,21.45,3.05,10.13,6.29亿,9.22亿,29.12亿,164.97
5,6,600115,中国东航,3.84,2.67,0.1,-0.26,0.89,1.6,4.81,4.56亿,134.81亿,517.66亿,--
6,7,000571,新大洲A,3.12,2.63,0.08,-0.64,5.75,2.13,6.58,1.49亿,8.14亿,25.40亿,--
7,8,001316,润贝航科,29.88,0.17,0.05,-0.03,5.21,2.27,5.06,0.45亿,0.28亿,8.49亿,30.29
8,9,600340,华夏幸福,1.21,2.54,0.03,0.0,4.99,1.92,9.32,2.37亿,38.93亿,47.11亿,--
9,10,300227,光韵达,6.73,0.15,0.01,-0.15,5.59,1.1,4.91,1.57亿,4.18亿,28.12亿,137.29
10,11,603766,隆鑫通用,6.49,0.15,0.01,-0.15,1.01,0.80,1.70,1.34亿,20.54亿,133.28亿,12.94
11,12,002510,天汽模,4.10,0.24,0.01,0.00,3.75,1.11,4.65,1.44亿,9.32亿,38.20亿,39.91
12,13,603377,东方时尚,--,--,--,--,--,--,--,--,7.21亿,23.57亿,--
13,14,300350,华鹏飞,5.84,-0.17,-0.01,0.00,16.28,1.06,7.69,4.56亿,4.72亿,27.54亿,19.68
14,15,300159,新研股份,1.85,-2.63,-0.05,-0.54,2.39,0.89,5.79,0.66亿,14.72亿,27.23亿,--
15,16,600170,上海建工,2.40,-2.04,-0.05,0.00,1.00,0.97,2.04,2.15亿,88.86亿,213.26亿,18.36
16,17,000415,渤海租赁,2.49,-2.35,-0.06,0.00,1.96,1.07,4.31,2.66亿,53.93亿,134.28亿,9.90
17,18,688563,航材股份,56.60,-0.18,-0.10,0.04,1.12,0.99,1.92,0.46亿,0.73亿,41.47亿,42.99
18,19,002542,中化岩土,2.10,-4.55,-0.10,-0.47,2.86,0.87,5.00,0.97亿,16.02亿,33.63亿,--
19,20,002520,日发精机,5.30,-1.85,-0.10,-0.19,3.45,0.80,3.33,1.18亿,6.45亿,34.18亿,--
20,21,002651,利君股份,5.84,-2.01,-0.12,-0.17,2.37,0.52,3.52,0.78亿,5.65亿,33.02亿,26.73
21,22,600391,航发科技,16.84,-0.88,-0.15,0.0,1.85,1.12,2.41,1.03亿,3.30亿,55.59亿,--
22,23,600523,贵航股份,11.47,-1.38,-0.16,0.0,1.63,0.57,2.58,0.76亿,4.04亿,46.34亿,31.57
23,24,000768,中航西飞,22.32,-0.76,-0.17,-0.09,0.84,1.37,3.25,5.25亿,27.69亿,617.96亿,56.97
24,25,600862,中航高科,19.59,-1.31,-0.26,0.21,1.34,0.81,2.82,3.67亿,13.93亿,272.90亿,19.44
25,26,000738,航发控制,19.56,-1.31,-0.26,-0.05,0.8,0.73,2.22,2.08亿,13.15亿,257.25亿,24.70
26,27,300342,天银机电,12.81,-2.14,-0.28,-0.08,4.11,0.73,3.21,2.21亿,4.16亿,53.32亿,360.07
27,28,600316,洪都航空,17.99,-1.69,-0.31,0.06,0.92,0.81,1.75,1.19亿,7.17亿,129.01亿,--
28,29,603085,天成自控,9.65,-3.11,-0.31,0.0,2.54,0.79,2.91,0.92亿,3.70亿,35.73亿,95.61
29,30,300036,超图软件,16.46,-2.26,-0.38,0.0,4.19,0.96,3.15,3.01亿,4.31亿,70.92亿,417.20
30,31,002097,山河智能,8.06,-5.07,-0.43,-0.12,8.14,0.86,5.77,7.12亿,10.73亿,86.46亿,104.94
31,32,300581,晨曦航空,8.0,-5.21,-0.44,0.0,2.94,0.6,6.52,1.31亿,5.50亿,44.01亿,--
32,33,002883,中设股份,9.95,-4.88,-0.51,-0.4,17.85,0.74,7.65,2.42亿,1.35亿,13.48亿,39.00
33,34,002023,海特高新,10.55,-4.96,-0.55,-0.1,10.04,0.89,5.32,7.97亿,7.41亿,78.16亿,75.91
34,35,300732,设研院,7.19,-7.7,-0.6,0.14,5.62,0.7,7.06,1.33亿,3.24亿,23.28亿,--
35,36,002111,威海广泰,10.5,-6.42,-0.72,0.1,6.47,1.4,10.52,3.37亿,4.77亿,50.13亿,28.22
36,37,300424,航新科技,11.88,-5.94,-0.75,-0.17,7.09,0.79,8.39,2.05亿,2.39亿,28.43亿,50.69
37,38,603308,应流股份,14.95,-5.02,-0.79,0.07,3.64,0.64,5.59,3.78亿,6.83亿,102.13亿,28.20
38,39,300397,天和防务,11.15,-7.01,-0.84,0.0,18.75,1.49,9.76,8.89亿,4.06亿,45.21亿,206.19
39,40,000801,四川九洲,12.69,-6.28,-0.85,0.4,9.12,0.73,7.24,12.01亿,10.23亿,129.79亿,88.92
40,41,300542,新晨科技,12.32,-8.13,-1.09,0.33,12.12,0.61,7.31,3.73亿,2.44亿,30.08亿,--
41,42,600990,四创电子,18.55,-6.5,-1.29,0.43,5.09,0.58,5.7,2.58亿,2.69亿,49.90亿,--
42,43,300284,苏交科,8.5,-13.27,-1.3,0.0,17.45,0.8,13.37,13.65亿,9.03亿,76.76亿,50.38
43,44,001696,宗申动力,11.73,-9.98,-1.3,0.0,6.63,0.25,5.91,7.07亿,8.91亿,104.55亿,27.93
44,45,002253,川大智胜,12.4,-10.02,-1.38,0.0,26.7,3.47,19.96,7.63亿,2.07亿,25.69亿,--
45,46,002085,万丰奥威,16.25,-10.02,-1.81,0.0,16.49,0.97,7.81,58.09亿,21.23亿,345.04亿,38.03
46,47,835508,殷图网联,20.01,-9.38,-2.07,0.0,16.67,0.71,11.32,0.90亿,0.26亿,5.21亿,--
47,48,300719,安达维尔,18.82,-9.99,-2.09,0.8,22.66,0.74,12.24,7.70亿,1.80亿,33.80亿,220.36
48,49,300900,广联航空,27.83,-7.02,-2.1,-0.11,12.79,0.66,7.88,5.63亿,1.55亿,43.20亿,48.30
49,50,600038,中直股份,41.69,-5.12,-2.25,0.36,3.32,1.13,6.42,8.26亿,5.89亿,245.75亿,58.56
50,51,000099,中信海直,22.28,-9.98,-2.47,0.0,23.0,0.7,5.7,36.70亿,7.10亿,158.24亿,51.72
