,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000603,盛达资源,14.58,5.88,0.81,-0.14,5.47,1.91,6.32,4.95亿,6.32亿,92.22亿,--
1,2,301500,飞南资源,23.19,2.7,0.61,0.09,34.03,1.77,7.31,3.11亿,0.40亿,9.28亿,--
2,3,000426,兴业银锡,13.68,2.7,0.36,0.15,3.15,1.39,4.13,6.30亿,14.78亿,202.18亿,27.40
3,4,603993,洛阳钼业,9.2,1.77,0.16,0.0,1.15,0.84,3.87,18.55亿,176.66亿,1625.25亿,23.98
4,5,834033,康普化学,20.92,0.53,0.11,0.0,0.68,0.7,1.87,0.08亿,0.54亿,11.32亿,27.78
5,6,002125,湘潭电化,14.7,0.48,0.07,0.69,17.43,1.4,8.82,16.16亿,6.29亿,92.53亿,47.64
6,7,000630,铜陵有色,4.13,1.47,0.06,0.0,2.4,1.0,3.44,10.34亿,105.27亿,434.74亿,11.93
7,8,601168,西部矿业,19.74,0.3,0.06,-0.1,2.14,0.98,4.57,9.99亿,23.83亿,470.40亿,15.96
8,9,600711,盛屯矿业,5.15,0.98,0.05,0.2,3.41,0.97,2.94,5.42亿,31.23亿,160.82亿,13.97
9,10,601212,白银有色,3.23,1.57,0.05,0.0,2.36,1.86,6.92,5.61亿,74.05亿,239.17亿,--
10,11,600490,鹏欣资源,3.65,0.55,0.02,0.0,7.49,0.82,7.44,5.38亿,19.93亿,72.73亿,71.87
11,12,601618,中国中冶,3.32,0.61,0.02,-0.3,0.7,1.05,1.51,4.16亿,178.53亿,592.71亿,6.42
12,13,000060,中金岭南,4.91,0.41,0.02,-0.2,2.36,1.26,4.5,4.30亿,37.37亿,183.50亿,19.17
13,14,000701,厦门信达,4.42,0.46,0.02,-0.23,6.2,1.1,3.41,1.42亿,5.20亿,22.98亿,93.39
14,15,601106,中国一重,2.68,-0.74,-0.02,0.0,0.24,0.66,1.85,0.43亿,68.58亿,183.79亿,--
15,16,002266,浙富控股,3.36,-1.18,-0.04,0.3,0.41,0.72,2.35,0.67亿,49.22亿,165.37亿,14.17
16,17,002340,格林美,6.94,-1.14,-0.08,0.0,2.51,0.51,2.85,8.87亿,50.86亿,353.00亿,19.54
17,18,300477,合纵科技,3.54,-3.28,-0.12,-0.28,20.43,2.9,12.57,7.13亿,9.35亿,33.11亿,--
18,19,833914,远航精密,8.57,-1.38,-0.12,0.0,0.97,0.73,2.3,0.05亿,0.60亿,5.16亿,17.90
19,20,000546,金圆股份,5.26,-2.77,-0.15,-0.19,2.06,0.84,4.07,0.78亿,7.11亿,37.41亿,44.39
20,21,601061,中信金属,8.51,-1.96,-0.17,0.0,6.59,1.16,4.61,2.81亿,5.01亿,42.65亿,67.36
21,22,000009,中国宝安,10.62,-1.58,-0.17,-0.09,0.55,0.84,2.5,1.50亿,25.51亿,270.96亿,96.76
22,23,600884,杉杉股份,11.79,-1.59,-0.19,-0.09,0.59,0.81,2.84,1.23亿,17.57亿,207.18亿,--
23,24,300208,*ST中程,2.0,-9.09,-0.2,0.0,4.64,0.97,12.73,0.66亿,6.87亿,13.75亿,--
24,25,000762,西藏矿业,22.05,-1.34,-0.3,-0.09,1.81,0.86,3.49,2.08亿,5.21亿,114.84亿,121.36
25,26,300409,道氏技术,11.22,-3.11,-0.36,-0.09,3.86,0.85,3.8,2.12亿,4.87亿,54.64亿,114.48
26,27,603799,华友钴业,30.08,-1.18,-0.36,0.0,2.02,1.0,2.92,10.22亿,16.86亿,507.25亿,24.43
27,28,300618,寒锐钴业,32.42,-1.67,-0.55,0.15,7.12,1.2,4.76,6.29亿,2.73亿,88.38亿,82.53
28,29,002009,天奇股份,13.87,-4.01,-0.58,0.07,4.35,0.69,3.88,2.27亿,3.74亿,51.82亿,602.13
29,30,605376,博迁新材,25.4,-2.57,-0.67,0.0,3.17,0.74,4.99,2.10亿,2.62亿,66.45亿,106.63
30,31,301219,腾远钴业,46.48,-1.52,-0.72,0.02,4.46,0.88,4.77,3.47亿,1.68亿,78.03亿,23.78
31,32,300487,蓝晓科技,51.17,-2.87,-1.51,0.02,1.06,0.68,4.27,1.66亿,3.04亿,155.62亿,38.19
32,33,300919,中伟股份,53.18,-2.88,-1.58,-0.08,0.74,1.11,3.09,2.56亿,6.49亿,345.26亿,23.49
33,34,301210,金杨股份,36.58,-7.58,-3.0,-0.03,25.83,3.41,11.6,1.67亿,0.17亿,6.34亿,69.03
