,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600865,百大集团,8.14,10.0,0.74,0.0,2.99,3.33,1.89,0.91亿,3.76亿,30.63亿,21.09
1,2,600679,上海凤凰,9.58,2.57,0.24,0.0,3.21,2.2,8.35,0.94亿,3.13亿,29.96亿,43.43
2,3,000153,丰原药业,8.55,2.64,0.22,-0.12,3.87,1.11,3.48,1.05亿,3.19亿,27.29亿,15.10
3,4,000936,华西股份,7.5,1.76,0.13,0.13,3.62,1.55,4.21,2.39亿,8.86亿,66.44亿,41.38
4,5,000567,海德股份,9.85,1.13,0.11,0.1,0.74,0.85,3.59,0.97亿,13.45亿,132.46亿,14.23
5,6,600137,浪莎股份,13.79,0.66,0.09,0.22,2.07,0.76,2.77,0.28亿,0.97亿,13.41亿,70.64
6,7,000777,中核科技,18.5,0.49,0.09,-0.05,10.26,0.78,5.11,7.38亿,3.83亿,70.93亿,--
7,8,600368,五洲交通,4.45,1.83,0.08,0.0,2.11,1.49,2.29,1.16亿,12.38亿,55.10亿,6.46
8,9,000570,苏常柴A,5.07,1.4,0.07,0.2,2.99,1.84,3.2,0.76亿,4.99亿,25.29亿,27.62
9,10,600070,*ST富润,1.17,5.41,0.06,0.0,1.48,1.04,4.5,0.09亿,5.07亿,5.93亿,--
10,11,600830,香溢融通,6.50,0.78,0.05,0.00,3.54,1.41,2.33,1.05亿,4.54亿,29.53亿,34.82
11,12,000551,创元科技,9.35,0.43,0.04,-0.11,2.94,1.54,2.04,1.11亿,4.01亿,37.53亿,15.11
12,13,600736,苏州高新,4.66,0.87,0.04,0.00,1.56,2.01,2.38,0.84亿,11.51亿,53.65亿,12.03
13,14,002423,中粮资本,8.31,0.48,0.04,0.12,3.68,1.63,4.35,7.18亿,23.04亿,191.47亿,7.62
14,15,600415,小商品城,8.75,0.00,0.00,-0.11,0.54,0.80,2.06,2.56亿,54.70亿,478.58亿,16.83
