,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603773,沃格光电,27.85,2.92,0.79,0.0,4.96,1.49,6.47,2.15亿,1.56亿,43.55亿,--
1,2,688611,杭州柯林,36.12,1.03,0.37,0.03,1.86,1.22,4.48,0.52亿,0.78亿,28.27亿,157.36
2,3,300056,中创环保,9.98,1.94,0.19,0.1,3.9,1.39,3.98,1.50亿,3.85亿,38.44亿,55.14
3,4,002309,*ST中利,1.88,5.03,0.09,0.0,1.93,1.23,3.35,0.31亿,8.68亿,16.31亿,--
4,5,600819,耀皮玻璃,4.91,0.2,0.01,-0.2,1.12,0.85,2.65,0.41亿,7.47亿,36.70亿,94.68
5,6,002329,皇氏集团,4.18,-0.48,-0.02,0.0,1.09,0.63,1.91,0.30亿,6.59亿,27.53亿,175.84
6,7,002506,协鑫集成,2.39,-1.24,-0.03,-0.42,0.73,0.92,2.48,1.02亿,58.50亿,139.81亿,143.30
7,8,600477,杭萧钢构,2.79,-1.06,-0.03,-0.71,0.69,1.06,2.48,0.46亿,23.69亿,66.09亿,25.82
8,9,002534,西子洁能,11.61,-0.34,-0.04,-0.09,0.72,0.45,2.23,0.61亿,7.31亿,84.85亿,8.33
9,10,600586,金晶科技,6.46,-0.77,-0.05,-0.16,1.13,0.83,1.69,1.04亿,14.29亿,92.30亿,13.54
10,11,002218,拓日新能,3.46,-1.71,-0.06,0.0,0.81,0.91,3.12,0.39亿,13.92亿,48.18亿,481.57
11,12,002610,ST爱康,1.36,-4.89,-0.07,0.0,0.08,0.2,0.0,0.05亿,44.76亿,60.87亿,--
12,13,300393,中来股份,7.6,-1.3,-0.1,0.0,1.54,0.93,3.77,1.11亿,9.54亿,72.49亿,--
13,14,000821,京山轻机,14.14,-0.98,-0.14,0.07,4.12,0.88,2.87,3.47亿,6.00亿,84.80亿,16.92
14,15,603778,国晟科技,3.45,-4.17,-0.15,0.0,4.67,1.19,3.33,1.04亿,6.43亿,22.18亿,--
15,16,603212,赛伍技术,12.48,-1.42,-0.18,-0.08,1.59,0.88,3.08,0.87亿,4.37亿,54.60亿,47.81
16,17,600438,通威股份,22.59,-0.88,-0.2,0.0,0.57,0.53,2.11,5.83亿,45.02亿,1017.00亿,--
17,18,300118,东方日升,12.88,-1.53,-0.2,0.0,2.1,0.56,3.29,2.50亿,9.22亿,118.74亿,--
18,19,300340,科恒股份,8.48,-2.42,-0.21,-0.47,3.34,1.02,4.03,0.53亿,1.87亿,15.88亿,--
19,20,300263,隆华科技,6.47,-3.29,-0.22,0.0,2.69,0.71,3.44,1.35亿,7.72亿,49.97亿,26.62
20,21,603687,大胜达,10.4,-2.16,-0.23,-0.1,0.59,0.89,3.1,0.34亿,5.47亿,56.84亿,80.42
21,22,002008,大族激光,21.11,-1.08,-0.23,-0.05,1.89,0.62,1.83,3.92亿,9.79亿,206.73亿,5.62
22,23,002514,宝馨科技,5.86,-3.93,-0.24,-0.51,6.28,1.75,3.44,2.06亿,5.54亿,32.47亿,--
23,24,300252,金信诺,7.21,-3.48,-0.26,0.0,3.92,0.73,4.55,1.52亿,5.33亿,38.45亿,--
24,25,688518,联赢激光,14.26,-2.26,-0.33,-0.07,3.94,1.1,2.74,1.91亿,3.39亿,48.35亿,42.54
25,26,601012,隆基绿能,18.62,-1.79,-0.34,0.0,1.39,0.87,2.16,19.65亿,75.78亿,1411.03亿,--
26,27,002643,万润股份,11.95,-2.92,-0.36,0.0,1.88,1.25,4.3,2.04亿,9.03亿,107.86亿,28.26
27,28,300716,泉为科技,7.89,-5.51,-0.46,0.0,3.18,1.27,6.23,0.41亿,1.60亿,12.63亿,--
28,29,688170,德龙激光,24.21,-1.86,-0.46,0.04,1.6,1.12,4.09,0.31亿,0.80亿,19.27亿,--
29,30,300776,帝尔激光,45.93,-1.01,-0.47,-0.13,1.48,0.91,2.39,1.13亿,1.67亿,76.76亿,23.21
30,31,300706,阿石创,18.3,-2.61,-0.49,-0.06,1.37,0.99,3.83,0.29亿,1.13亿,20.73亿,--
31,32,300585,奥联电子,11.93,-4.48,-0.56,0.0,5.59,1.18,4.56,1.07亿,1.60亿,19.09亿,805.96
32,33,603051,鹿山新材,26.59,-2.49,-0.68,0.11,4.89,0.67,3.89,0.65亿,0.49亿,13.15亿,24.87
33,34,300758,七彩化学,15.6,-5.4,-0.89,0.0,23.12,1.06,11.82,11.60亿,3.16亿,49.32亿,73.33
34,35,000988,华工科技,31.68,-3.36,-1.1,-0.03,3.37,1.01,3.87,10.77亿,10.05亿,318.38亿,27.47
35,36,300093,金刚光伏,16.35,-6.36,-1.11,0.0,12.98,1.23,4.07,4.62亿,2.15亿,35.21亿,--
36,37,300724,捷佳伟创,68.49,-1.75,-1.22,0.0,2.5,0.74,1.84,4.70亿,2.74亿,187.76亿,10.31
37,38,688499,利元亨,26.48,-4.61,-1.28,-0.08,7.08,1.17,6.05,1.10亿,0.58亿,15.39亿,--
38,39,688147,微导纳米,30.41,-4.34,-1.38,0.0,2.87,1.09,5.29,0.73亿,0.82亿,25.04亿,966.86
39,40,688378,奥来德,33.57,-4.25,-1.49,-0.24,1.19,0.78,5.11,0.58亿,1.44亿,48.25亿,13.13
40,41,301325,曼恩斯特,61.69,-3.25,-2.07,0.0,5.88,1.15,3.84,0.96亿,0.26亿,16.19亿,32.27
41,42,688025,杰普特,43.43,-5.17,-2.37,0.02,1.93,1.2,5.87,0.81亿,0.95亿,41.25亿,39.23
