,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688531,日联科技,69.84,4.49,3.0,0.06,1.5,1.39,4.34,0.50亿,0.48亿,33.54亿,40.99
1,2,301180,万祥科技,17.47,19.99,2.91,0.0,35.95,2.73,15.52,3.55亿,0.58亿,10.11亿,10029.30
2,3,603052,可川科技,42.88,4.46,1.83,0.05,8.5,1.76,5.12,1.05亿,0.29亿,12.55亿,49.08
3,4,301326,捷邦科技,30.03,6.11,1.73,0.17,14.93,1.05,7.67,1.19亿,0.27亿,8.07亿,--
4,5,001283,豪鹏科技,50.83,3.31,1.63,0.02,4.23,2.64,6.16,1.24亿,0.57亿,29.10亿,329.56
5,6,301512,智信精密,45.41,3.68,1.61,-0.07,16.87,1.61,5.78,1.02亿,0.13亿,6.05亿,--
6,7,600171,上海贝岭,16.65,9.97,1.51,0.06,18.4,3.13,9.51,21.10亿,7.09亿,118.04亿,80.30
7,8,301079,邵阳液压,12.96,12.4,1.43,-0.23,17.81,8.14,19.51,1.33亿,0.58亿,7.56亿,222.80
8,9,300928,华安鑫创,38.56,3.77,1.4,-0.26,4.12,1.45,5.6,0.79亿,0.50亿,19.46亿,--
9,10,301121,紫建电子,42.32,3.37,1.38,0.05,19.87,1.54,6.59,2.46亿,0.30亿,12.51亿,68.22
10,11,300953,震裕科技,63.03,2.14,1.32,0.02,1.74,2.12,4.55,0.75亿,0.68亿,42.85亿,30.88
11,12,605589,圣泉集团,21.37,5.95,1.2,0.05,4.48,2.47,6.3,5.82亿,6.18亿,132.15亿,32.92
12,13,301135,瑞德智能,21.61,5.72,1.17,0.05,10.83,2.22,7.53,1.14亿,0.49亿,10.69亿,190.50
13,14,301568,思泰克,31.97,3.8,1.17,0.06,9.89,1.05,4.93,0.82亿,0.26亿,8.25亿,56.71
14,15,002594,比亚迪,229.02,0.51,1.16,0.01,1.59,1.21,2.02,42.64亿,11.62亿,2662.29亿,36.46
15,16,300647,超频三,5.62,20.09,0.94,0.0,11.92,1.26,19.66,2.84亿,4.39亿,24.68亿,202.96
16,17,688239,航宇科技,39.07,2.28,0.87,0.0,4.7,1.46,5.03,1.90亿,1.05亿,40.87亿,25.84
17,18,300037,新宙邦,31.4,2.68,0.82,0.06,1.71,1.43,4.12,2.92亿,5.42亿,170.33亿,35.86
18,19,688638,誉辰智能,42.09,1.99,0.82,-0.12,2.59,1.76,3.46,0.10亿,0.10亿,4.01亿,--
19,20,300641,正丹股份,24.79,3.21,0.77,0.0,15.68,1.11,10.49,19.17亿,5.08亿,125.95亿,53.41
20,21,603665,康隆达,21.64,3.69,0.77,0.0,1.89,1.5,4.7,0.65亿,1.61亿,34.77亿,--
21,22,300014,亿纬锂能,39.18,1.9,0.73,0.13,1.92,1.62,4.53,14.04亿,18.62亿,729.36亿,18.80
22,23,688518,联赢激光,14.77,4.75,0.67,0.0,8.87,3.41,7.02,4.48亿,3.39亿,50.08亿,44.06
23,24,688623,双元科技,59.57,1.14,0.67,0.0,0.52,0.85,1.29,0.04亿,0.14亿,8.52亿,36.23
24,25,688328,深科达,15.74,4.38,0.66,-0.06,3.97,1.83,7.29,0.59亿,0.94亿,14.87亿,--
25,26,688383,新益昌,61.9,1.08,0.66,0.08,0.84,1.09,2.65,0.53亿,1.02亿,63.22亿,54.62
