,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600298,安琪酵母,32.24,2.09,0.66,92450,294345571.0,2.98,32.37,31.43,31.59,31.58,1.08,20.26,2.75
1,2,300221,银禧科技,4.9,1.87,0.09,165354,81046690.69,4.37,5.01,4.8,4.82,4.81,3.65,45.43,1.77
2,3,000525,ST红太阳,9.22,1.77,0.16,105480,97101232.28,3.75,9.4,9.06,9.4,9.06,1.82,126.1,5.92
3,4,002562,兄弟科技,3.23,1.25,0.04,66768,21323515.6,2.82,3.24,3.15,3.2,3.19,0.95,121.68,1.11
4,5,002317,众生药业,11.43,0.88,0.1,115317,129721997.42,3.35,11.45,11.07,11.33,11.33,1.51,55.68,2.27
5,6,300261,雅本化学,5.3,0.38,0.02,72022,37820359.5,2.65,5.32,5.18,5.31,5.28,0.77,-49.08,2.25
6,7,002626,金达威,13.13,-0.23,-0.03,28119,36606816.91,2.58,13.25,12.91,13.17,13.16,0.46,30.78,2.02
7,8,002277,友阿股份,2.24,-0.44,-0.01,235290,52494359.0,3.56,2.28,2.2,2.26,2.25,1.69,15.88,0.46
8,9,300267,尔康制药,2.23,-0.45,-0.01,185334,41072949.71,3.57,2.27,2.19,2.26,2.24,1.3,365.04,0.96
9,10,600062,华润双鹤,21.29,-0.51,-0.11,109636,231516788.0,2.99,21.5,20.86,21.33,21.4,1.07,10.57,2.23
10,11,002038,双鹭药业,6.39,-1.24,-0.08,68494,43585485.0,3.71,6.53,6.29,6.52,6.47,0.8,110.93,1.13
11,12,300511,雪榕生物,3.1,-1.27,-0.04,263372,80592425.6,3.18,3.12,3.02,3.1,3.14,6.3,-5.38,1.15
12,13,000639,西王食品,2.31,-1.28,-0.03,89073,20555160.0,2.99,2.35,2.28,2.33,2.34,0.83,30.67,0.74
13,14,002728,特一药业,7.22,-1.37,-0.1,71839,51812065.99,3.01,7.38,7.16,7.36,7.32,1.92,685.5,2.02
14,15,300630,普利制药,8.01,-3.14,-0.26,285353,230186203.78,8.34,8.51,7.82,8.31,8.27,8.44,-31.85,1.3
