,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603507,振江股份,21.16,5.48,1.1,48233.0,100777691.0,8.42,21.52,19.83,20.15,20.06,2.62,15.79,1.59
1,2,300376,ST易事特,2.48,5.08,0.12,380190.0,93631917.48,8.05,2.54,2.35,2.35,2.36,1.63,23.16,0.81
2,3,300444,双杰电气,5.61,4.86,0.26,253716.0,140445013.04,7.48,5.69,5.29,5.39,5.35,4.28,25.99,2.73
3,4,002309,*ST中利,1.95,4.84,0.09,123428.0,24065289.0,1.08,1.95,1.93,1.95,1.86,1.42,-3.2,-2.1
4,5,002729,好利科技,10.7,4.19,0.43,99553.0,104731310.8,6.23,10.83,10.19,10.3,10.27,5.67,47.93,3.89
5,6,600764,中国海防,21.28,3.96,0.81,65773.0,137471986.0,6.16,21.48,20.22,20.42,20.47,0.93,100.32,1.86
6,7,301548,崇德科技,41.76,3.34,1.35,6015.0,24811807.98,7.1,42.69,39.82,40.41,40.41,2.77,28.82,2.53
7,8,002564,*ST天沃,2.85,3.26,0.09,194462.0,55825169.0,4.71,2.9,2.77,2.78,2.76,2.27,78.92,18.8
8,9,300690,双一科技,17.38,2.96,0.5,84044.0,145345877.7,5.81,17.74,16.76,16.81,16.88,7.63,61.07,2.04
9,10,600956,新天绿能,6.73,2.91,0.19,86967.0,57781989.0,3.52,6.75,6.52,6.61,6.54,0.4,9.9,1.32
10,11,300281,金明精机,4.65,2.88,0.13,290298.0,132966936.2,6.19,4.73,4.45,4.5,4.52,7.31,150.52,1.53
11,12,002929,润建股份,24.8,2.78,0.67,37133.0,90694949.61,5.14,25.1,23.86,24.15,24.13,1.74,14.81,1.13
12,13,002184,海得控制,8.17,2.64,0.21,22582.0,18218098.0,3.64,8.21,7.92,8.0,7.96,0.94,-174.57,2.09
13,14,002576,通达动力,11.54,2.58,0.29,33075.0,37902426.4,3.02,11.61,11.27,11.43,11.25,2.04,29.6,1.56
14,15,600818,中路股份,12.91,2.46,0.31,111531.0,142793347.0,4.21,13.06,12.53,12.74,12.6,4.69,834.47,6.79
15,16,300414,中光防雷,6.59,2.17,0.14,46311.0,30156582.0,3.57,6.61,6.38,6.42,6.45,1.48,424.38,2.2
16,17,001239,永达股份,14.6,2.03,0.29,48673.0,70419192.3,3.14,14.67,14.22,14.27,14.31,9.97,54.35,2.79
17,18,301596,瑞迪智驱,61.83,2.01,1.22,9852.0,60227355.0,3.25,62.07,60.1,60.47,60.61,7.15,33.76,4.37
18,19,002487,大金重工,19.16,1.97,0.37,84716.0,160925599.34,3.83,19.33,18.61,18.81,18.79,1.34,35.14,1.75
19,20,300828,锐新科技,11.7,1.83,0.21,30043.0,34548247.0,5.22,11.72,11.12,11.48,11.49,2.41,36.65,2.52
20,21,002669,康达新材,8.04,1.77,0.14,83422.0,67149162.0,6.33,8.32,7.82,7.82,7.9,2.77,-21.58,0.84
21,22,300040,九洲集团,5.21,1.76,0.09,184364.0,95239917.0,2.54,5.23,5.1,5.16,5.12,4.0,19.12,1.06
22,23,600072,中船科技,12.58,1.7,0.21,327985.0,412051530.0,4.85,12.85,12.25,12.6,12.37,3.03,-115.96,1.76
23,24,301040,中环海陆,10.83,1.69,0.18,22466.0,24177751.0,3.94,10.92,10.5,10.65,10.65,2.92,-14.69,1.19
