,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300766,每日互动,13.75,19.98,2.29,0.0,16.55,7.25,18.59,7.90亿,3.62亿,49.81亿,--
1,2,688318,财富趋势,126.6,1.31,1.64,0.08,2.84,0.8,3.67,4.68亿,1.31亿,165.43亿,82.40
2,3,300033,同花顺,122.33,0.62,0.75,0.0,2.79,1.0,3.25,9.40亿,2.73亿,334.56亿,158.29
3,4,603515,欧普照明,20.18,3.65,0.71,0.0,0.6,0.83,6.27,0.89亿,7.39亿,149.14亿,31.15
4,5,000521,长虹美菱,11.3,5.41,0.58,-0.18,4.12,1.23,10.26,4.02亿,8.75亿,98.91亿,18.71
5,6,300467,迅游科技,14.43,3.22,0.45,0.14,6.39,2.06,8.73,1.51亿,1.65亿,23.78亿,67.79
6,7,300941,创识科技,18.34,2.0,0.36,0.0,6.82,1.35,7.34,1.51亿,1.21亿,22.26亿,62.96
7,8,300768,迪普科技,13.22,1.69,0.22,0.0,3.24,0.87,5.0,1.79亿,4.21亿,55.61亿,58.00
8,9,000560,我爱我家,2.2,10.0,0.2,0.0,12.3,1.42,11.0,5.87亿,22.49亿,49.48亿,51.05
9,10,603232,格尔软件,13.92,1.02,0.14,0.0,13.48,0.71,4.28,4.40亿,2.33亿,32.48亿,--
10,11,603716,塞力医疗,7.98,1.66,0.13,-0.13,9.95,1.7,5.86,1.61亿,2.01亿,16.07亿,127.23
11,12,002818,富森美,14.49,0.83,0.12,0.0,0.83,0.84,1.46,0.36亿,2.98亿,43.22亿,14.47
12,13,605259,绿田机械,22.96,0.44,0.1,0.0,1.28,0.46,1.88,0.16亿,0.54亿,12.33亿,19.26
13,14,002615,哈尔斯,7.62,1.2,0.09,0.13,4.64,0.86,4.25,1.08亿,3.04亿,23.16亿,28.22
14,15,601360,三六零,8.9,0.79,0.07,-0.11,2.16,0.7,3.17,13.84亿,71.45亿,635.94亿,--
15,16,000997,新大陆,16.48,0.36,0.06,-0.18,1.17,0.55,1.83,1.96亿,10.26亿,169.14亿,17.11
16,17,001322,箭牌家居,9.42,0.64,0.06,-0.11,2.9,1.63,3.31,0.45亿,1.66亿,15.60亿,--
17,18,300352,北信源,4.53,0.67,0.03,-0.22,2.87,1.21,3.56,1.60亿,12.19亿,55.24亿,559.84
18,19,603160,汇顶科技,61.92,0.03,0.02,-0.16,0.92,0.83,1.96,2.62亿,4.58亿,283.60亿,43.66
19,20,605365,立达信,18.32,0.11,0.02,-0.27,4.02,0.75,2.29,0.44亿,0.59亿,10.86亿,33.56
20,21,300287,飞利信,2.68,0.38,0.01,0.0,3.94,1.86,8.61,1.37亿,12.92亿,34.63亿,--
21,22,300290,荣科科技,8.15,0.12,0.01,-0.25,6.96,0.81,4.55,3.67亿,6.40亿,52.14亿,--
22,23,301382,蜂助手,28.05,0.04,0.01,0.18,7.51,1.37,6.03,0.80亿,0.38亿,10.70亿,36.58
23,24,002195,岩山科技,2.89,-0.69,-0.02,0.0,1.09,0.7,2.06,1.78亿,56.56亿,163.47亿,52.85
24,25,002517,恺英网络,11.68,-0.17,-0.02,0.0,1.61,0.66,2.48,3.58亿,19.07亿,222.79亿,14.75
25,26,002421,达实智能,2.73,-1.44,-0.04,0.0,1.04,0.8,2.89,0.57亿,19.97亿,54.52亿,377.33
26,27,603600,永艺股份,12.11,-0.33,-0.04,-0.08,0.81,0.62,2.88,0.30亿,3.03亿,36.63亿,23.61
27,28,300459,汤姆猫,3.78,-1.31,-0.05,0.0,2.57,0.9,3.92,2.99亿,30.61亿,115.72亿,53.48
28,29,601519,大智慧,6.5,-0.76,-0.05,0.0,0.8,0.69,2.44,1.04亿,20.04亿,130.25亿,--
29,30,002614,奥佳华,6.95,-0.86,-0.06,0.14,1.64,0.65,1.57,0.50亿,4.41亿,30.65亿,216.79
30,31,002139,拓邦股份,10.34,-0.67,-0.07,0.1,1.52,0.62,2.11,1.68亿,10.71亿,110.78亿,18.35
31,32,002178,延华智能,4.22,-1.63,-0.07,0.0,2.07,0.74,3.03,0.62亿,7.12亿,30.04亿,--
32,33,300043,星辉娱乐,2.51,-2.71,-0.07,-0.79,1.95,0.72,4.26,0.61亿,12.44亿,31.21亿,--
33,34,603313,梦百合,8.58,-0.92,-0.08,-0.12,4.33,2.86,3.35,2.11亿,5.71亿,48.96亿,61.74
34,35,603610,麒盛科技,12.64,-0.71,-0.09,0.08,1.65,0.77,3.54,0.75亿,3.58亿,45.31亿,25.21
35,36,605299,舒华体育,9.55,-0.93,-0.09,0.0,0.69,0.48,2.59,0.27亿,4.10亿,39.18亿,73.83
36,37,002369,卓翼科技,4.11,-2.38,-0.1,0.0,1.91,0.88,3.56,0.45亿,5.66亿,23.25亿,--
37,38,002530,金财互联,7.27,-1.36,-0.1,-0.14,0.73,0.6,2.85,0.36亿,6.80亿,49.46亿,588.33
38,39,300333,兆日科技,4.69,-2.09,-0.1,0.21,2.21,1.0,4.38,0.35亿,3.34亿,15.68亿,--
39,40,000829,天音控股,8.17,-1.33,-0.11,-0.12,1.99,1.24,5.43,1.69亿,10.24亿,83.67亿,131.43
40,41,002093,国脉科技,6.76,-1.6,-0.11,0.0,0.7,0.89,2.62,0.48亿,10.07亿,68.06亿,29.03
41,42,300380,安硕信息,16.82,-0.65,-0.11,0.12,2.87,0.67,4.08,0.62亿,1.27亿,21.43亿,226.07
42,43,000158,常山北明,7.06,-1.67,-0.12,0.0,1.58,0.64,1.95,1.77亿,15.84亿,111.85亿,--
43,44,000676,智度股份,6.45,-1.83,-0.12,-0.31,2.44,0.77,3.65,2.02亿,12.75亿,82.24亿,37.27
44,45,002212,天融信,5.89,-2.0,-0.12,-0.17,2.42,1.08,5.16,1.69亿,11.67亿,68.76亿,--
45,46,002512,达华智能,4.3,-2.71,-0.12,0.0,3.84,0.7,4.3,1.75亿,10.48亿,45.08亿,807.44
46,47,300663,科蓝软件,10.31,-1.15,-0.12,-0.19,2.54,1.11,4.41,1.10亿,4.15亿,42.77亿,--
47,48,300232,洲明科技,5.46,-2.33,-0.13,0.18,2.04,1.1,3.58,0.99亿,8.88亿,48.50亿,76.88
48,49,300830,金现代,6.05,-2.1,-0.13,0.33,1.39,0.68,4.04,0.26亿,3.10亿,18.77亿,--
49,50,603528,多伦科技,6.64,-1.92,-0.13,0.15,1.62,0.72,3.1,0.76亿,7.06亿,46.87亿,231.10
50,51,002624,完美世界,9.91,-1.39,-0.14,0.0,1.33,0.72,2.59,2.43亿,18.27亿,181.09亿,--
51,52,300166,东方国信,7.1,-1.93,-0.14,0.0,1.83,0.97,4.01,1.20亿,9.19亿,65.27亿,489.61
52,53,600636,国新文化,9.1,-1.51,-0.14,-0.11,1.38,0.87,3.14,0.55亿,4.39亿,39.92亿,--
53,54,300168,万达信息,5.71,-2.56,-0.15,0.18,0.78,0.95,3.92,0.61亿,13.62亿,77.75亿,--
54,55,300674,宇信科技,12.43,-1.27,-0.16,0.0,1.23,0.69,3.18,1.08亿,7.03亿,87.43亿,68.13
55,56,300961,深水海纳,8.95,-1.76,-0.16,0.0,0.91,0.6,2.74,0.13亿,1.59亿,14.21亿,512.30
56,57,600570,恒生电子,21.09,-0.75,-0.16,0.0,1.13,0.48,2.63,4.51亿,18.94亿,399.48亿,--
