,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601020,华钰矿业,10.68,2.59,0.27,302767,320540136.0,5.0,10.84,10.32,10.47,10.41,3.69,40.09,2.69
1,2,000603,盛达资源,9.96,1.63,0.16,54659,53900565.0,3.06,10.01,9.71,9.81,9.8,0.86,41.65,2.17
2,3,600128,苏豪弘业,6.57,1.39,0.09,49212,32135456.0,3.09,6.64,6.44,6.5,6.48,1.99,41.53,0.77
3,4,001337,四川黄金,21.19,1.39,0.29,20592,43084552.82,2.68,21.25,20.69,20.91,20.9,0.71,31.65,6.35
4,5,600824,益民集团,3.12,1.3,0.04,128005,39966797.0,3.25,3.18,3.08,3.13,3.08,1.21,38.5,1.36
5,6,002552,宝鼎科技,10.56,1.25,0.13,13018,13626557.99,2.3,10.59,10.35,10.48,10.43,0.41,21.3,2.26
6,7,002721,ST金一,2.5,1.21,0.03,51687,13064407.55,5.26,2.58,2.45,2.45,2.47,0.19,-895.73,3.26
7,8,002715,登云股份,9.7,1.04,0.1,14587,14041346.0,2.4,9.74,9.51,9.65,9.6,1.06,77.28,3.15
8,9,000975,山金国际,15.57,1.04,0.16,164318,253903441.0,2.01,15.59,15.28,15.46,15.41,0.66,20.11,3.64
9,10,600711,ST盛屯,3.53,0.86,0.03,373488,130758078.0,2.0,3.54,3.47,3.52,3.5,1.2,4.93,0.74
10,11,002155,湖南黄金,14.83,0.82,0.12,133429,196291519.01,2.38,14.88,14.53,14.8,14.71,1.11,20.35,2.74
11,12,002716,湖南白银,2.74,0.74,0.02,171055,46725556.0,3.68,2.78,2.68,2.74,2.72,0.77,66.54,2.43
12,13,603045,福达合金,9.63,0.73,0.07,21258,20358276.0,2.72,9.75,9.49,9.58,9.56,1.57,17.85,1.36
13,14,601069,西部黄金,10.41,0.68,0.07,38609,39819856.0,2.32,10.42,10.18,10.37,10.34,0.56,72.14,2.14
14,15,000025,特  力Ａ,13.93,0.58,0.08,35402,49304306.4,3.18,14.14,13.7,13.98,13.85,0.9,39.16,3.6
15,16,600531,豫光金铅,5.43,0.56,0.03,125255,67443763.0,2.41,5.45,5.32,5.42,5.4,1.15,7.03,1.17
16,17,600857,宁波中百,5.44,0.55,0.03,19590,10619542.0,2.77,5.49,5.34,5.41,5.41,0.87,-32.57,1.5
17,18,600170,上海建工,1.94,0.52,0.01,605926,116547502.0,1.55,1.94,1.91,1.93,1.93,0.68,10.43,0.57
18,19,000060,中金岭南,3.99,0.5,0.02,234449,92784798.28,2.27,4.0,3.91,3.99,3.97,0.63,13.76,1.13
19,20,601899,紫金矿业,14.22,0.49,0.07,1095015,1553971993.0,1.98,14.35,14.07,14.27,14.15,0.53,12.53,3.03
20,21,603900,莱绅通灵,4.89,0.41,0.02,101812,49581224.0,3.08,4.96,4.81,4.86,4.87,2.99,-22.64,0.82
21,22,002867,周大生,10.52,0.38,0.04,83309,86586464.95,3.15,10.56,10.23,10.48,10.48,0.77,9.58,1.84
22,23,000878,云南铜业,10.69,0.38,0.04,162014,171844611.6,2.25,10.73,10.49,10.67,10.65,0.81,10.11,1.49
23,24,601028,玉龙股份,12.04,0.33,0.04,86826,104098726.0,2.83,12.15,11.81,12.1,12.0,1.11,19.77,2.76
24,25,300139,晓程科技,12.02,0.25,0.03,171716,205128957.0,3.34,12.12,11.72,12.0,11.99,7.35,83.1,3.42
25,26,300945,曼卡龙,8.16,0.25,0.02,35943,29132684.0,2.7,8.2,7.98,8.14,8.14,1.51,18.84,1.36
26,27,000688,国城矿业,8.95,0.22,0.02,24525,21741748.0,3.36,9.03,8.73,8.97,8.93,0.22,116.34,3.46
27,28,605599,菜百股份,9.98,0.2,0.02,18247,18131294.0,1.71,10.03,9.86,10.0,9.96,0.23,9.71,2.12
28,29,603993,洛阳钼业,6.72,0.15,0.01,692027,462778074.0,2.38,6.79,6.63,6.76,6.71,0.39,13.4,2.38
29,30,002731,萃华珠宝,7.43,0.13,0.01,12886,9552590.0,1.89,7.48,7.34,7.42,7.42,0.56,11.55,1.19
30,31,600988,赤峰黄金,16.79,0.12,0.02,196095,326576384.0,2.39,16.9,16.5,16.86,16.77,1.18,19.66,4.1
31,32,002237,恒邦股份,9.0,0.11,0.01,84466,75385020.63,3.0,9.09,8.82,9.0,8.99,0.93,17.31,1.15
32,33,600489,中金黄金,12.28,0.08,0.01,402643,492583848.0,2.04,12.36,12.11,12.31,12.27,0.83,17.08,2.32
33,34,600987,航民股份,6.6,0.0,0.0,43764,28453239.0,3.03,6.63,6.43,6.63,6.6,0.42,11.63,1.13
34,35,002574,明牌珠宝,4.0,0.0,0.0,28258,11262574.98,2.5,4.04,3.94,4.01,4.0,0.54,74.4,0.68
