,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,煤炭行业,BK0437,11115.28,571.54,5.42,2009545904000,1.94,34,0,新集能源,9.96
1,2,风电设备,BK1032,956.07,47.66,5.25,282842992000,4.04,25,3,宏德股份,20.0
2,3,船舶制造,BK0729,851.36,32.5,3.97,444187296000,3.15,9,1,天海防务,11.48
3,4,工程建设,BK0425,18867.26,713.58,3.93,1508702432000,2.92,60,8,中粮科工,19.98
4,5,工程咨询服务,BK0726,633.03,21.87,3.58,171092688000,7.31,37,6,中公高科,10.0
5,6,专业服务,BK1043,1078.84,36.75,3.53,195770285000,3.39,29,7,中纺标,29.99
6,7,航运港口,BK0450,9451.53,305.89,3.34,1072913840000,1.17,34,0,兴通股份,10.03
7,8,银行,BK0475,3564.32,115.22,3.34,12639164160000,0.63,41,1,江苏银行,6.56
8,9,交运设备,BK0429,8539.48,219.61,2.64,681751360000,2.55,42,8,鼎汉技术,17.97
9,10,采掘行业,BK1017,1098.85,26.91,2.51,307265728000,1.92,18,1,通源石油,8.88
10,11,农牧饲渔,BK0433,11435.13,273.0,2.45,927514608000,3.38,74,11,神农集团,10.0
11,12,物流行业,BK0422,5836.73,114.64,2.0,1115746704000,1.27,51,5,天顺股份,10.03
12,13,汽车服务,BK1016,776.79,13.45,1.76,63272656000,3.29,9,3,中汽股份,14.12
13,14,公用事业,BK0427,7622.15,131.68,1.76,185982468000,2.78,21,3,武汉控股,5.74
14,15,燃气,BK1028,1393.21,23.41,1.71,279449952000,1.8,28,4,首华燃气,6.39
15,16,电力行业,BK0428,15269.53,224.21,1.49,3132055872000,1.52,73,7,中国核电,5.42
16,17,旅游酒店,BK0485,13378.93,195.0,1.48,356042896000,3.64,32,5,西域旅游,6.55
17,18,环保行业,BK0728,359.31,5.23,1.48,564950896000,4.81,88,28,深水海纳,20.02
18,19,装修装饰,BK0725,390.57,5.48,1.42,107060457000,2.48,25,14,中天精装,10.02
19,20,中药,BK1040,1372.92,18.46,1.36,956811936000,2.7,57,14,奇正藏药,9.99
20,21,工程机械,BK0739,1286.72,15.97,1.26,616602640000,2.29,23,8,运机集团,5.17
21,22,商业百货,BK0482,12681.44,151.87,1.21,425343056000,3.26,47,13,国芳集团,10.02
22,23,汽车整车,BK1029,1463.93,17.25,1.19,2112257504000,2.55,17,8,力帆科技,10.1
23,24,石油行业,BK0464,4891.14,57.52,1.19,4020147104000,0.45,16,5,中晟高科,5.64
24,25,钢铁行业,BK0479,6615.33,71.83,1.1,840905648000,1.68,37,12,盛德鑫泰,9.71
25,26,贵金属,BK0732,1019.24,10.58,1.05,805171120000,2.01,9,3,晓程科技,3.86
26,27,水泥建材,BK0424,20893.35,210.52,1.02,342110000000,2.96,22,6,西部建设,9.97
27,28,铁路公路,BK0421,7938.26,79.8,1.02,413745088000,2.87,22,5,四川成渝,3.62
28,29,家用轻工,BK0440,31515.95,313.69,1.01,256292322000,2.58,26,7,瑞贝卡,10.16
29,30,包装材料,BK0733,830.54,7.48,0.91,114646388000,2.62,21,4,海顺新材,4.72
30,31,造纸印刷,BK0470,7760.71,67.84,0.88,229353644000,2.85,27,9,岳阳林纸,10.0
31,32,化纤行业,BK0471,11514.34,98.44,0.86,434696720000,1.48,19,8,南京化纤,10.0
32,33,家电行业,BK0456,16932.87,144.42,0.86,1945285136000,2.86,61,29,北鼎股份,8.37
33,34,航空机场,BK0420,4477.36,36.6,0.82,657130592000,1.18,11,1,华夏航空,3.63
34,35,有色金属,BK0478,14562.7,118.82,0.82,1053045328000,2.83,47,22,深圳新星,10.01
35,36,电网设备,BK0457,22215.24,168.32,0.76,1232218640000,3.32,86,42,红相股份,20.0
36,37,食品饮料,BK0438,21759.79,161.88,0.75,1629429904000,2.49,88,32,益客食品,7.85
37,38,塑料制品,BK0454,10524.84,77.82,0.74,332419216000,4.89,55,30,天龙股份,9.99
38,39,保险,BK0474,1432.39,10.52,0.74,3171195104000,1.26,4,2,新华保险,5.57
39,40,纺织服装,BK0436,8982.98,61.18,0.69,483318416000,2.78,66,28,万里马,13.12
40,41,装修建材,BK0476,10834.23,73.77,0.69,410946736000,3.71,46,21,友邦吊顶,10.04
41,42,电源设备,BK1034,1484.2,10.0,0.68,277067968000,2.08,16,13,中远通,20.01
42,43,医药商业,BK1042,943.82,6.2,0.66,329603408000,2.55,24,7,泰恩康,4.39
43,44,农药兽药,BK0730,856.77,4.73,0.56,244672023000,2.08,27,19,中农联合,10.0
44,45,珠宝首饰,BK0734,345.37,1.83,0.53,141627268000,1.74,13,4,中国黄金,2.75
45,46,小金属,BK1027,1605.85,8.45,0.53,612957424000,2.29,25,12,中科磁业,5.97
