,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603273,天元智能,16.58,10.02,1.51,40556,64929183.0,10.68,16.58,14.97,15.03,15.07,7.57,76.43,4.02
1,2,002816,和科达,8.15,9.99,0.74,1411,1150339.9,0.0,8.15,8.15,8.15,7.41,0.14,-18.02,3.22
2,3,300802,矩子科技,13.87,8.19,1.05,110599,158634145.18,11.08,15.02,13.6,14.0,12.82,5.68,44.1,2.47
3,4,002786,银宝山新,8.18,5.41,0.42,1195946,962716925.28,11.21,8.54,7.67,8.05,7.76,24.2,-28.27,9.52
4,5,600520,文一科技,18.35,4.92,0.86,261481,467344441.0,12.69,19.01,16.79,17.4,17.49,16.5,180.93,7.99
5,6,300411,金盾股份,10.3,4.67,0.46,318563,327930707.4,7.22,10.58,9.87,9.87,9.84,10.4,162.69,4.42
6,7,300293,蓝英装备,15.94,4.52,0.69,359850,564338736.65,11.21,16.5,14.79,14.79,15.25,12.84,-2191.16,6.0
7,8,300382,斯莱克,6.64,4.4,0.28,464697,303151215.25,10.69,6.78,6.1,6.34,6.36,7.4,118.38,1.94
8,9,300818,耐普矿机,21.6,4.2,0.87,25014,53945061.27,9.41,22.62,20.67,20.67,20.73,2.66,19.62,2.38
9,10,688698,伟创电气,24.3,3.23,0.76,16500,39495352.0,4.59,24.45,23.37,23.78,23.54,0.78,19.11,2.52
10,11,600302,标准股份,3.69,3.07,0.11,66758,24441820.0,4.19,3.71,3.56,3.57,3.58,1.93,-23.36,1.65
11,12,301360,荣旗科技,44.73,3.06,1.33,18991,83478142.01,5.35,44.82,42.5,43.4,43.4,7.69,85.71,2.08
12,13,000856,冀东装备,6.07,3.06,0.18,57910,34821261.18,3.23,6.08,5.89,5.96,5.89,2.55,38.87,3.26
13,14,002837,英维克,20.08,2.92,0.57,97727,193440101.96,4.82,20.25,19.31,19.6,19.51,1.52,40.47,5.74
14,15,300048,合康新能,4.29,2.88,0.12,47935,20264268.6,3.6,4.31,4.16,4.22,4.17,0.43,280.11,2.8
15,16,300281,金明精机,4.65,2.88,0.13,290298,132966936.2,6.19,4.73,4.45,4.5,4.52,7.31,150.52,1.53
16,17,001332,锡装股份,26.69,2.81,0.73,18708,49503707.0,3.66,26.8,25.85,26.0,25.96,6.93,11.49,1.26
17,18,300276,三丰智能,3.42,2.7,0.09,158147,53231773.8,3.6,3.43,3.31,3.34,3.33,1.55,262.42,2.49
18,19,002184,海得控制,8.17,2.64,0.21,22582,18218098.0,3.64,8.21,7.92,8.0,7.96,0.94,-174.57,2.09
19,20,002337,赛象科技,3.93,2.61,0.1,71172,27600579.0,3.13,3.94,3.82,3.83,3.83,1.21,36.36,1.84
20,21,301018,申菱环境,18.92,2.6,0.48,27698,51171805.0,5.1,18.95,18.01,18.54,18.44,1.39,22.75,1.99
21,22,002021,中捷资源,1.58,2.6,0.04,257543,40169915.25,2.6,1.58,1.54,1.54,1.54,2.14,53.43,3.0
22,23,300400,劲拓股份,12.67,2.59,0.32,150180,186552973.0,7.13,12.86,11.98,12.31,12.35,6.25,42.93,4.09
23,24,301013,利和兴,10.31,2.49,0.25,98893,100215289.0,5.37,10.39,9.85,10.04,10.06,5.23,89.61,2.83
24,25,002833,弘亚数控,14.63,2.45,0.35,27278,39400777.51,3.64,14.76,14.24,14.32,14.28,1.1,10.3,2.38
25,26,301158,德石股份,11.57,2.39,0.27,13004,14896357.0,3.01,11.59,11.25,11.36,11.3,1.62,24.89,1.37
26,27,301030,仕净科技,23.73,2.28,0.53,52579,123321234.3,2.8,23.75,23.1,23.21,23.2,3.09,18.48,2.45
27,28,600545,卓郎智能,1.36,2.26,0.03,147123,19724303.0,3.01,1.36,1.32,1.34,1.33,0.82,-16.65,0.77
28,29,002535,林州重机,3.2,2.24,0.07,119420,37805864.6,2.88,3.21,3.12,3.13,3.13,1.6,13.32,4.02
29,30,603280,南方路机,19.03,2.2,0.41,10761,20285688.0,4.3,19.23,18.43,18.6,18.62,3.85,15.07,1.6
30,31,300099,尤洛卡,4.71,2.17,0.1,83748,38794395.07,3.69,4.72,4.55,4.61,4.61,1.44,50.12,1.47
31,32,603912,佳力图,5.72,2.14,0.12,47523,26821087.0,3.39,5.74,5.55,5.6,5.6,0.88,142.02,1.71
32,33,300833,浩洋股份,36.77,2.14,0.77,6176,22520930.36,3.22,36.92,35.76,36.0,36.0,0.76,11.46,2.0
33,34,300480,光力科技,11.99,2.13,0.25,27488,32372223.52,3.66,12.02,11.59,11.77,11.74,1.16,-32.75,3.18
34,35,300415,伊之密,17.33,2.12,0.36,45274,77958936.63,3.71,17.55,16.92,16.92,16.97,1.01,13.57,3.05
35,36,601798,蓝科高新,4.97,2.05,0.1,153383,76646837.0,6.57,5.19,4.87,5.02,4.87,4.33,-90.94,1.34
36,37,001239,永达股份,14.6,2.03,0.29,48673,70419192.3,3.14,14.67,14.22,14.27,14.31,9.97,54.35,2.79
37,38,603960,克来机电,17.4,1.99,0.34,74141,127131614.0,4.1,17.49,16.79,17.0,17.06,2.83,92.29,4.22
38,39,603015,弘讯科技,6.67,1.99,0.13,36464,23947940.0,3.52,6.69,6.46,6.59,6.54,0.9,37.5,2.03
39,40,688419,耐科装备,22.88,1.96,0.44,5524,12510356.0,3.3,23.09,22.35,22.46,22.44,2.58,28.33,1.92
40,41,301312,智立方,38.15,1.95,0.73,20776,78117943.57,4.97,38.5,36.64,37.2,37.42,8.05,78.25,2.9
41,42,301533,威马农机,23.01,1.95,0.44,5611,12793312.0,2.39,23.07,22.53,22.73,22.57,2.02,30.16,2.07
