,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600816,建元信托,2.88,9.92,0.26,0.0,0.5,1.39,9.92,0.74亿,53.25亿,153.36亿,618.33
1,2,600053,九鼎投资,16.21,4.38,0.68,0.0,2.62,1.66,5.54,1.82亿,4.34亿,70.28亿,283.31
2,3,002961,瑞达期货,12.43,3.5,0.42,0.08,0.74,0.9,3.5,0.41亿,4.45亿,55.32亿,22.69
3,4,001236,弘业期货,9.56,3.35,0.31,0.42,1.14,0.77,3.46,0.35亿,3.26亿,31.21亿,1236.52
4,5,603093,南华期货,10.58,2.62,0.27,0.1,0.68,1.05,3.1,0.44亿,6.10亿,64.55亿,16.06
5,6,000567,海德股份,9.04,2.61,0.23,-0.11,0.33,0.94,3.18,0.40亿,13.45亿,121.57亿,11.88
6,7,002647,仁东控股,4.83,2.33,0.11,0.21,1.33,0.61,2.97,0.36亿,5.60亿,27.04亿,--
7,8,600830,香溢融通,6.61,2.32,0.15,0.0,1.79,0.9,3.25,0.53亿,4.54亿,30.03亿,135.29
8,9,600318,新力金融,6.76,2.12,0.14,0.0,2.94,0.79,2.27,1.01亿,5.13亿,34.66亿,121.63
9,10,603123,翠微股份,7.98,1.92,0.15,0.0,1.02,0.76,2.04,0.53亿,6.52亿,52.05亿,--
10,11,600783,鲁信创投,11.26,1.62,0.18,0.0,0.21,0.56,1.9,0.17亿,7.44亿,83.81亿,213.77
11,12,000532,华金资本,10.95,1.58,0.17,0.0,1.23,0.71,2.13,0.46亿,3.44亿,37.62亿,51.01
12,13,600643,爱建集团,4.45,1.37,0.06,-0.22,0.42,0.87,1.82,0.30亿,16.19亿,72.05亿,11.40
13,14,600927,永安期货,13.48,1.35,0.18,-0.07,0.49,0.91,1.5,0.35亿,5.28亿,71.11亿,26.32
14,15,600517,国网英大,4.82,1.26,0.06,0.0,0.22,1.19,2.1,0.61亿,57.18亿,275.63亿,17.97
15,16,000987,越秀资本,5.64,1.26,0.07,0.18,0.27,0.71,1.44,0.77亿,50.15亿,282.85亿,11.77
16,17,000958,电投产融,3.87,1.04,0.04,0.26,0.2,0.89,1.83,0.41亿,53.83亿,208.34亿,21.80
17,18,000563,陕国投A,3.02,1.0,0.03,-0.33,0.71,1.01,1.67,1.09亿,51.14亿,154.44亿,14.27
18,19,600901,江苏金租,5.08,0.99,0.05,0.0,0.94,1.09,2.19,2.01亿,42.37亿,215.25亿,7.93
19,20,002316,亚联发展,4.15,0.97,0.04,0.0,2.94,0.61,2.43,0.38亿,3.15亿,13.07亿,--
20,21,300773,拉卡拉,13.53,0.67,0.09,0.07,0.69,0.71,2.01,0.68亿,7.34亿,99.36亿,13.06
21,22,600390,五矿资本,4.78,0.63,0.03,0.0,0.41,0.69,1.26,0.88亿,44.98亿,215.01亿,8.26
22,23,000415,渤海租赁,2.33,0.43,0.01,0.0,1.06,0.42,1.72,1.34亿,53.93亿,125.65亿,11.25
23,24,000627,天茂集团,2.47,0.41,0.01,0.0,0.32,0.63,1.63,0.36亿,45.52亿,112.45亿,--
24,25,600705,中航产融,3.0,0.33,0.01,0.0,0.34,0.72,1.0,0.91亿,88.04亿,264.13亿,28.74
25,26,600120,浙江东方,3.81,0.26,0.01,0.0,0.54,0.77,1.05,0.70亿,34.15亿,130.13亿,23.49
26,27,600061,国投资本,6.24,0.16,0.01,0.0,0.26,0.71,1.12,1.02亿,64.25亿,400.94亿,17.01
27,28,601319,中国人保,5.26,-0.19,-0.01,0.0,0.14,0.91,1.71,2.60亿,354.98亿,1867.18亿,10.21
28,29,002423,中粮资本,7.69,-0.26,-0.02,-0.13,1.34,1.21,2.72,2.39亿,23.04亿,177.19亿,17.38
29,30,601318,中国平安,40.11,-0.27,-0.11,-0.1,0.27,0.73,0.94,11.83亿,107.63亿,4316.90亿,8.53
30,31,000617,中油资本,5.6,-0.53,-0.03,-0.18,0.31,0.76,1.95,2.21亿,126.42亿,707.96亿,14.37
31,32,601601,中国太保,23.21,-0.56,-0.13,-0.04,0.36,0.66,1.46,5.74亿,68.45亿,1588.73亿,8.19
32,33,601336,新华保险,29.81,-0.63,-0.19,0.03,0.33,0.7,1.77,2.07亿,20.85亿,621.67亿,10.67
33,34,601628,中国人寿,27.91,-0.99,-0.28,-0.07,0.04,0.68,1.67,2.43亿,208.24亿,5811.85亿,37.37
34,35,603300,华铁应急,5.97,-0.99,-0.06,0.0,0.8,0.5,1.99,0.86亿,17.89亿,106.82亿,15.64
35,36,000416,*ST民控,0.71,-5.33,-0.04,0.0,0.6,0.08,0.0,0.02亿,5.32亿,3.77亿,49.49
