,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,605588,冠石科技,50.46,10.01,4.59,0.0,35.33,1.46,13.87,3.95亿,0.23亿,11.66亿,58.52
1,2,002808,ST恒久,3.62,4.93,0.17,0.0,3.98,2.93,5.51,0.26亿,1.86亿,6.74亿,--
2,3,603773,沃格光电,32.03,4.67,1.43,0.03,8.41,1.8,7.81,4.16亿,1.56亿,50.09亿,--
3,4,300940,南极光,17.13,3.82,0.63,-0.12,4.49,2.52,8.97,0.82亿,1.06亿,18.17亿,--
4,5,600707,彩虹股份,8.78,3.78,0.32,0.0,4.34,3.21,9.81,13.38亿,35.88亿,315.00亿,77.26
5,6,002289,ST宇顺,5.26,3.54,0.18,0.19,1.43,1.46,5.51,0.20亿,2.64亿,13.90亿,261.39
6,7,688299,长阳科技,12.38,3.08,0.37,0.0,3.85,1.48,6.41,1.36亿,2.87亿,35.51亿,37.12
7,8,002273,水晶光电,14.98,2.88,0.42,-0.07,7.4,1.08,4.74,14.97亿,13.58亿,203.41亿,34.70
8,9,301106,骏成科技,37.91,2.46,0.91,-0.13,4.07,1.04,5.08,0.32亿,0.21亿,7.90亿,35.65
9,10,000100,TCL科技,5.12,2.2,0.11,-0.2,3.59,1.29,4.39,32.91亿,180.99亿,926.64亿,44.75
10,11,301183,东田微,52.31,1.38,0.71,0.02,19.57,0.94,10.62,4.53亿,0.46亿,24.11亿,--
11,12,001308,康冠科技,26.26,1.0,0.26,-0.15,2.01,0.79,2.96,0.40亿,0.77亿,20.12亿,15.60
12,13,000725,京东方A,4.34,0.93,0.04,-0.23,1.52,1.04,3.02,24.20亿,367.61亿,1595.41亿,64.15
13,14,301045,天禄科技,22.6,0.89,0.2,0.98,13.02,2.1,8.26,1.60亿,0.55亿,12.50亿,130.91
14,15,688181,八亿时空,19.84,0.76,0.15,0.15,2.38,1.85,3.5,0.63亿,1.34亿,26.68亿,24.73
