,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002481,双塔食品,5.02,10.09,0.46,0.0,4.15,1.5,0.0,2.33亿,11.18亿,56.13亿,37.20
1,2,003030,祖名股份,19.17,9.98,1.74,0.0,3.21,2.49,9.75,0.49亿,0.81亿,15.53亿,61.61
2,3,300138,晨光生物,10.63,3.2,0.33,0.0,4.64,1.91,6.5,2.22亿,4.48亿,47.62亿,36.69
3,4,839371,欧福蛋业,4.86,2.97,0.14,0.0,11.57,2.33,8.47,0.30亿,0.53亿,2.58亿,12.93
4,5,600191,华资实业,5.46,0.92,0.05,-0.18,1.54,0.77,2.59,0.41亿,4.85亿,26.48亿,402.92
5,6,002286,保龄宝,6.91,0.88,0.06,0.0,6.92,1.22,7.59,1.82亿,3.70亿,25.54亿,27.57
6,7,001338,永顺泰,11.61,0.35,0.04,-0.09,4.34,0.91,2.51,1.19亿,2.36亿,27.39亿,17.73
7,8,000911,广农糖业,7.75,0.26,0.02,0.0,3.08,0.75,2.2,0.77亿,3.24亿,25.12亿,160.55
8,9,000930,中粮科技,6.58,-0.15,-0.01,0.0,0.65,0.54,1.52,0.79亿,18.52亿,121.87亿,123.49
9,10,600737,中粮糖业,10.44,-0.38,-0.04,0.0,1.83,0.79,2.1,4.06亿,21.39亿,223.30亿,12.68
10,11,300268,*ST佳沃,7.82,-2.25,-0.18,-0.13,0.46,0.89,3.5,0.05亿,1.34亿,10.45亿,--
