,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000504,南华生物,10.23,5.46,0.53,0.0,14.9,5.64,7.42,4.88亿,3.11亿,31.78亿,--
1,2,000710,贝瑞基因,9.29,0.22,0.02,-0.11,10.43,1.01,9.28,2.97亿,3.00亿,27.87亿,99.70
2,3,600568,ST中珠,1.66,0.0,0.0,0.0,0.59,0.76,3.01,0.16亿,16.69亿,27.71亿,--
3,4,002044,美年健康,4.63,-0.64,-0.03,0.0,1.25,0.45,1.29,2.23亿,38.72亿,179.27亿,--
4,5,300015,爱尔眼科,12.83,-1.16,-0.15,0.0,0.74,0.73,2.85,7.47亿,79.05亿,1014.21亿,33.27
5,6,300676,华大基因,42.65,-1.21,-0.52,0.24,1.33,1.17,4.19,2.37亿,4.11亿,175.26亿,355.84
6,7,002622,皓宸医疗,2.13,-1.39,-0.03,-0.47,1.55,0.53,3.7,0.28亿,8.40亿,17.89亿,--
7,8,300143,盈康生命,8.5,-1.51,-0.13,-0.12,0.79,1.13,2.55,0.43亿,6.42亿,54.58亿,52.03
8,9,301267,华厦眼科,26.26,-1.87,-0.5,-0.08,1.07,0.89,2.88,0.93亿,3.29亿,86.35亿,35.37
9,10,002219,新里程,2.49,-2.35,-0.06,-0.4,0.64,0.8,3.14,0.52亿,32.43亿,80.75亿,87.00
10,11,002172,澳洋健康,3.14,-2.48,-0.08,0.0,1.92,0.97,2.48,0.46亿,7.65亿,24.03亿,19.55
11,12,301239,普瑞眼科,50.22,-2.6,-1.34,0.0,3.32,1.1,3.34,1.19亿,0.71亿,35.55亿,110.99
12,13,600763,通策医疗,64.8,-2.62,-1.74,0.02,1.45,0.76,3.68,3.03亿,3.21亿,207.78亿,29.99
13,14,835670,数字人,10.56,-2.67,-0.29,0.0,1.79,0.7,3.32,0.13亿,0.66亿,7.01亿,346.91
14,15,300244,迪安诊断,14.69,-2.97,-0.45,0.0,3.07,0.71,3.7,2.28亿,5.03亿,73.88亿,99.36
15,16,000516,国际医学,6.03,-3.37,-0.21,-0.17,1.73,1.29,4.33,2.33亿,22.13亿,133.46亿,--
16,17,301235,华康医疗,20.26,-3.43,-0.72,0.15,4.78,0.89,4.67,0.50亿,0.51亿,10.32亿,--
17,18,603882,金域医学,37.68,-3.58,-1.4,0.08,2.98,1.39,4.61,5.24亿,4.66亿,175.46亿,--
18,19,688315,诺禾致源,15.18,-3.74,-0.59,-0.07,1.13,0.84,5.33,0.72亿,4.16亿,63.18亿,57.82
19,20,002524,光正眼科,4.29,-3.81,-0.17,0.0,1.68,0.83,4.71,0.37亿,5.08亿,21.80亿,--
20,21,301103,何氏眼科,26.95,-4.06,-1.14,-0.41,5.82,1.41,7.51,1.34亿,0.83亿,22.39亿,36.74
21,22,301060,兰卫医学,10.78,-5.93,-0.68,0.09,7.14,1.48,4.89,1.40亿,1.80亿,19.38亿,1007.16
22,23,002173,创新医疗,8.39,-6.26,-0.56,0.0,7.4,1.08,5.03,2.68亿,4.24亿,35.58亿,--
23,24,301293,三博脑科,58.0,-9.4,-6.02,0.0,6.89,1.89,7.31,5.05亿,1.24亿,71.81亿,68.70
