,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603330,天洋新材,6.62,9.97,0.6,0.0,3.84,4.74,12.13,1.06亿,4.27亿,28.24亿,--
1,2,300243,瑞丰高材,9.17,7.63,0.65,-0.11,11.61,2.76,15.85,2.07亿,1.91亿,17.49亿,26.08
2,3,603580,艾艾精工,23.87,0.93,0.22,-0.04,6.53,1.15,4.23,2.05亿,1.31亿,31.19亿,618.80
3,4,605008,长鸿高科,13.73,-0.65,-0.09,0.37,0.11,0.97,1.74,0.09亿,6.42亿,88.20亿,65.06
4,5,002108,沧州明珠,3.74,-0.8,-0.03,-0.27,0.42,0.79,2.12,0.26亿,16.48亿,61.65亿,19.32
5,6,301196,唯科科技,29.78,-0.87,-0.26,-0.07,0.54,0.67,1.7,0.06亿,0.37亿,11.13亿,25.48
6,7,300218,安利股份,14.18,-0.98,-0.14,-0.07,0.51,0.74,1.47,0.16亿,2.16亿,30.67亿,43.44
7,8,300230,永利股份,3.88,-1.52,-0.06,0.0,0.9,1.07,2.28,0.22亿,6.33亿,24.55亿,13.28
8,9,300321,同大股份,22.12,-1.56,-0.35,-0.36,1.53,0.61,3.74,0.29亿,0.85亿,18.88亿,--
9,10,301591,肯特股份,42.24,-2.18,-0.94,-0.02,4.77,0.87,2.22,0.41亿,0.20亿,8.42亿,45.04
10,11,300920,润阳科技,15.2,-2.31,-0.36,0.2,0.57,0.69,3.28,0.09亿,1.00亿,15.15亿,58.57
11,12,300180,华峰超纤,3.37,-2.6,-0.09,0.0,0.91,1.03,2.89,0.45亿,14.75亿,49.70亿,--
12,13,688087,英科再生,26.11,-2.68,-0.72,0.04,0.51,0.63,2.91,0.14亿,1.02亿,26.73亿,26.19
13,14,603991,至正股份,34.7,-2.8,-1.0,0.0,0.76,0.67,4.23,0.20亿,0.75亿,25.86亿,--
14,15,300717,华信新材,13.18,-2.95,-0.4,0.08,0.73,0.85,3.61,0.10亿,1.02亿,13.42亿,33.95
15,16,300539,横河精密,8.68,-3.12,-0.28,0.0,0.97,0.76,4.46,0.15亿,1.71亿,14.85亿,56.91
16,17,002825,纳尔股份,7.29,-3.19,-0.24,-0.14,1.13,1.05,2.92,0.22亿,2.63亿,19.20亿,32.65
17,18,301019,宁波色母,18.93,-3.96,-0.78,-0.05,1.38,1.49,3.96,0.15亿,0.58亿,11.05亿,22.28
18,19,300980,祥源新材,18.6,-4.07,-0.79,-0.11,1.61,0.84,4.13,0.15亿,0.51亿,9.49亿,45.85
