,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603038,华立股份,10.5,2.24,0.23,0.0,1.01,1.02,2.82,0.22亿,2.07亿,21.70亿,196.84
1,2,605318,法狮龙,13.55,1.65,0.22,0.07,0.56,0.73,1.65,0.10亿,1.29亿,17.50亿,252.59
2,3,001296,长江材料,15.95,0.95,0.15,0.0,3.61,1.17,1.83,0.30亿,0.53亿,8.41亿,21.22
3,4,301429,森泰股份,16.56,0.79,0.13,-0.12,6.63,0.49,2.86,0.48亿,0.44亿,7.29亿,22.22
4,5,000055,方大集团,3.91,0.77,0.03,0.26,0.57,0.9,2.06,0.15亿,6.76亿,26.43亿,20.39
5,6,002247,聚力文化,1.4,0.72,0.01,0.72,1.91,0.44,2.88,0.17亿,6.44亿,9.01亿,--
6,7,002718,友邦吊顶,11.98,0.42,0.05,0.0,0.81,0.48,2.6,0.06亿,0.65亿,7.81亿,247.85
7,8,300715,凯伦股份,8.54,0.23,0.02,-0.12,0.32,0.57,2.11,0.08亿,2.80亿,23.88亿,104.42
8,9,603378,亚士创能,5.54,0.0,0.0,0.18,1.14,0.61,1.8,0.27亿,4.29亿,23.74亿,--
9,10,002652,扬子新材,2.28,0.0,0.0,0.0,2.34,0.83,4.83,0.27亿,5.12亿,11.67亿,--
10,11,002333,罗普斯金,5.97,-0.17,-0.01,0.0,0.6,0.69,1.67,0.18亿,5.03亿,30.00亿,51.58
11,12,002271,东方雨虹,14.75,-0.2,-0.03,-0.14,1.93,0.77,1.9,5.72亿,19.96亿,294.36亿,26.71
12,13,002398,垒知集团,4.13,-0.24,-0.01,0.0,0.83,0.91,1.45,0.20亿,5.91亿,24.42亿,17.59
13,14,001212,中旗新材,25.76,-0.46,-0.12,0.04,1.67,1.04,2.01,0.24亿,0.55亿,14.12亿,52.26
14,15,002791,坚朗五金,38.02,-0.6,-0.23,0.0,2.51,0.77,3.06,1.58亿,1.64亿,62.47亿,--
15,16,000619,海螺新材,4.81,-1.03,-0.05,-0.21,0.99,0.92,2.47,0.17亿,3.60亿,17.32亿,--
16,17,002785,万里石,24.2,-1.06,-0.26,0.04,1.25,1.15,3.35,0.51亿,1.68亿,40.62亿,315.08
17,18,000786,北新建材,32.32,-1.13,-0.37,0.12,0.53,1.03,2.17,2.78亿,16.32亿,527.61亿,16.61
18,19,002043,兔宝宝,11.15,-1.33,-0.15,-0.09,1.28,0.73,2.65,1.05亿,7.34亿,81.80亿,26.42
19,20,300374,中铁装配,15.03,-1.83,-0.28,0.0,5.01,0.78,3.0,1.43亿,1.89亿,28.45亿,--
20,21,603737,三棵树,43.24,-1.97,-0.87,-0.12,1.33,1.32,3.27,3.05亿,5.27亿,227.88亿,121.0
21,22,300737,科顺股份,5.21,-2.25,-0.12,0.19,1.85,0.77,3.38,0.87亿,9.00亿,46.90亿,29.08
22,23,301010,晶雪节能,12.84,-2.36,-0.31,0.23,5.42,1.33,4.94,0.35亿,0.51亿,6.50亿,81.56
23,24,300234,开尔新材,4.49,-3.65,-0.17,0.22,4.59,2.26,4.51,0.71亿,3.44亿,15.45亿,50.89
