,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603073,彩蝶实业,17.53,2.04,0.35,0.0,5.53,1.33,6.52,0.36亿,0.37亿,6.56亿,18.45
1,2,300979,华利集团,63.98,1.01,0.64,-0.03,0.85,1.44,3.13,0.79亿,1.46亿,93.46亿,23.34
2,3,002404,嘉欣丝绸,5.57,0.36,0.02,0.0,1.64,1.92,2.88,0.42亿,4.61亿,25.67亿,14.84
3,4,603889,新澳股份,6.7,-0.15,-0.01,-0.3,0.34,1.09,2.98,0.17亿,7.16亿,48.00亿,10.46
4,5,603130,云中马,19.94,-0.35,-0.07,0.0,1.51,2.27,2.7,0.16亿,0.54亿,10.68亿,23.03
5,6,603055,台华新材,10.17,-0.39,-0.04,-0.1,0.48,0.95,2.15,0.44亿,8.88亿,90.27亿,20.16
6,7,300577,开润股份,18.25,-1.08,-0.2,-0.11,0.59,0.47,3.36,0.15亿,1.40亿,25.56亿,27.10
7,8,600527,江南高纤,1.73,-1.14,-0.02,0.58,0.47,1.23,2.29,0.14亿,17.32亿,29.96亿,62.86
8,9,000955,欣龙控股,5.0,-1.38,-0.07,-0.4,0.88,0.67,4.34,0.24亿,5.38亿,26.89亿,--
9,10,300819,聚杰微纤,12.58,-1.56,-0.2,0.16,0.83,0.96,3.99,0.14亿,1.35亿,16.95亿,18.95
10,11,300888,稳健医疗,33.91,-1.65,-0.57,0.03,0.42,0.92,2.23,0.26亿,1.82亿,61.58亿,6.97
11,12,600220,江苏阳光,1.76,-1.68,-0.03,-0.57,0.25,0.82,2.23,0.08亿,17.83亿,31.39亿,70.19
12,13,002144,宏达高科,9.39,-1.88,-0.18,-0.11,0.84,0.75,2.4,0.11亿,1.38亿,12.95亿,17.62
13,14,002486,嘉麟杰,2.43,-2.02,-0.05,0.0,0.73,0.88,2.82,0.15亿,8.32亿,20.22亿,29.37
14,15,300877,金春股份,14.05,-2.09,-0.3,-0.07,0.49,1.0,2.37,0.08亿,1.20亿,16.86亿,71.40
15,16,601599,浙文影业,3.55,-3.01,-0.11,0.0,1.37,1.13,3.83,0.44亿,8.93亿,31.69亿,26.24
16,17,301066,万事利,10.09,-3.35,-0.35,0.0,1.75,0.97,4.02,0.13亿,0.72亿,7.27亿,58.71
17,18,600156,华升股份,4.35,-3.76,-0.17,0.23,3.38,0.6,4.87,0.60亿,4.02亿,17.49亿,83.20
18,19,605180,华生科技,16.56,-8.91,-1.62,-0.12,47.37,11.05,7.15,3.92亿,0.49亿,8.05亿,75.63
