,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603363,*ST傲农,4.63,4.99,0.22,0.0,4.85,0.87,5.67,1.63亿,7.37亿,34.14亿,--
1,2,003030,祖名股份,16.47,1.54,0.25,0.0,1.14,1.0,1.97,0.15亿,0.81亿,13.34亿,52.94
2,3,000638,万方发展,4.38,1.39,0.06,0.0,23.45,1.58,11.57,3.14亿,3.10亿,13.58亿,--
3,4,300673,佩蒂股份,14.0,1.3,0.18,-0.21,1.5,0.9,2.97,0.34亿,1.62亿,22.62亿,20.88
4,5,002696,百洋股份,4.73,1.07,0.05,-0.42,1.33,0.97,2.56,0.22亿,3.44亿,16.25亿,--
5,6,001338,永顺泰,11.36,0.98,0.11,-0.09,1.99,0.48,1.42,0.53亿,2.36亿,26.80亿,17.35
6,7,000972,中基健康,2.67,0.76,0.02,0.0,1.2,0.79,1.89,0.25亿,7.71亿,20.59亿,86.05
7,8,839371,欧福蛋业,4.35,0.69,0.03,0.0,1.18,0.47,2.55,0.03亿,0.54亿,2.36亿,11.58
8,9,603182,嘉华股份,11.89,0.68,0.08,-0.08,2.12,0.75,1.78,0.23亿,0.93亿,11.07亿,15.66
9,10,000505,京粮控股,6.22,0.48,0.03,0.0,0.38,0.62,0.97,0.15亿,6.31亿,39.25亿,49.64
10,11,832023,田野股份,2.5,0.4,0.01,0.0,0.5,0.57,1.21,0.03亿,2.46亿,6.14亿,23.50
11,12,600251,冠农股份,8.6,0.35,0.03,0.0,0.53,0.73,0.93,0.35亿,7.77亿,66.82亿,6.91
12,13,600127,金健米业,6.41,0.31,0.02,0.0,0.59,0.47,0.63,0.24亿,6.42亿,41.14亿,530.86
13,14,000019,深粮控股,6.45,0.31,0.02,0.16,0.77,0.81,0.93,0.21亿,4.16亿,26.85亿,29.09
14,15,603231,索宝蛋白,19.08,0.21,0.04,0.0,3.9,0.52,1.05,0.35亿,0.47亿,8.95亿,24.51
15,16,300268,ST佳沃,7.17,0.14,0.01,-0.28,0.57,0.46,3.07,0.05亿,1.34亿,9.58亿,--
16,17,603151,邦基科技,13.12,0.0,0.0,-0.15,1.48,0.36,1.37,0.16亿,0.81亿,10.61亿,27.10
17,18,600191,华资实业,4.96,0.0,0.0,-0.2,0.86,0.95,3.83,0.21亿,4.85亿,24.05亿,366.02
18,19,301498,乖宝宠物,54.1,-0.15,-0.08,0.15,1.63,0.52,2.58,0.35亿,0.40亿,21.64亿,36.49
19,20,603609,禾丰股份,7.55,-0.26,-0.02,0.0,0.39,0.77,1.72,0.27亿,9.19亿,69.42亿,--
20,21,000930,中粮科技,6.19,-0.32,-0.02,-0.32,0.46,0.9,1.77,0.53亿,18.52亿,114.65亿,116.17
21,22,002891,中宠股份,22.69,-0.35,-0.08,0.0,0.91,1.03,1.93,0.61亿,2.94亿,66.73亿,29.67
22,23,832419,路斯股份,8.32,-0.48,-0.04,0.0,0.16,0.89,1.91,0.01亿,0.93亿,7.72亿,15.28
23,24,002481,双塔食品,4.65,-0.64,-0.03,-0.22,1.16,0.54,1.71,0.61亿,11.18亿,51.99亿,34.45
24,25,000876,新希望,10.02,-0.69,-0.07,0.0,0.47,0.6,1.69,2.13亿,45.11亿,452.02亿,--
25,26,688156,路德环境,16.55,-0.78,-0.13,-0.12,1.0,1.24,1.98,0.15亿,0.92亿,15.29亿,73.44
26,27,603336,宏辉果蔬,3.57,-0.83,-0.03,-0.56,0.85,0.78,1.94,0.17亿,5.70亿,20.36亿,62.85
27,28,002286,保龄宝,6.32,-0.94,-0.06,0.16,1.0,0.74,2.04,0.23亿,3.70亿,23.36亿,25.22
28,29,001313,粤海饲料,8.28,-0.96,-0.08,0.12,0.77,0.63,2.99,0.14亿,2.18亿,18.06亿,--
29,30,300138,晨光生物,8.96,-0.99,-0.09,0.0,1.7,2.07,2.1,0.69亿,4.48亿,40.14亿,30.92
30,31,002385,大北农,4.66,-1.06,-0.05,-0.64,1.5,1.29,1.7,2.33亿,33.13亿,154.37亿,--
31,32,002548,金新农,4.45,-1.11,-0.05,-0.22,1.35,0.5,2.44,0.48亿,8.04亿,35.80亿,--
32,33,000911,广农糖业,7.0,-1.13,-0.08,0.14,1.34,0.94,2.4,0.30亿,3.24亿,22.69亿,145.01
33,34,600811,东方集团,1.51,-1.31,-0.02,0.0,0.98,0.84,2.61,0.55亿,36.59亿,55.25亿,8.01
34,35,603668,天马科技,13.99,-1.41,-0.2,-0.07,0.81,0.95,2.47,0.49亿,4.36亿,61.02亿,242.38
35,36,300999,金龙鱼,30.08,-1.54,-0.47,-0.4,1.02,1.52,2.26,1.68亿,5.43亿,163.23亿,46.21
36,37,002852,道道全,8.32,-1.54,-0.13,-0.12,1.01,0.98,3.31,0.24亿,2.86亿,23.78亿,9.65
37,38,002100,天康生物,8.13,-1.57,-0.13,0.12,1.48,0.83,2.91,1.64亿,13.65亿,111.00亿,51.33
38,39,002567,唐人神,6.78,-1.74,-0.12,0.0,3.06,0.72,2.75,2.93亿,14.11亿,95.68亿,--
39,40,300175,朗源股份,10.14,-2.5,-0.26,0.1,17.38,0.99,7.88,8.22亿,4.71亿,47.74亿,169.00
40,41,600737,中粮糖业,10.21,-2.67,-0.28,0.0,2.41,1.71,3.05,5.28亿,21.39亿,218.38亿,12.40
41,42,001366,播恩集团,13.06,-2.68,-0.36,0.0,11.88,0.5,3.8,0.87亿,0.56亿,7.27亿,--
42,43,002311,海大集团,50.66,-2.73,-1.42,0.08,0.53,2.19,3.09,4.51亿,16.63亿,842.25亿,24.48
