,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301025,读客文化,12.7,1.76,0.22,0.55,16.83,1.03,8.41,2.09亿,0.99亿,12.60亿,221.62
1,2,600229,城市传媒,7.7,0.39,0.03,-0.39,1.84,1.49,6.65,0.96亿,6.71亿,51.68亿,15.16
2,3,601900,南方传媒,14.24,0.28,0.04,0.0,0.7,1.02,2.39,0.88亿,8.96亿,127.57亿,14.06
3,4,601098,中南传媒,12.3,-0.81,-0.1,0.0,0.26,0.94,1.61,0.57亿,17.96亿,220.91亿,12.01
4,5,601019,山东出版,10.5,-1.13,-0.12,-0.19,0.2,0.9,2.54,0.44亿,20.87亿,219.12亿,13.11
5,6,600373,中文传媒,14.33,-1.24,-0.18,0.07,0.7,0.95,2.9,1.35亿,13.55亿,194.18亿,11.63
6,7,600825,新华传媒,4.83,-1.43,-0.07,0.0,1.55,0.73,2.65,0.79亿,10.45亿,50.47亿,139.48
7,8,601921,浙版传媒,8.36,-1.53,-0.13,0.12,0.92,1.0,1.77,0.33亿,4.22亿,35.30亿,16.21
8,9,601928,凤凰传媒,10.64,-1.84,-0.2,-0.19,0.3,1.16,2.67,0.82亿,25.45亿,270.78亿,9.16
9,10,603999,读者传媒,5.68,-1.9,-0.11,0.0,0.66,0.69,2.25,0.22亿,5.76亿,32.72亿,33.33
10,11,601811,新华文轩,14.38,-1.91,-0.28,-0.14,0.23,0.83,1.84,0.26亿,7.92亿,113.88亿,11.24
11,12,600551,时代出版,12.59,-2.25,-0.29,0.0,0.85,0.78,3.26,0.52亿,4.84亿,60.98亿,17.44
12,13,600757,长江传媒,7.61,-2.44,-0.19,0.0,0.91,1.46,2.69,0.84亿,12.13亿,92.35亿,8.24
13,14,601999,出版传媒,6.13,-2.54,-0.16,-0.16,0.74,0.76,2.54,0.25亿,5.51亿,33.77亿,40.1
14,15,000719,中原传媒,11.52,-2.62,-0.31,0.0,1.74,0.88,2.96,1.35亿,6.67亿,76.86亿,8.49
15,16,301052,果麦文化,27.85,-3.3,-0.95,-0.36,4.45,0.84,3.99,0.93亿,0.75亿,20.77亿,51.35
16,17,601949,中国出版,7.15,-3.38,-0.25,-0.14,0.92,1.14,3.51,1.21亿,18.23亿,130.31亿,24.95
17,18,605577,龙版传媒,17.89,-3.51,-0.65,0.17,2.21,0.96,4.1,0.75亿,1.88亿,33.70亿,16.69
18,19,300788,中信出版,26.3,-3.56,-0.97,-0.3,1.04,0.76,3.85,0.53亿,1.90亿,50.01亿,42.98
19,20,002181,粤传媒,4.09,-3.77,-0.16,0.0,0.74,1.34,4.0,0.35亿,11.34亿,46.40亿,568.02
20,21,601858,中国科传,23.32,-3.91,-0.95,-0.09,0.69,0.97,4.16,1.30亿,7.91亿,184.34亿,46.90
21,22,601801,皖新传媒,7.2,-4.13,-0.31,-0.28,0.37,0.71,4.0,0.53亿,19.89亿,143.22亿,10.92
22,23,301231,荣信文化,19.16,-4.2,-0.84,-0.05,2.86,0.74,5.25,0.30亿,0.54亿,10.33亿,147.39
23,24,000793,华闻集团,1.51,-4.43,-0.07,0.67,1.19,1.14,5.06,0.36亿,19.61亿,29.61亿,--
24,25,603096,新经典,16.61,-4.65,-0.81,0.12,1.59,0.91,5.22,0.43亿,1.63亿,26.99亿,15.63
25,26,603230,内蒙新华,13.28,-4.87,-0.68,-0.15,7.69,1.21,4.51,0.93亿,0.89亿,11.87亿,14.91
26,27,300654,世纪天鸿,10.72,-6.29,-0.72,-0.09,4.0,0.86,5.77,1.41亿,3.22亿,34.52亿,92.14
