,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301252,同星科技,35.63,10.24,3.31,-0.06,50.12,1.63,14.76,4.94亿,0.29亿,10.33亿,26.23
1,2,301399,英特科技,22.78,4.26,0.93,0.0,11.39,1.0,9.34,0.83亿,0.32亿,7.27亿,68.65
2,3,301525,儒竞科技,61.1,4.0,2.35,-0.03,4.36,1.27,3.83,0.62亿,0.24亿,14.41亿,33.39
3,4,301018,申菱环境,21.9,2.15,0.46,0.0,3.19,1.06,3.78,0.79亿,1.13亿,24.77亿,28.88
4,5,603912,佳力图,6.59,2.01,0.13,0.3,1.02,0.74,2.63,0.36亿,5.42亿,35.70亿,382.23
5,6,002686,亿利达,4.79,1.92,0.09,0.21,0.66,0.92,1.7,0.16亿,5.22亿,25.02亿,61.66
6,7,000530,冰山冷热,4.05,1.25,0.05,0.0,1.14,0.99,1.75,0.28亿,6.00亿,24.30亿,29.18
7,8,600202,哈空调,4.52,1.12,0.05,0.0,1.1,0.61,1.57,0.19亿,3.83亿,17.33亿,70.12
8,9,603339,四方科技,10.03,0.8,0.08,-0.1,0.54,1.0,1.91,0.17亿,3.09亿,31.04亿,14.98
9,10,002639,雪人股份,5.8,0.69,0.04,-0.17,2.32,2.4,4.69,0.87亿,6.50亿,37.68亿,127.75
10,11,603187,海容冷链,13.28,0.45,0.06,-0.08,0.64,0.62,0.91,0.33亿,3.84亿,51.06亿,11.19
11,12,000811,冰轮环境,11.09,0.36,0.04,0.0,0.76,0.93,0.91,0.63亿,7.46亿,82.71亿,17.29
12,13,002158,汉钟精机,19.45,0.05,0.01,-0.1,0.34,0.64,0.72,0.35亿,5.34亿,103.78亿,17.77
13,14,603277,银都股份,32.1,-0.77,-0.25,0.0,0.19,0.72,2.88,0.26亿,4.21亿,134.99亿,20.51
14,15,300990,同飞股份,32.57,-1.54,-0.51,-0.06,5.32,0.6,2.81,0.74亿,0.42亿,13.72亿,267.0
15,16,301272,英华特,42.08,-2.77,-1.2,0.12,11.94,0.73,5.71,0.73亿,0.15亿,6.16亿,76.03
