,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300723,一品红,22.6,4.44,0.96,-0.13,1.21,2.08,6.1,1.13亿,4.18亿,94.39亿,25.53
1,2,688799,华纳药厂,42.97,4.07,1.68,0.0,2.88,2.87,4.96,0.69亿,0.56亿,24.27亿,16.78
2,3,688176,亚虹医药,6.02,3.97,0.23,-0.33,1.51,1.34,4.84,0.33亿,3.71亿,22.36亿,--
3,4,300016,北陆药业,5.15,3.62,0.18,-0.19,2.48,1.48,5.83,0.63亿,4.91亿,25.30亿,54.95
4,5,688321,微芯生物,22.12,3.46,0.74,-0.09,0.79,1.8,2.81,0.71亿,4.08亿,90.20亿,--
5,6,688197,首药控股,44.6,2.88,1.25,-0.45,0.87,1.1,5.28,0.22亿,0.56亿,24.87亿,--
6,7,688266,泽璟制药,55.64,2.87,1.55,-0.07,0.77,0.93,2.68,1.13亿,2.65亿,147.28亿,--
7,8,002675,东诚药业,14.65,2.81,0.4,0.0,3.68,1.94,6.04,4.14亿,7.66亿,112.18亿,46.95
8,9,000766,通化金马,16.36,2.76,0.44,-0.12,1.37,0.93,3.46,2.13亿,9.66亿,158.03亿,430.31
9,10,000566,海南海药,3.35,2.76,0.09,0.3,0.8,0.99,3.37,0.31亿,11.66亿,39.06亿,--
10,11,688373,盟科药业,4.5,2.74,0.12,0.22,1.01,1.1,2.97,0.16亿,3.47亿,15.62亿,--
11,12,002755,奥赛康,10.54,2.53,0.26,0.0,0.3,1.22,3.6,0.30亿,9.28亿,97.83亿,77.53
12,13,002262,恩华药业,23.84,2.49,0.58,0.04,0.7,1.28,2.79,1.47亿,8.82亿,210.21亿,22.64
13,14,688553,汇宇制药,14.24,2.45,0.34,0.0,0.41,1.18,2.95,0.17亿,2.91亿,41.46亿,32.48
14,15,000813,德展健康,2.54,2.42,0.06,0.0,0.67,1.02,2.82,0.37亿,21.65亿,54.98亿,--
15,16,688221,前沿生物,6.4,2.4,0.15,0.0,0.99,1.09,3.36,0.13亿,2.15亿,13.74亿,--
16,17,300705,九典制药,26.0,2.32,0.59,0.08,1.82,1.43,3.94,1.39亿,2.92亿,76.03亿,25.01
17,18,003020,立方制药,20.98,2.29,0.47,0.1,1.27,0.63,4.24,0.36亿,1.37亿,28.77亿,33.08
18,19,688513,苑东生物,56.02,2.17,1.19,0.5,0.2,0.64,2.21,0.13亿,1.20亿,67.27亿,22.42
19,20,301507,民生健康,12.88,2.14,0.27,0.08,2.83,1.09,2.54,0.32亿,0.89亿,11.48亿,19.50
20,21,688302,海创药业,30.25,2.09,0.62,-0.43,1.01,1.01,2.87,0.22亿,0.73亿,22.00亿,--
21,22,688658,悦康药业,17.38,2.06,0.35,0.23,1.15,1.11,3.88,0.41亿,2.05亿,35.56亿,28.21
22,23,688247,宣泰医药,9.1,2.02,0.18,0.11,1.32,1.07,3.92,0.17亿,1.40亿,12.74亿,45.05
23,24,300204,舒泰神,6.36,1.92,0.12,-0.16,0.76,0.64,2.4,0.23亿,4.72亿,30.00亿,--
24,25,688566,吉贝尔,25.14,1.91,0.47,0.0,0.63,0.94,3.57,0.30亿,1.89亿,47.54亿,22.63
25,26,688192,迪哲医药,39.45,1.86,0.72,-0.05,0.82,0.69,2.4,0.40亿,1.23亿,48.56亿,--
26,27,688117,圣诺生物,25.13,1.82,0.45,-0.16,0.92,0.72,2.35,0.15亿,0.66亿,16.64亿,42.72
27,28,688506,百利天恒,175.98,1.79,3.09,-0.01,1.51,1.4,4.38,2.42亿,0.90亿,159.18亿,3.52
28,29,300584,海辰药业,16.78,1.76,0.29,0.18,1.78,1.12,2.43,0.24亿,0.82亿,13.78亿,37.69
29,30,000919,金陵药业,6.96,1.75,0.12,-0.14,0.6,0.76,1.32,0.21亿,5.04亿,35.07亿,25.14
30,31,300436,广生堂,17.29,1.71,0.29,-0.06,0.96,1.17,3.0,0.23亿,1.36亿,23.44亿,--
31,32,002294,信立泰,27.33,1.64,0.44,-0.04,0.66,1.75,3.46,2.01亿,11.15亿,304.61亿,38.03
32,33,301075,多瑞医药,18.47,1.59,0.29,-0.05,2.22,0.9,2.31,0.11亿,0.27亿,5.07亿,--
33,34,688505,复旦张江,7.2,1.55,0.11,0.28,0.28,1.12,1.69,0.14亿,7.11亿,51.16亿,794.85
34,35,601089,福元医药,15.16,1.54,0.23,-0.13,0.98,0.92,1.74,0.30亿,2.05亿,31.13亿,13.72
35,36,002923,润都股份,10.63,1.53,0.16,0.0,0.57,0.77,1.43,0.16亿,2.58亿,27.43亿,30.63
36,37,002437,誉衡药业,2.03,1.5,0.03,0.0,0.83,0.94,2.0,0.37亿,21.91亿,44.47亿,22.04
37,38,600513,联环药业,8.82,1.38,0.12,0.23,1.34,1.02,1.61,0.34亿,2.85亿,25.18亿,19.34
38,39,002020,京新药业,11.3,1.34,0.15,0.0,1.11,1.0,1.08,0.82亿,6.56亿,74.17亿,14.21
39,40,688578,艾力斯,58.12,1.34,0.77,-0.02,1.24,1.46,4.18,3.20亿,4.50亿,261.54亿,21.36
40,41,832735,德源药业,26.31,1.31,0.34,0.0,0.23,1.11,2.04,0.03亿,0.50亿,13.22亿,14.52
41,42,300434,金石亚药,8.53,1.31,0.11,0.0,0.69,0.62,2.14,0.20亿,3.35亿,28.56亿,9.54
42,43,688189,南新制药,6.45,1.26,0.08,0.16,0.74,1.02,1.57,0.13亿,2.74亿,17.70亿,117.47
43,44,002826,易明医药,8.89,1.25,0.11,0.0,1.63,0.71,2.16,0.25亿,1.76亿,15.65亿,15.19
44,45,300086,康芝药业,4.15,1.22,0.05,-0.48,1.05,0.74,1.95,0.19亿,4.36亿,18.08亿,--
45,46,600613,神奇制药,6.19,1.14,0.07,0.0,0.58,0.79,1.31,0.17亿,4.79亿,29.67亿,34.52
46,47,603676,卫信康,9.06,1.0,0.09,-0.33,0.48,0.98,2.12,0.19亿,4.29亿,38.88亿,10.38
47,48,000931,中关村,4.19,0.96,0.04,0.24,0.46,0.59,1.45,0.14亿,7.46亿,31.27亿,67.83
48,49,002900,哈三联,10.47,0.96,0.1,0.1,4.06,0.34,2.8,0.72亿,1.71亿,17.89亿,44.08
49,50,300111,向日葵,2.26,0.89,0.02,-0.44,0.63,0.91,1.79,0.16亿,11.20亿,25.31亿,1319.90
50,51,301263,泰恩康,13.75,0.88,0.12,0.0,0.47,0.72,1.69,0.17亿,2.68亿,36.81亿,32.17
51,52,300254,仟源医药,9.2,0.88,0.08,0.0,9.22,0.48,4.71,1.89亿,2.25亿,20.70亿,30.39
52,53,300233,金城医药,16.72,0.84,0.14,0.12,1.1,0.81,1.21,0.68亿,3.70亿,61.90亿,19.34
53,54,600624,复旦复华,3.77,0.8,0.03,-0.27,0.48,0.83,1.07,0.12亿,6.85亿,25.81亿,--
54,55,000915,华特达因,33.01,0.79,0.26,0.0,0.49,0.64,1.47,0.38亿,2.34亿,77.31亿,11.47
55,56,603811,诚意药业,7.63,0.79,0.06,0.0,0.83,0.91,1.45,0.21亿,3.27亿,24.97亿,19.10
56,57,300255,常山药业,10.35,0.78,0.08,-0.1,1.11,0.83,1.85,1.05亿,9.16亿,94.79亿,--
57,58,002393,力生制药,17.59,0.74,0.13,-0.17,0.52,0.76,1.09,0.23亿,2.55亿,44.93亿,19.18
58,59,688091,上海谊众,26.9,0.71,0.19,0.15,0.98,1.25,2.32,0.40亿,1.51亿,40.63亿,47.42
59,60,002019,亿帆医药,13.36,0.68,0.09,0.23,0.7,0.72,2.04,0.80亿,8.51亿,113.71亿,28.03
60,61,002898,赛隆药业,9.68,0.62,0.06,0.00,1.50,0.71,1.25,0.15亿,1.01亿,9.80亿,262.25
61,62,600420,国药现代,11.43,0.62,0.07,0.00,1.36,1.59,3.43,1.86亿,11.96亿,136.71亿,11.57
62,63,300110,华仁药业,3.42,0.59,0.02,0.00,0.82,1.20,1.18,0.33亿,11.80亿,40.37亿,19.89
63,64,300573,兴齐眼药,205.98,0.58,1.18,0.10,2.25,0.97,3.42,6.16亿,1.34亿,275.99亿,258.48
64,65,000153,丰原药业,8.55,0.47,0.04,0.00,1.08,0.58,1.18,0.29亿,3.19亿,27.29亿,15.10
65,66,688382,益方生物,8.71,0.46,0.04,0.00,1.09,1.09,4.84,0.38亿,3.96亿,34.51亿,--
66,67,000597,东北制药,4.39,0.46,0.02,-0.23,0.47,0.77,1.37,0.28亿,13.74亿,60.33亿,27.21
67,68,301301,川宁生物,13.30,0.45,0.06,-0.15,6.13,0.62,2.87,5.03亿,6.17亿,82.10亿,21.00
68,69,603168,莎普爱思,8.25,0.36,0.03,0.12,0.71,0.60,0.85,0.19亿,3.23亿,26.61亿,182.01
69,70,600521,华海药业,17.34,0.35,0.06,-0.06,0.56,0.79,1.97,1.42亿,14.67亿,254.34亿,23.73
70,71,600664,哈药股份,2.91,0.34,0.01,-0.34,0.71,0.71,1.03,0.52亿,25.19亿,73.29亿,10.38
71,72,300194,福安药业,4.08,0.25,0.01,-0.24,1.29,0.79,0.98,0.51亿,9.68亿,39.49亿,9.91
72,73,600062,华润双鹤,21.16,0.24,0.05,0.00,0.54,0.62,1.75,1.18亿,10.27亿,217.28亿,13.22
73,74,300158,振东制药,4.44,0.23,0.01,-0.23,0.99,0.87,1.58,0.45亿,10.24亿,45.45亿,49.37
74,75,600851,海欣股份,5.40,0.19,0.01,0.00,0.24,0.71,1.30,0.10亿,7.38亿,39.86亿,50.62
75,76,002773,康弘药业,22.35,0.13,0.03,0.09,1.02,1.04,2.55,1.56亿,6.85亿,153.10亿,13.75
76,77,600196,复星医药,23.17,0.09,0.02,0.13,0.29,1.05,1.25,1.42亿,21.18亿,490.85亿,25.39
77,78,603367,辰欣药业,15.63,0.06,0.01,0.00,0.45,0.77,1.09,0.32亿,4.51亿,70.54亿,10.86
78,79,300630,普利制药,--,--,--,--,--,--,--,--,3.38亿,41.78亿,10.35
79,80,600488,津药药业,3.95,0.00,0.00,-0.25,0.29,0.60,1.01,0.12亿,10.92亿,43.13亿,18.62
80,81,600812,华北制药,4.79,0.0,0.0,0.21,0.38,0.95,1.67,0.32亿,17.16亿,82.18亿,113.19
81,82,600079,人福医药,19.3,-0.05,-0.01,0.0,0.52,0.74,1.55,1.54亿,15.36亿,296.50亿,16.19
82,83,002653,海思科,30.64,-0.13,-0.04,-0.36,0.52,0.85,5.77,0.83亿,5.17亿,158.43亿,92.81
83,84,000513,丽珠集团,38.7,-0.15,-0.06,-0.05,0.71,0.89,1.65,1.65亿,5.98亿,231.39亿,14.77
84,85,000788,北大医药,5.64,-0.18,-0.01,0.0,0.86,1.02,1.42,0.29亿,5.96亿,33.61亿,19.08
85,86,000963,华东医药,31.63,-0.19,-0.06,-0.16,0.45,0.9,1.74,2.50亿,17.51亿,553.81亿,16.09
86,87,002793,罗欣药业,4.8,-0.21,-0.01,-0.21,0.44,0.29,3.53,0.23亿,10.86亿,52.13亿,--
87,88,002004,华邦健康,4.63,-0.22,-0.01,-0.43,0.66,1.29,1.29,0.58亿,18.82亿,87.15亿,14.73
88,89,600267,海正药业,7.73,-0.26,-0.02,0.13,0.48,0.74,1.29,0.44亿,11.92亿,92.13亿,9.39
89,90,832566,梓橦宫,7.29,-0.27,-0.02,0.0,0.36,0.8,1.78,0.03亿,1.12亿,8.20亿,13.43
90,91,430017,星昊医药,11.27,-0.35,-0.04,0.0,0.36,0.6,1.68,0.03亿,0.79亿,8.86亿,13.84
91,92,300006,莱美药业,2.7,-0.37,-0.01,0.0,0.49,0.61,1.48,0.14亿,10.56亿,28.51亿,--
92,93,600380,健康元,12.47,-0.4,-0.05,0.0,0.46,0.94,1.36,1.07亿,18.67亿,232.77亿,13.23
93,94,002399,海普瑞,9.95,-0.5,-0.05,0.1,0.27,0.86,2.1,0.34亿,12.47亿,124.10亿,23.54
94,95,300558,贝达药业,37.82,-0.6,-0.23,-0.13,1.08,0.94,2.87,1.72亿,4.17亿,157.77亿,40.32
95,96,002370,亚太药业,3.05,-0.65,-0.02,-0.33,0.85,0.87,1.3,0.16亿,6.09亿,18.58亿,--
96,97,002550,千红制药,5.66,-0.7,-0.04,-0.18,1.19,0.93,2.28,0.61亿,9.10亿,51.52亿,17.39
97,98,688235,百济神州,121.52,-0.73,-0.9,-0.08,1.08,1.17,4.87,1.53亿,1.15亿,139.81亿,--
98,99,301130,西点药业,25.15,-0.79,-0.2,-0.16,0.49,0.58,1.58,0.07亿,0.58亿,14.59亿,36.18
99,100,002332,仙琚制药,12.16,-0.82,-0.1,0.0,0.65,0.65,2.77,0.78亿,9.85亿,119.72亿,19.90
100,101,002422,科伦药业,32.01,-0.9,-0.29,-0.19,0.98,0.93,2.91,4.12亿,13.07亿,418.35亿,12.49
101,102,600789,鲁抗医药,7.79,-1.02,-0.08,0.0,6.98,0.59,2.67,4.90亿,8.96亿,69.80亿,25.93
102,103,600276,恒瑞医药,42.36,-1.21,-0.52,-0.66,0.36,0.95,2.87,9.81亿,63.79亿,2702.15亿,49.35
103,104,300199,翰宇药业,12.18,-1.22,-0.15,0.0,2.15,0.46,2.03,1.74亿,6.66亿,81.12亿,--
104,105,603707,健友股份,12.53,-1.57,-0.2,0.24,1.01,3.07,5.18,2.05亿,16.16亿,202.44亿,28.58
105,106,603669,灵康药业,4.99,-1.58,-0.08,0.0,0.37,1.24,3.35,0.13亿,7.21亿,35.99亿,--
106,107,002940,昂利康,17.37,-1.86,-0.33,0.52,0.7,0.58,3.28,0.23亿,1.85亿,32.18亿,31.04
107,108,600774,汉商集团,8.32,-2.0,-0.17,0.0,4.89,0.87,3.42,1.20亿,2.95亿,24.53亿,48.43
108,109,600200,江苏吴中,10.08,-2.8,-0.29,0.1,2.95,0.8,3.66,2.12亿,7.11亿,71.66亿,354.80
