,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000566,海南海药,4.08,9.97,0.37,162253,66199224.0,0.0,4.08,4.08,4.08,3.71,1.39,-13.21,2.84
1,2,002898,赛隆药业,10.38,9.96,0.94,184890,190712284.4,4.98,10.38,9.91,9.93,9.44,18.26,517.62,3.42
2,3,000931,中 关 村,4.21,9.92,0.38,99766,41967344.95,2.35,4.21,4.12,4.18,3.83,1.34,43.57,2.02
3,4,603669,灵康药业,4.49,4.91,0.21,168728,75547326.0,11.68,4.65,4.15,4.27,4.28,2.34,-40.08,4.07
4,5,603707,健友股份,12.92,3.53,0.44,82173,104719809.0,5.21,13.02,12.37,12.48,12.48,0.51,25.77,3.47
5,6,688670,金迪克,10.63,2.71,0.28,12734,13443436.0,5.7,10.81,10.22,10.23,10.35,1.03,-16.02,0.98
6,7,300583,赛托生物,13.54,2.65,0.35,63312,86178787.02,5.38,13.86,13.15,13.15,13.19,3.4,97.21,1.32
7,8,688266,泽璟制药-U,59.1,2.6,1.5,19561,113387230.0,4.03,59.18,56.86,58.5,57.6,0.74,-117.56,9.98
8,9,000788,北大医药,5.39,1.89,0.1,157238,85167210.0,9.45,5.74,5.24,5.32,5.29,2.64,18.5,2.15
9,10,688566,吉贝尔,20.0,1.52,0.3,6977,13742663.0,3.45,20.08,19.4,19.6,19.7,0.37,16.11,1.81
10,11,688799,华纳药厂,37.83,1.5,0.56,2768,10368862.0,3.78,38.07,36.66,37.3,37.27,0.3,15.73,1.93
11,12,002294,信立泰,32.16,1.36,0.43,50221,160453712.86,2.43,32.3,31.53,31.81,31.73,0.45,52.1,4.58
12,13,301130,西点药业,24.02,1.31,0.31,6431,15332582.75,3.16,24.28,23.53,24.08,23.71,1.11,39.69,2.17
13,14,300942,易瑞生物,6.61,1.07,0.07,28408,18600584.0,2.45,6.63,6.47,6.61,6.54,0.86,-849.54,3.41
14,15,002675,东诚药业,11.85,1.02,0.12,29301,34385634.0,2.64,11.89,11.58,11.83,11.73,0.39,43.7,2.2
15,16,688690,纳微科技,13.88,1.02,0.14,23164,31667069.0,3.35,13.94,13.48,13.79,13.74,0.57,62.21,3.3
16,17,300558,贝达药业,37.26,0.98,0.36,60925,224277977.98,3.96,37.65,36.19,36.86,36.9,1.46,34.81,2.85
17,18,688221,前沿生物-U,4.82,0.84,0.04,24574,11675558.0,3.35,4.83,4.67,4.77,4.78,0.66,-5.63,1.53
18,19,603538,美诺华,11.04,0.82,0.09,12667,13847406.0,2.74,11.08,10.78,10.92,10.95,0.6,63.75,1.18
19,20,000952,广济药业,4.97,0.81,0.04,38648,19083507.5,3.25,5.02,4.86,4.95,4.93,1.12,-8.15,1.39
20,21,301258,富士莱,21.3,0.71,0.15,9713,20548852.8,2.51,21.41,20.88,21.17,21.15,2.87,-2794.68,1.03
