,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300387,富邦股份,6.51,0.93,0.06,65032,42212601.4,2.17,6.57,6.43,6.48,6.45,2.25,13.45,1.38
1,2,002999,天禾股份,5.03,0.4,0.02,23019,11538315.0,1.8,5.06,4.97,5.0,5.01,0.67,55.58,1.45
2,3,002170,芭田股份,5.89,0.34,0.02,71953,42167751.0,1.7,5.91,5.81,5.85,5.87,1.01,17.47,2.03
3,4,000912,泸天化,3.61,0.28,0.01,59604,21344241.0,2.5,3.63,3.54,3.63,3.6,0.38,21.15,0.87
4,5,600078,澄星股份,5.15,0.19,0.01,51889,26757546.0,3.5,5.26,5.08,5.15,5.14,0.78,-102.1,1.87
5,6,000731,四川美丰,6.6,0.15,0.01,26974,17760527.0,1.52,6.64,6.54,6.61,6.59,0.47,11.38,0.91
6,7,000408,藏格矿业,22.97,-0.26,-0.06,46380,105901782.84,2.48,23.22,22.65,23.22,23.03,0.29,13.99,2.85
7,8,002556,辉隆股份,4.49,-0.44,-0.02,60969,27282339.0,2.44,4.55,4.44,4.54,4.51,0.65,12.09,1.17
8,9,000902,新洋丰,12.28,-0.49,-0.06,83554,102331607.0,2.43,12.45,12.15,12.34,12.34,0.73,10.44,1.56
9,10,300505,川金诺,11.22,-0.71,-0.08,58412,65290040.35,3.36,11.39,11.01,11.33,11.3,2.69,23.15,1.27
10,11,002274,华昌化工,6.8,-0.73,-0.05,79469,53728801.98,3.07,6.87,6.66,6.84,6.85,0.85,7.18,1.15
11,12,600470,六国化工,4.16,-0.95,-0.04,48399,20133935.0,2.62,4.22,4.11,4.19,4.2,0.93,36.94,1.18
12,13,600141,兴发集团,18.51,-0.96,-0.18,102202,188234919.0,3.42,18.82,18.18,18.78,18.69,0.93,12.68,0.99
13,14,002539,云图控股,7.03,-0.99,-0.07,78635,55158301.0,2.68,7.13,6.94,7.11,7.1,0.89,9.36,1.0
14,15,002312,川发龙蟒,7.86,-1.38,-0.11,807949,640503821.3,6.9,8.27,7.72,8.05,7.97,5.91,25.29,1.61
15,16,002588,史丹利,6.91,-1.43,-0.1,96732,67127564.45,3.71,7.1,6.84,7.06,7.01,0.95,7.8,1.23
16,17,002538,司尔特,4.75,-1.86,-0.09,60367,28841616.88,3.31,4.87,4.71,4.86,4.84,0.71,12.36,0.76
17,18,600227,赤天化,1.54,-1.91,-0.03,893782,142084870.0,12.1,1.7,1.51,1.6,1.57,6.99,-35.48,1.0
18,19,000792,盐湖股份,14.81,-2.12,-0.32,567562,833858553.18,3.64,15.03,14.48,15.02,15.13,1.04,18.18,2.36
19,20,000893,亚钾国际,15.26,-2.8,-0.44,63885,98161235.73,4.08,15.82,15.18,15.76,15.7,0.79,26.25,1.23
20,21,002470,金正大,1.34,-2.9,-0.04,426700,57202659.74,5.8,1.39,1.31,1.38,1.38,1.3,13.07,2.01
21,22,600691,阳煤化工,1.52,-3.18,-0.05,249550,38000953.0,7.64,1.6,1.48,1.58,1.57,1.05,-6.3,0.83
22,23,600096,云天化,19.34,-3.49,-0.7,238472,465060048.0,4.44,20.1,19.21,20.03,20.04,1.3,6.24,1.79
