,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300937,药易购,31.5,2.24,0.69,113286,351768809.49,10.06,32.6,29.5,30.42,30.81,18.08,162.23,3.56
1,2,600833,第一医药,13.85,0.29,0.04,139690,193735338.0,3.4,14.14,13.67,13.97,13.81,6.26,15.73,2.76
2,3,002788,鹭燕医药,8.77,0.0,0.0,64780,56826015.34,2.39,8.87,8.66,8.73,8.77,1.7,9.93,1.11
3,4,600511,国药股份,34.26,-0.35,-0.12,96791,330741278.0,2.85,34.7,33.72,34.0,34.38,1.75,13.09,1.56
4,5,603233,大参林,16.02,-0.62,-0.1,80684,130247572.0,2.67,16.41,15.98,16.14,16.12,0.71,15.95,2.73
5,6,603368,柳药集团,18.26,-0.98,-0.18,67253,124212287.0,2.39,18.68,18.24,18.44,18.44,1.69,7.63,0.95
6,7,000705,浙江震元,8.09,-1.22,-0.1,86967,71106939.0,2.32,8.27,8.08,8.15,8.19,3.08,46.53,1.37
7,8,002872,ST天圣,4.77,-1.24,-0.06,84327,40963966.6,7.45,5.02,4.66,4.75,4.83,3.92,-31.3,0.74
8,9,900943,开开Ｂ股,0.535,-1.29,-0.007,6841,365736.0,3.14,0.545,0.528,0.531,0.542,0.86,19.74,1.47
9,10,002462,嘉事堂,12.92,-1.37,-0.18,58194,76325118.47,2.6,13.26,12.92,13.06,13.1,2.0,12.24,0.86
10,11,002727,一心堂,14.23,-1.39,-0.2,95159,136829286.0,1.94,14.51,14.23,14.39,14.43,2.33,21.75,1.1
11,12,600713,南京医药,5.02,-1.57,-0.08,125917,63973090.0,2.55,5.14,5.01,5.05,5.1,1.2,11.16,0.98
12,13,603883,老百姓,18.12,-1.68,-0.31,324478,597139913.0,3.26,18.65,18.05,18.43,18.43,4.28,16.4,1.98
13,14,000411,英特集团,10.54,-1.95,-0.21,38800,41454760.89,2.51,10.8,10.53,10.7,10.75,1.21,11.63,1.26
14,15,000028,国药一致,30.47,-2.03,-0.63,54134,166352685.83,1.99,31.08,30.46,31.0,31.1,1.13,11.94,0.94
15,16,301126,达嘉维康,11.45,-2.05,-0.24,46836,54924113.0,4.28,11.93,11.43,11.69,11.69,4.31,48.39,1.33
16,17,301015,百洋医药,28.39,-2.27,-0.66,32882,95500498.56,4.51,29.7,28.39,29.35,29.05,0.63,17.46,6.75
17,18,000950,重药控股,5.5,-2.31,-0.13,263678,147193354.2,3.2,5.68,5.5,5.58,5.63,1.53,24.39,0.83
18,19,601607,上海医药,20.6,-2.32,-0.49,261150,541096704.0,2.32,21.04,20.55,20.87,21.09,1.35,14.12,1.08
19,20,000078,海王生物,2.86,-2.39,-0.07,311549,89909581.07,3.75,2.94,2.83,2.93,2.93,1.19,122.11,2.48
20,21,301408,华人健康,12.33,-2.45,-0.31,52321,65827370.08,3.88,12.81,12.32,12.64,12.64,3.51,34.27,2.5
21,22,603939,益丰药房,24.4,-2.52,-0.63,97384,241228332.0,3.4,25.24,24.39,24.97,25.03,0.8,19.98,2.95
22,23,600998,九州通,5.39,-2.53,-0.14,372499,202923784.0,2.71,5.54,5.39,5.51,5.53,0.74,12.02,1.1
23,24,301263,泰恩康,14.05,-2.63,-0.38,59331,85052162.4,3.81,14.58,14.03,14.44,14.43,2.26,38.54,3.37
24,25,600056,中国医药,12.2,-2.71,-0.34,594351,732569806.0,3.59,12.62,12.17,12.45,12.54,3.97,30.61,1.57
25,26,600272,开开实业,12.01,-3.38,-0.42,139653,170945188.0,4.59,12.53,11.96,12.38,12.43,8.73,63.25,4.72
26,27,605266,健之佳,25.5,-3.77,-1.0,66658,172959499.0,4.87,26.79,25.5,26.0,26.5,4.74,29.71,1.44
27,28,002589,瑞康医药,3.08,-4.05,-0.13,490943,154394082.86,4.67,3.21,3.06,3.2,3.21,3.6,89.57,0.84
28,29,600829,人民同泰,7.08,-4.32,-0.32,141488,102134363.0,4.32,7.38,7.06,7.31,7.4,2.44,14.95,1.43
29,30,603122,合富中国,7.28,-4.59,-0.35,162784,121122071.0,4.98,7.63,7.25,7.6,7.63,9.09,81.85,2.48
30,31,301017,漱玉平民,14.13,-4.59,-0.68,119917,174264153.96,6.21,15.0,14.08,14.74,14.81,4.93,-325.63,2.75
31,32,603716,塞力医疗,8.21,-9.98,-0.91,398458,339319686.0,7.57,8.9,8.21,8.78,9.12,19.79,-22.13,1.7
