,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300010,豆神教育,10.5,8.25,0.8,2822652,2857710363.59,10.62,10.5,9.47,9.6,9.7,25.03,146.79,20.01
1,2,300192,科德教育,16.28,4.09,0.64,316611,507099856.16,6.97,16.49,15.4,15.53,15.64,15.06,37.83,6.29
2,3,300338,*ST开元,4.65,3.56,0.16,288445,133302846.4,4.9,4.7,4.48,4.5,4.49,8.37,-38.89,-12.63
3,4,600636,国新文化,11.2,2.85,0.31,146243,161732330.0,3.21,11.21,10.86,10.89,10.89,3.33,-200.7,2.02
4,5,600730,中国高科,7.36,1.8,0.13,520512,382403363.0,5.26,7.5,7.12,7.15,7.23,8.87,121.32,2.41
5,6,300688,创业黑马,32.2,1.77,0.56,130809,419821514.63,4.3,32.64,31.28,31.5,31.64,9.22,-93.66,11.1
6,7,600455,博通股份,23.15,1.22,0.28,23925,54927628.0,3.59,23.35,22.53,22.89,22.87,3.83,47.32,4.95
7,8,300359,全通教育,6.72,1.05,0.07,242460,160597750.0,4.21,6.74,6.46,6.51,6.65,3.83,-77.27,6.47
8,9,605098,行动教育,35.3,0.63,0.22,14084,49456997.0,2.28,35.51,34.71,35.08,35.08,1.18,16.22,4.41
9,10,600880,博瑞传播,4.84,0.62,0.03,313134,149671515.0,3.95,4.86,4.67,4.77,4.81,2.86,323.86,1.74
10,11,002659,凯文教育,5.27,0.57,0.03,259667,134575996.0,4.58,5.3,5.06,5.2,5.24,4.34,-106.58,1.45
11,12,003032,传智教育,10.92,0.37,0.04,150818,163137870.39,3.49,10.99,10.61,10.77,10.88,5.52,-79.97,3.27
12,13,000526,学大教育,49.0,0.04,0.02,22421,109856710.47,2.41,49.68,48.5,48.63,48.98,1.88,25.77,7.48
13,14,600661,昂立教育,14.19,-1.32,-0.19,85490,120520971.0,4.8,14.54,13.85,14.54,14.38,2.98,160.09,44.36
14,15,002607,中公教育,3.56,-1.66,-0.06,4420667,1567635881.47,5.52,3.65,3.45,3.55,3.62,8.79,97.93,29.86
