,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601595,上海电影,19.99,4.22,0.81,170848,334138409.0,6.41,20.13,18.9,19.22,19.18,3.81,64.85,5.38
1,2,300280,紫天科技,12.08,3.25,0.38,198855,232571149.88,7.86,12.25,11.33,11.79,11.7,12.39,82.0,1.59
2,3,002858,力盛体育,9.92,3.23,0.31,54669,53817606.0,3.75,9.97,9.61,9.61,9.61,3.73,59.41,2.81
3,4,301052,果麦文化,19.29,2.77,0.52,33677,63725718.87,5.59,19.38,18.33,18.7,18.77,4.2,303.85,2.82
4,5,601019,山东出版,12.82,2.56,0.32,74477,94162153.0,3.76,12.86,12.39,12.39,12.5,0.36,17.73,1.86
5,6,300781,因赛集团,40.61,2.47,0.98,40697,162471388.28,5.22,40.87,38.8,39.75,39.63,5.02,112.07,6.4
6,7,603729,龙韵股份,12.11,2.37,0.28,27480,32756049.0,3.89,12.15,11.69,11.85,11.83,2.94,-69.71,3.18
7,8,301231,荣信文化,15.49,2.31,0.35,22077,33683757.2,3.96,15.54,14.94,15.28,15.14,4.1,-53.39,1.46
8,9,601858,中国科传,17.14,2.27,0.38,46233,78028793.0,4.3,17.3,16.58,16.81,16.76,0.58,48.46,2.57
9,10,603533,掌阅科技,15.86,2.06,0.32,54199,84454620.0,4.25,15.95,15.29,15.58,15.54,1.23,-72.95,2.82
10,11,002803,吉宏股份,10.19,2.0,0.2,47764,48197666.2,3.4,10.26,9.92,10.02,9.99,1.67,27.1,1.81
11,12,301262,海看股份,21.49,1.99,0.42,12444,26270839.97,3.61,21.56,20.8,21.0,21.07,1.02,20.2,2.51
12,13,002238,天威视讯,7.24,1.97,0.14,51308,36549642.76,3.8,7.26,6.99,7.18,7.1,0.64,193.47,2.54
13,14,000681,视觉中国,10.92,1.87,0.2,72514,78052354.0,4.57,11.04,10.55,10.79,10.72,1.07,75.22,2.19
14,15,600825,新华传媒,3.88,1.84,0.07,98184,37728251.0,2.89,3.9,3.79,3.85,3.81,0.94,68.49,1.63
15,16,603000,人民网,17.99,1.81,0.32,120605,214151132.0,4.3,18.13,17.37,17.7,17.67,1.09,622.28,5.6
16,17,300364,中文在线,17.09,1.79,0.3,219496,368914970.0,4.47,17.17,16.42,16.9,16.79,3.32,-41.56,11.33
17,18,600037,歌华有线,5.74,1.77,0.1,131003,73825972.0,3.9,5.77,5.55,5.64,5.64,0.94,-89.21,0.63
18,19,002343,慈文传媒,5.18,1.77,0.09,141768,72505080.8,3.34,5.2,5.03,5.1,5.09,2.98,86.39,2.51
19,20,300987,川网传媒,12.13,1.76,0.21,15449,18487891.0,3.27,12.17,11.78,12.07,11.92,0.89,184.3,2.67
20,21,600556,天下秀,3.55,1.72,0.06,177821,62168745.0,4.01,3.58,3.44,3.5,3.49,0.98,71.2,1.67
21,22,002995,天地在线,13.61,1.72,0.23,23719,31792074.0,3.89,13.66,13.14,13.43,13.38,2.11,-53.96,2.47
22,23,301025,读客文化,8.38,1.7,0.14,31625,26107343.84,3.52,8.39,8.1,8.25,8.24,1.22,145.4,5.4
23,24,603598,引力传媒,11.61,1.66,0.19,43000,49319275.0,3.15,11.64,11.28,11.42,11.42,1.61,87.09,14.47
24,25,002654,万润科技,9.2,1.66,0.15,179178,163152182.14,2.98,9.24,8.97,9.05,9.05,2.12,134.97,5.17
25,26,300805,电声股份,6.76,1.65,0.11,57487,38239590.0,4.36,6.79,6.5,6.71,6.65,2.0,134.49,1.89
26,27,601900,南方传媒,12.91,1.65,0.21,84011,106865718.0,3.62,12.93,12.47,12.7,12.7,0.94,19.33,1.49
27,28,002027,分众传媒,5.59,1.64,0.09,695709,386146542.72,2.91,5.62,5.46,5.51,5.5,0.48,16.19,5.12
28,29,000607,华媒控股,3.11,1.63,0.05,64698,19808870.0,2.94,3.11,3.02,3.08,3.06,0.74,72.43,1.93
29,30,300612,宣亚国际,13.67,1.56,0.21,27100,36656445.0,3.42,13.71,13.25,13.52,13.46,1.71,-101.76,4.77
30,31,603888,新华网,19.55,1.56,0.3,35728,68868850.0,3.53,19.64,18.96,19.29,19.25,0.69,42.88,2.95
31,32,300058,蓝色光标,5.4,1.5,0.08,331321,176893346.0,3.57,5.44,5.25,5.34,5.32,1.37,36.68,1.71
32,33,601921,浙版传媒,7.76,1.44,0.11,318112,242951212.0,4.44,7.8,7.46,7.62,7.65,7.53,17.03,1.33
33,34,002712,思美传媒,3.56,1.42,0.05,96674,33907806.0,3.7,3.57,3.44,3.52,3.51,1.79,836.17,1.37
34,35,601928,凤凰传媒,11.6,1.4,0.16,150376,172418099.0,2.8,11.63,11.31,11.48,11.44,0.59,12.06,1.55
35,36,300063,天龙集团,4.37,1.39,0.06,368870,159710503.0,3.25,4.38,4.24,4.31,4.31,5.9,52.0,2.08
