,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002306,中科云网,4.05,10.05,0.37,555384,215190946.71,12.77,4.05,3.58,3.6,3.68,6.83,-68.47,1115.06
1,2,000721,西安饮食,9.9,10.0,0.9,660319,628735307.45,11.78,9.9,8.84,8.91,9.0,15.09,-48.08,17.06
2,3,600593,大连圣亚,33.78,10.0,3.07,182863,572889436.0,12.41,33.78,29.97,30.1,30.71,14.2,31.03,13.31
3,4,000610,西安旅游,13.22,4.01,0.51,234762,308073174.25,11.01,13.95,12.55,12.7,12.71,9.97,-27.03,7.63
4,5,600706,曲江文旅,10.27,3.95,0.39,123950,125346022.0,6.07,10.38,9.78,9.88,9.88,4.88,-10.86,4.47
5,6,000796,凯撒旅业,5.1,3.66,0.18,1179538,594452559.63,13.62,5.4,4.73,5.01,4.92,12.16,-337.82,9.53
6,7,002186,全 聚 德,10.75,3.56,0.37,138363,147374239.2,5.3,10.86,10.31,10.59,10.38,4.51,35.12,3.77
7,8,601007,金陵饭店,7.27,3.56,0.25,208584,149366729.0,4.56,7.29,6.97,7.0,7.02,5.35,50.85,1.79
8,9,603099,长白山,43.45,3.11,1.31,201964,852561088.0,12.81,46.0,40.6,41.39,42.14,7.57,58.78,9.92
9,10,000428,华天酒店,3.42,3.01,0.1,358937,121438394.05,4.52,3.44,3.29,3.32,3.32,3.52,-23.42,2.15
10,11,301073,君亭酒店,22.6,3.01,0.66,65076,144915558.76,4.83,22.67,21.61,21.61,21.94,5.8,179.98,4.54
11,12,600258,首旅酒店,14.45,2.85,0.4,161943,232001536.0,3.91,14.48,13.93,14.0,14.05,1.45,16.73,1.39
12,13,000524,岭南控股,9.96,1.74,0.17,116860,116651371.55,4.6,10.12,9.67,9.78,9.79,1.74,37.02,2.97
13,14,000978,桂林旅游,6.52,1.4,0.09,158142,102243889.41,2.95,6.54,6.35,6.43,6.43,4.39,186.25,2.32
14,15,002159,三特索道,15.92,1.02,0.16,33844,54145728.0,3.74,16.25,15.66,15.68,15.76,2.44,13.62,2.05
15,16,000888,峨眉山Ａ,12.65,0.8,0.1,100848,127347338.28,3.35,12.84,12.42,12.48,12.55,1.91,20.49,2.54
16,17,002627,三峡旅游,5.28,0.76,0.04,86470,45513334.56,1.91,5.3,5.2,5.21,5.24,1.21,25.63,1.24
17,18,600054,黄山旅游,11.46,0.7,0.08,55975,64125942.0,2.55,11.54,11.25,11.34,11.38,1.09,22.0,1.81
18,19,002033,丽江股份,8.67,0.7,0.06,96530,83665296.19,2.09,8.74,8.56,8.61,8.61,1.76,18.58,1.9
19,20,000430,张家界,6.91,0.58,0.04,184400,127573891.2,3.78,7.01,6.75,6.81,6.87,5.56,-32.41,3.47
20,21,002707,众信旅游,7.35,0.55,0.04,304632,225564730.44,3.69,7.52,7.25,7.27,7.31,3.69,43.86,8.18
21,22,900942,黄山Ｂ股,0.741,0.54,0.004,2555,190358.0,1.63,0.75,0.738,0.74,0.737,0.12,9.97,0.82
22,23,603199,九华旅游,33.2,0.45,0.15,14933,49865620.0,2.36,33.79,33.01,33.33,33.05,1.35,17.94,2.48
23,24,600754,锦江酒店,25.98,0.39,0.1,57892,150478821.0,2.13,26.25,25.7,25.88,25.88,0.64,18.86,1.64
24,25,002059,云南旅游,5.53,0.36,0.02,162280,90049250.02,5.44,5.65,5.35,5.45,5.51,1.72,30.78,3.51
25,26,900929,锦旅Ｂ股,1.26,0.32,0.004,1271,159406.0,1.99,1.26,1.235,1.254,1.256,0.19,41.3,1.22
26,27,600749,西藏旅游,11.23,0.27,0.03,64140,72187966.0,2.77,11.4,11.09,11.2,11.2,2.83,95.37,2.43
27,28,600138,中青旅,10.19,0.2,0.02,156194,159412407.0,2.16,10.3,10.08,10.14,10.17,2.16,36.14,1.17
28,29,300144,宋城演艺,9.2,0.11,0.01,345304,320666475.82,3.59,9.46,9.13,9.18,9.19,1.47,17.96,2.99
29,30,300756,金马游乐,16.56,-0.06,-0.01,127346,214575755.32,6.22,17.28,16.25,16.7,16.57,9.7,120.48,1.88
30,31,300859,西域旅游,39.15,-0.15,-0.06,46195,180973392.9,4.85,40.25,38.35,38.8,39.21,2.98,39.47,7.72
31,32,601888,中国中免,67.84,-0.24,-0.16,106908,727803248.0,1.71,68.75,67.59,67.7,68.0,0.55,26.86,2.59
32,33,900934,锦江Ｂ股,1.494,-0.33,-0.005,1946,290868.0,1.07,1.506,1.49,1.491,1.499,0.12,7.6,0.66
33,34,000558,莱茵体育,2.93,-0.34,-0.01,450774,132361646.0,4.76,3.01,2.87,2.92,2.94,3.5,-320.41,3.5
34,35,603136,天目湖,11.2,-0.36,-0.04,44884,50385534.0,3.11,11.42,11.07,11.19,11.24,1.66,26.56,2.29
35,36,605108,同庆楼,21.71,-0.73,-0.16,21951,47728076.0,2.97,22.08,21.43,21.8,21.87,0.84,50.76,2.54
36,37,600576,祥源文旅,6.58,-3.8,-0.26,412049,274616869.0,3.95,6.82,6.55,6.73,6.84,6.24,47.23,2.5
