,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002485,ST雪发,2.66,5.14,0.13,0.00,0.43,1.13,1.19,0.06亿,5.44亿,14.47亿,--
1,2,600576,祥源文旅,5.29,2.32,0.12,-0.19,1.18,1.20,3.29,0.42亿,6.73亿,35.61亿,117.05
2,3,002707,众信旅游,6.44,1.42,0.09,-0.16,1.39,1.00,3.31,0.73亿,8.15亿,52.46亿,56.41
3,4,603199,九华旅游,35.32,0.94,0.33,0.00,1.60,0.92,2.29,0.62亿,1.11亿,39.09亿,18.77
4,5,000430,张家界,6.56,0.92,0.06,0.00,3.73,0.84,2.31,0.81亿,3.32亿,21.76亿,--
5,6,300144,宋城演艺,10.21,0.89,0.09,0.00,0.61,0.96,1.78,1.42亿,22.72亿,231.96亿,26.57
6,7,000558,莱茵体育,2.40,0.84,0.02,-0.42,0.99,0.70,2.10,0.31亿,12.89亿,30.93亿,29.22
7,8,002059,云南旅游,5.08,0.40,0.02,0.00,0.48,0.67,1.19,0.23亿,9.44亿,47.95亿,--
8,9,600138,中青旅,10.36,0.39,0.04,0.00,0.81,0.76,0.48,0.61亿,7.24亿,74.99亿,--
9,10,002159,三特索道,13.83,0.36,0.05,-0.07,1.51,0.61,1.23,0.29亿,1.38亿,19.15亿,18.14
10,11,002627,三峡旅游,4.85,0.21,0.01,-0.21,0.32,0.69,0.62,0.11亿,6.99亿,33.90亿,94.47
11,12,300859,西域旅游,31.03,0.10,0.03,0.06,4.65,1.15,5.71,2.24亿,1.55亿,48.10亿,--
12,13,002033,丽江股份,9.27,0.00,0.00,0.11,0.94,0.55,0.97,0.48亿,5.49亿,50.94亿,22.82
13,14,600250,南京商旅,--,--,--,--,--,--,--,--,2.84亿,23.16亿,35.97
14,15,600593,大连圣亚,20.63,0.00,0.00,-0.05,2.48,0.56,1.94,0.66亿,1.29亿,26.57亿,520.74
15,16,000978,桂林旅游,6.55,-0.15,-0.01,0.00,0.56,0.62,0.61,0.13亿,3.60亿,23.59亿,--
16,17,603099,长白山,23.35,-0.21,-0.05,-0.13,4.08,0.59,3.55,2.54亿,2.67亿,62.27亿,145.46
17,18,600706,曲江文旅,11.43,-0.26,-0.03,0.09,1.21,0.60,0.79,0.35亿,2.54亿,29.04亿,344.58
18,19,000524,岭南控股,9.02,-0.44,-0.04,0.00,1.27,0.67,1.66,0.77亿,6.70亿,60.44亿,62.68
19,20,600054,黄山旅游,12.15,-0.65,-0.08,0.17,0.79,0.66,1.64,0.50亿,5.13亿,62.37亿,86.88
20,21,603136,天目湖,12.38,-0.88,-0.11,-0.08,0.97,0.73,1.76,0.32亿,2.70亿,33.44亿,76.38
21,22,000888,峨眉山A,12.02,-0.99,-0.12,0.0,3.59,0.64,2.14,2.28亿,5.27亿,63.34亿,21.28
22,23,000796,*ST凯撒,3.55,-1.39,-0.05,0.0,1.41,0.91,2.78,0.48亿,9.70亿,34.43亿,--
23,24,600749,西藏旅游,12.02,-1.64,-0.2,0.08,4.99,0.84,4.01,1.38亿,2.27亿,27.28亿,--
