,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300918,南山智尚,9.85,7.18,0.66,0.0,5.8,8.49,9.03,2.04亿,3.60亿,35.46亿,23.97
1,2,002656,ST摩登,1.14,4.59,0.05,0.0,0.87,2.11,3.67,0.06亿,6.09亿,6.95亿,--
2,3,002569,ST步森,6.04,3.78,0.22,-0.17,1.83,1.24,4.3,0.15亿,1.40亿,8.45亿,--
3,4,603839,安正时尚,5.05,2.02,0.1,0.0,1.04,0.32,2.22,0.21亿,3.99亿,20.16亿,--
4,5,300005,探路者,5.79,1.94,0.11,0.17,1.16,1.18,4.4,0.59亿,8.84亿,51.17亿,17.97
5,6,601718,际华集团,2.69,1.89,0.05,-0.37,0.45,1.04,2.27,0.53亿,43.92亿,118.14亿,--
6,7,600398,海澜之家,9.67,1.79,0.17,-0.31,0.65,1.7,2.42,3.00亿,48.03亿,464.43亿,13.09
7,8,301088,戎美股份,12.32,1.73,0.21,0.08,1.58,0.88,2.06,0.11亿,0.58亿,7.11亿,27.01
8,9,001234,泰慕士,18.48,1.54,0.28,0.27,4.64,1.26,2.2,0.25亿,0.29亿,5.37亿,17.11
9,10,002875,安奈儿,10.5,1.45,0.15,0.0,3.29,0.76,4.35,0.60亿,1.73亿,18.16亿,46.30
10,11,603877,太平鸟,15.85,1.41,0.22,0.0,0.49,1.07,3.52,0.37亿,4.73亿,74.92亿,11.83
11,12,600400,红豆股份,2.48,1.23,0.03,0.41,0.29,0.67,0.82,0.16亿,22.91亿,56.83亿,34.58
12,13,001209,洪兴股份,15.24,1.2,0.18,0.0,3.05,0.53,1.93,0.19亿,0.40亿,6.14亿,7.75
13,14,002494,华斯股份,3.67,1.1,0.04,0.0,1.77,0.74,2.2,0.19亿,2.87亿,10.52亿,26.90
14,15,002780,三夫户外,10.39,0.97,0.1,-0.1,1.53,0.63,1.55,0.21亿,1.31亿,13.57亿,938.67
15,16,300840,酷特智能,11.84,0.94,0.11,-0.08,3.94,1.34,2.81,0.83亿,1.77亿,20.97亿,6.22
16,17,603196,日播时尚,8.62,0.94,0.08,-0.58,0.53,0.75,2.46,0.11亿,2.38亿,20.50亿,--
17,18,301276,嘉曼服饰,23.13,0.87,0.2,0.04,0.89,0.51,1.96,0.08亿,0.39亿,8.96亿,11.75
18,19,002832,比音勒芬,30.87,0.82,0.25,0.0,0.52,1.02,1.83,0.62亿,3.89亿,120.21亿,12.16
19,20,600630,龙头股份,9.34,0.76,0.07,-0.11,6.23,0.62,2.59,2.49亿,4.25亿,39.68亿,52.98
20,21,605138,盛泰集团,5.76,0.7,0.04,0.0,0.57,1.03,1.57,0.10亿,2.97亿,17.13亿,117.85
21,22,002269,美邦服饰,1.47,0.69,0.01,0.0,0.55,0.56,1.37,0.20亿,25.12亿,36.93亿,13.56
22,23,002762,金发拉比,5.96,0.51,0.03,0.0,1.31,0.64,1.01,0.16亿,2.08亿,12.41亿,1082.03
23,24,002563,森马服饰,6.37,0.32,0.02,-0.16,0.32,0.76,1.57,0.45亿,22.08亿,140.68亿,12.38
24,25,603808,歌力思,7.58,0.27,0.02,0.0,0.46,0.89,1.06,0.13亿,3.69亿,27.98亿,23.96
25,26,002154,报喜鸟,5.61,0.18,0.01,-0.18,1.0,0.95,1.96,0.66亿,11.77亿,66.03亿,8.18
26,27,603587,地素时尚,12.76,0.08,0.01,0.08,0.18,0.76,0.63,0.11亿,4.71亿,60.15亿,13.83
27,28,600107,美尔雅,4.26,0.0,0.0,0.0,0.84,0.71,2.82,0.13亿,3.60亿,15.34亿,--
28,29,600177,雅戈尔,7.95,0.0,0.0,0.0,0.28,1.03,1.01,1.05亿,46.29亿,367.99亿,9.93
29,30,002029,七匹狼,5.64,0.0,0.0,0.18,0.42,0.76,1.42,0.16亿,6.65亿,37.53亿,9.35
30,31,003016,欣贺股份,6.95,-0.14,-0.01,0.0,0.45,1.03,2.59,0.14亿,4.28亿,29.73亿,132.49
31,32,603518,锦泓集团,9.58,-0.21,-0.02,0.1,1.18,0.8,1.56,0.39亿,3.44亿,32.91亿,7.16
32,33,002687,乔治白,4.51,-0.22,-0.01,-0.22,1.14,0.83,1.11,0.21亿,4.06亿,18.31亿,25.15
33,34,601566,九牧王,10.25,-0.39,-0.04,0.0,0.25,1.06,1.55,0.15亿,5.75亿,58.90亿,13.61
34,35,002193,如意集团,3.61,-1.1,-0.04,-0.28,1.52,0.65,2.47,0.14亿,2.62亿,9.45亿,--
35,36,002612,朗姿股份,16.16,-1.16,-0.19,-0.25,1.57,0.76,2.69,0.65亿,2.54亿,40.97亿,21.75
