,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600835,上海机电,12.15,-0.49,-0.06,0.0,0.38,1.11,2.13,0.37亿,8.07亿,97.99亿,12.43
1,2,300931,通用电梯,6.04,-0.66,-0.04,0.17,1.34,1.23,3.29,0.16亿,1.96亿,11.86亿,203.95
2,3,002774,快意电梯,7.0,-1.13,-0.08,0.14,0.9,0.96,1.84,0.18亿,2.82亿,19.72亿,16.29
3,4,600894,广日股份,9.75,-1.22,-0.12,0.21,1.62,1.68,6.28,1.38亿,8.60亿,83.84亿,11.01
4,5,603321,梅轮电梯,7.0,-1.41,-0.1,0.14,0.4,0.91,2.82,0.09亿,3.07亿,21.49亿,25.59
5,6,002367,康力电梯,7.02,-1.54,-0.11,-0.14,0.64,0.78,2.52,0.24亿,5.27亿,36.98亿,15.36
6,7,603356,华菱精工,12.3,-1.6,-0.2,0.49,1.54,0.67,3.6,0.25亿,1.33亿,16.40亿,--
7,8,002960,青鸟消防,14.22,-1.93,-0.28,0.0,0.55,1.3,3.79,0.50亿,6.33亿,90.06亿,16.37
8,9,300669,沪宁股份,13.98,-2.17,-0.31,0.0,0.41,0.9,3.01,0.10亿,1.79亿,25.08亿,53.33
9,10,002689,远大智能,3.57,-2.19,-0.08,0.28,0.67,1.09,3.29,0.25亿,10.41亿,37.18亿,101.89
10,11,301056,森赫股份,8.18,-2.39,-0.2,0.0,2.15,1.02,3.34,0.12亿,0.67亿,5.46亿,25.64
11,12,605286,同力日升,20.71,-2.86,-0.61,0.0,0.46,0.99,3.33,0.16亿,1.68亿,34.79亿,18.96
12,13,603488,展鹏科技,8.56,-3.5,-0.31,0.0,0.64,0.93,3.95,0.16亿,2.92亿,24.99亿,30.61
