,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000722,湖南发展,10.55,5.61,0.56,0.0,7.18,2.54,7.51,3.46亿,4.64亿,48.97亿,47.52
1,2,000993,闽东电力,11.1,4.72,0.5,0.09,10.99,1.53,7.17,5.31亿,4.40亿,48.81亿,--
2,3,000791,甘肃能源,6.49,3.02,0.19,-0.15,2.13,1.48,4.13,2.22亿,16.01亿,103.87亿,50.42
3,4,600236,桂冠电力,6.69,2.92,0.19,0.15,0.23,1.39,4.0,1.20亿,78.82亿,527.33亿,30.66
4,5,002039,黔源电力,18.04,2.04,0.36,0.06,3.72,2.68,3.28,2.83亿,4.28亿,77.13亿,166.76
5,6,000601,韶能股份,4.08,1.75,0.07,0.0,1.04,0.96,2.74,0.46亿,10.80亿,44.06亿,45.76
6,7,600674,川投能源,16.61,0.55,0.09,-0.06,0.3,0.86,1.57,2.42亿,48.75亿,809.67亿,15.90
7,8,600900,长江电力,25.48,0.47,0.12,-0.04,0.33,1.02,1.02,20.29亿,240.07亿,6117.05亿,39.29
8,9,600025,华能水电,9.41,0.32,0.03,0.0,0.2,1.1,1.17,3.30亿,180.00亿,1693.80亿,39.74
9,10,600886,国投电力,15.62,0.13,0.02,0.0,0.4,0.92,1.28,4.38亿,69.66亿,1088.07亿,14.30
