,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002861,瀛通通讯,11.37,9.96,1.03,152027,168676411.1,9.48,11.37,10.39,10.39,10.34,12.73,-44.69,2.24
1,2,300602,飞荣达,15.03,8.44,1.17,332065,484282162.99,15.58,15.66,13.5,13.85,13.86,8.48,77.08,2.32
2,3,300847,中船汉光,14.86,6.07,0.85,175854,264038541.12,12.85,15.98,14.18,14.24,14.01,5.94,35.98,3.26
3,4,603296,华勤技术,45.98,5.63,2.45,56415,254834148.0,7.12,46.26,43.16,43.34,43.53,2.32,18.09,2.21
4,5,002855,捷荣技术,18.81,3.87,0.7,134972,245025782.8,8.23,18.99,17.5,18.26,18.11,5.48,-18.28,5.93
5,6,301086,鸿富瀚,42.12,3.41,1.39,14374,59343173.0,5.13,42.14,40.05,40.73,40.73,4.42,39.68,2.01
6,7,300647,超频三,5.33,3.29,0.17,315974,165942884.6,6.78,5.38,5.03,5.17,5.16,6.92,-67.91,2.51
7,8,603341,龙旗科技,37.97,3.29,1.21,48997,182541505.0,6.75,38.28,35.8,36.99,36.76,10.21,26.08,3.26
8,9,002841,视源股份,32.96,3.16,1.01,45920,148993698.09,4.16,33.05,31.72,31.72,31.95,0.88,23.17,1.86
9,10,300322,硕贝德,9.87,3.13,0.3,303568,294403700.0,5.43,9.91,9.39,9.6,9.57,6.82,741.08,4.44
10,11,300543,朗科智能,7.68,2.95,0.22,51457,38896235.74,4.56,7.71,7.37,7.46,7.46,2.43,30.37,2.03
11,12,300968,格林精密,9.22,2.9,0.26,111507,100784662.0,5.47,9.26,8.77,9.0,8.96,2.7,76.26,2.05
12,13,002577,雷柏科技,12.77,2.9,0.36,94076,118351010.0,4.92,12.86,12.25,12.52,12.41,3.33,84.33,3.09
13,14,300735,光弘科技,17.8,2.77,0.48,217891,382200811.18,5.08,17.98,17.1,17.35,17.32,2.88,69.07,2.88
14,15,301567,贝隆精密,41.68,2.74,1.11,16354,67276761.0,3.8,41.78,40.24,40.5,40.57,9.09,84.93,4.15
15,16,688260,昀冢科技,12.96,2.69,0.34,34541,43909136.0,4.44,12.99,12.43,12.66,12.62,2.88,-28.23,4.95
16,17,603595,东尼电子,15.48,2.45,0.37,22422,34094553.0,4.17,15.53,14.9,15.1,15.11,0.96,-27.03,2.42
17,18,603629,利通电子,14.93,2.4,0.35,39187,57470871.0,4.53,15.02,14.36,14.58,14.58,1.54,46.06,2.33
18,19,002993,奥海科技,24.22,2.37,0.56,28403,67728676.06,3.72,24.35,23.47,23.7,23.66,1.19,14.33,1.38
19,20,002881,美格智能,20.84,2.36,0.48,45127,92854368.5,4.27,20.9,20.03,20.46,20.36,2.49,81.48,3.72
20,21,002925,盈趣科技,11.75,2.26,0.26,53143,61607457.69,3.92,11.79,11.34,11.5,11.49,0.72,33.66,1.97
21,22,301318,维海德,24.87,2.26,0.55,16405,40007000.1,5.14,24.95,23.7,24.42,24.32,2.8,31.76,1.91
22,23,301180,万祥科技,13.45,2.2,0.29,34469,45676607.0,4.33,13.55,12.98,13.23,13.16,5.96,191.73,4.04
23,24,301486,致尚科技,34.61,2.15,0.73,15162,51738531.18,4.22,34.76,33.33,34.12,33.88,2.11,55.6,1.8
24,25,301503,智迪科技,27.08,2.15,0.57,6036,16160563.0,3.55,27.18,26.24,26.71,26.51,1.86,25.24,2.18
25,26,001314,亿道信息,36.92,2.07,0.75,45798,166140546.0,4.67,36.96,35.27,36.17,36.17,8.85,448.56,2.57
26,27,000021,深科技,13.37,2.06,0.27,283554,374726783.83,3.97,13.45,12.93,13.1,13.1,1.82,28.95,1.89
